event,time
avslag rättvik z2,0:00:00
n,0:00:16
del,0:00:18
närkamp sirius z4,0:00:23
inslag sirius z4,0:00:29
passning lång siirus z8,0:01:08
utkast rättvik z1,0:01:12
bolltapp passförsök rättvik z5,0:02:03
passning lång sirius z4,0:02:31
skott räddning sirus z2,0:02:36
hörna sirius z1,0:02:41
passning straffområde sirius z2,0:03:39
resning rättvik z4,0:03:46
boll sirius z5,0:03:52
passning lång sirius z2,0:04:01
boll sirius z5,0:04:04
passning lång siiurs z5,0:04:16
friläge sirius z2,0:04:19
mål straffområde sirius z2,0:04:25
avslag rättvik z3,0:04:49
skott täckt rättvik z8,0:05:24
hörna rättvik z9,0:05:27
skott täckt reättvik z8,0:06:16
boll rättvik z4,0:06:22
närkamp sirius z7,0:06:33
bolltapp passförsök sirius z2,0:06:49
boll sirius z4,0:06:56
passning lång sirius z4,0:07:06
utkast rättvik z3,0:07:13
närkamp sirius z4,0:07:33
frislag rättvik z4,0:07:39
inslag rättvik z7,0:07:53
passning straffområde rättvik z7,0:08:18
närkamp sirius z9,0:08:23
inslag sirius z3,0:08:37
boll rättvik z5,0:09:26
brytning sirius z8,0:09:36
passning straffområde siirus z3,0:09:46
hörna sirius z3,0:09:49
skott utanför sirius z2,0:10:24
utkast rättvik z3,0:10:31
passning lång rättvik z1,0:10:40
utkast sirius z7,0:10:46
inslag rättvik z4,0:10:53
passning lång rättvik z8,0:11:08
närkamp sirius z8,0:11:12
passning straffområde sirius z1,0:11:26
utkast rättvik z8,0:11:32
boll sirius z8,0:11:37
närkamp rättvik z9,0:11:43
skott utanför rättvik z9,0:11:51
utkast sirius z9,0:12:00
passning lång isrius z2,0:12:17
utkast rättvik z3,0:12:26
närkamp sirius z8,0:12:31
inslag rättvik z6,0:12:43
skott täckt rättvik z8,0:13:00
hörna rättvik z7,0:13:04
del,0:13:11
hörna rättvik z9,0:13:14
skott utanför rättvik z8,0:13:32
utkast sirius z2,0:13:40
närkamp sirius z5,0:13:50
närkamp rättvik z6,0:14:04
närkamp sirius z6,0:14:14
passning lång sirius z4,0:14:34
närkamp rättvik z2,0:14:38
frislag rättvik z5,0:14:52
passning straffområde rättvik z8,0:15:06
inslag rättvik z4,0:15:17
passning lång rättbik z8,0:15:32
inslag rättvik z6,0:15:54
utkast sirius z2,0:16:05
närkamp rättvik z1,0:16:15
bolltapp passförsök rättik z4,0:16:28
boll sirius z8,0:16:35
brytning rättvik z5,0:16:51
passning lång rättvik z5,0:17:09
inslag rättvik z7,0:17:16
passnig straffområde rööttgivk z7,0:17:33
frislag sirius z8,0:17:38
inslag rättik z7,0:17:59
del,0:18:01
inslag rättik z9,0:18:04
passning straffområde rättvik z8,0:18:20
frislag sirius z8,0:18:25
passning lång sirius z6,0:18:54
närkamp rättvik z6,0:19:03
inslag rättik z6,0:19:15
inslag sirius z7,0:19:36
passning lång siirus z7,0:19:44
närkamp sirius z2,0:19:51
närkamp rättvik z5,0:19:58
n,0:20:00
del,0:20:02
närkamp sirius z5,0:20:10
skott sirius z2 utanför ,0:20:15
utkast rättvik z3,0:20:20
närkamp sirius z5,0:20:27
passning straffområde sirius z2,0:20:39
närkamp sirius z2,0:20:46
skott täckt sriisu z2,0:20:53
hörna sirius z1,0:20:56
skott sirius z2 räddning ,0:21:16
utkast rättvik z5,0:21:31
närkamp sirius z5,0:21:36
frislag sirius z4,0:21:41
passnign lång sirius z2,0:21:56
närkamp rättvik z4,0:22:06
utkast sirius z4,0:22:19
frislag sirius z5,0:22:27
passning lång sirius z5,0:22:39
boll sirius ,0:22:42
frislag sirius z6,0:22:55
skott utanför sirius z4,0:23:17
utkast rättvik z3,0:23:24
närkamp sirius z8,0:23:34
inslag sirius z6,0:23:59
passning lång sirius z2,0:24:05
sirius z2,0:24:12
skott utanför sirius z3,0:24:23
utkast rättvik z1,0:24:28
inslag sirius z4,0:24:33
passning lång sirius z5,0:24:42
n,0:24:43
del,0:24:47
närkamp sirius z5,0:24:53
utkast rättvik z7,0:25:12
närkamp sirius z7,0:25:19
frislag sirius z4,0:25:29
passning lång sirius z2,0:25:41
n,0:25:42
del,0:25:44
närkamp rättvik ,0:25:58
passning lång rättvik z8,0:26:09
skott täckt rättvik z8,0:26:14
hörna z9 rättvik ,0:26:18
skott utanför rättvik z8,0:26:41
utkast isrius z2,0:26:51
n,0:26:52
del,0:26:57
närkamp r,0:27:04
del,0:27:07
närkamp rättvik z1,0:27:12
frislag rättvik z1,0:27:23
utkast sirius z2,0:27:34
frislag sirius z2,0:27:44
stop,0:29:37
