event,time
avslag sirius z5,0:00:00
offside sirius z2,0:00:39
boll aik z2,0:00:50
närkamp sirius z7,0:01:25
frislag sirius z7u,0:01:29
bolltapp tappad sirius z2,0:02:23
frislag aik z6,0:02:34
bolltapp passingsförsök aik z8,0:03:08
bolltapp passingsförsök siirius z4,0:03:17
bolltapp passingsförsök aik z8 ,0:03:23
utkast aik z1,0:04:09
utkast aik z3,0:04:31
frislag aik z8,0:04:58
skott räddning aik z8 ,0:05:36
utkast sirius z9,0:05:39
skott utanför sirius z2,0:06:00
utkast aik z3,0:06:02
hörna aik z9,0:06:17
skott aik z8 block ,0:06:51
utkast z7,0:06:57
utkast aik z2,0:07:48
passning straffomrdåe aik z9,0:08:13
boll aik z7,0:08:22
närkamp sirius z5,0:08:33
frislag sirius z6,0:09:01
bolltapp sirius passförsök z9,0:09:59
hörna aik z9,0:10:03
skott utanför aik z8,0:10:19
utkast sirius z8,0:10:23
närkamp sirius z5,0:10:53
bolltapp tappad z4 sirius ,0:11:03
frislag aik z5,0:11:09
inslag aik z7,0:12:07
bolltapp passningsförsök aik z7,0:12:40
närkamp aik z2,0:12:48
passnings straffområde aik z6,0:13:53
utkast sirius z7,0:14:00
frislag sirius z7,0:14:04
passnign straffområde sirius z1,0:14:39
utkast aik z2,0:14:42
boll sirius z7,0:14:47
frislag sirius z6,0:15:01
närkamp sirius z4,0:15:36
inslag sirius z6,0:15:58
frislag sirius z4,0:16:44
närkamp aik z2,0:17:23
närkamp sirius z4,0:17:28
närkamp aik z5,0:17:55
skott utanför aik z8,0:18:09
utkast sisiurs z8,0:18:14
boll aik ,0:18:42
närkamp sirius z4,0:19:19
inslag sirius z4,0:19:24
utvisning aik ,0:19:38
boll siris,0:20:23
del,0:20:26
frislag sirius z5,0:20:30
närkamp aik z3,0:21:29
frislag aik z3,0:21:34
utkast sirius z9,0:21:58
passning lång sirius z2,0:22:34
boll aik ,0:22:43
närkamp sirius z5,0:23:27
bolltapp tappad sirius z5,0:23:42
boll sirius z8,0:23:56
inslag aik ,0:24:33
inslag aik z4,0:25:00
passning lång aik z7,0:25:25
hörna aik z9,0:25:58
skott aik z8 räddning ,0:26:27
boll aik ,0:26:28
passning straffområde aik z7,0:26:41
mål utanför aik z8,0:27:01
avslag sirius z5,0:27:15
närkamp aik z1,0:27:34
frislag aik z6,0:27:38
frislag aik z8,0:27:56
skott täckt aik z8,0:28:24
hörna aik z7,0:28:27
skott täckt aik ,0:28:55
sirius boll,0:29:04
närkamp aik z5,0:29:08
tappadboll tappad aik z8,0:29:44
skott utanför sirius z3,0:29:52
utkast aik z2,0:29:55
närkamp sirius z8 ,0:30:23
hörna sirius z1,0:30:33
skott täckt sirius z2,0:31:07
utkast aik z2,0:31:13
närkamp sisiurs,0:31:24
skott täckt sirius z2,0:31:32
boll aik z2n,0:31:44
närkamp sirius z5,0:31:48
tappadboll tappad sirius z1,0:32:01
utkast aik z2,0:32:05
närkamp sirius z5,0:32:10
inslag aik,0:32:36
närkamp sirius z4,0:32:43
passning straffområde sirius z1,0:32:54
mål straffområde sirius z2,0:33:05
avslag aik z5,0:33:18
närkamp sirius z6,0:33:39
närkamp aik z5,0:33:47
passning straffomrdåe aik z7,0:34:02
inslag sirius z9,0:34:07
bolltapp tappad sirius z7,0:34:22
utvisning sirius ,0:34:33
frislag aik z8,0:35:05
passning straffområde aik z9,0:35:23
boll sirius ,0:35:29
närkamp sirius z7,0:35:36
närkamp aik z4,0:35:49
inslagaik z4,0:35:57
närkamp sirius z8,0:36:24
frislag sirius z4,0:36:42
frislag sirius z5,0:37:09
bolltapp passningsförsök sirius z7,0:37:47
hörna aik z7,0:37:51
mål aik fast z8,0:38:28
avslag sirius z8,0:38:58
närkamp aik z3,0:39:16
skott räddning aik z8,0:39:41
utvisning sirius ,0:39:53
frislag aik ,0:39:59
frislag aik z4,0:40:35
närkamp sirius z5,0:40:42
friläge sirius z8,0:40:51
skott räddning sirius z2,0:41:02
hörna sirius z3,0:41:06
skott utanför sirius z2,0:41:29
utkast aik z1,0:41:32
frislag aik z5,0:41:51
nörkamp sirius z5,0:42:18
skott ärddning sirius z8,0:42:50
skott räddning sirius z8,0:42:53
utkast aik z2,0:43:03
boll sirius ,0:43:13
utkast aik z2,0:43:30
närkamp sirius z8,0:43:47
frislag sirius z4,0:43:56
frislag sirius z5,0:44:06
skott räddning sirius z2,0:44:21
utkast z3,0:44:24
del,0:44:27
utkast aik z3,0:44:30
friläge aik z8,0:44:43
skott aik räddning z8,0:44:50
boll sirius ,0:44:54
närkamp aik z4,0:45:00
friläge aik z8,0:45:12
mål aik straffomrdåe z8,0:45:21
avslag sirius z5,0:45:57
stop,0:46:02
