event,time
avslag sirius z8,0:00:00
närkamp tellus z2,0:00:27
närkamp siorius z5,0:00:35
inslag sirius z4,0:00:41
hörna sirius z1,0:01:16
del,0:01:18
hörna sirius z3,0:01:21
skott sirius täckt ,0:01:51
utkast tellus z1,0:01:59
skott räddning tellus z7,0:02:08
utkast z5 siirus ,0:02:11
passning lång sirius z2,0:02:20
hörna sirius z1,0:02:23
skott täckt siirus z2,0:02:55
boll sirius ,0:02:58
hörna sirius z1,0:03:53
skott täckt sirius z2,0:04:16
boll sirisu z5,0:04:20
offside sirius ,0:04:27
boll tellus ,0:04:31
frislag tellus z1,0:05:26
närkamp sirius z2,0:05:42
bolltapp tellus z3,0:05:53
hörna sirius z3,0:05:58
skott täckt sirius z2,0:06:22
boll sirius ,0:06:24
frislag sirius z3,0:06:46
frislag sirius z2,0:07:23
skott räddnign sirius z2,0:07:42
utkast tellus z1,0:07:45
boll sirus ,0:08:23
frislag sirius z6,0:08:31
närkamp tellus ,0:08:45
närkamp sirius z8,0:08:57
passning tellus straffområde z8,0:09:08
bärkamp sirus z8,0:09:16
inslag sirius z4,0:09:19
skott utanför sirius z2,0:10:53
utkast tellus z3,0:10:58
närkamp sirius z6,0:11:19
utkast tellus z1,0:11:51
frislag tellus z6,0:12:19
närkamp sirius z4,0:12:39
hörna sirius z1,0:13:44
skott utanför sirus z2,0:14:20
utkats tellus z1,0:14:26
närkamp tellus z5,0:14:54
närkamp sirius z8,0:15:07
pasnsing lång sorois ,0:15:25
boll tellus ,0:15:29
skott täckt tellus z8,0:15:37
närkamp sirius z8,0:15:43
närkamp tellus z4,0:16:03
inslag tellus z7,0:16:18
passning straffområde tellus z8,0:16:33
närkamp sirius z8,0:16:38
brytning tellus z5,0:16:48
passning lång tellus z8,0:17:08
närkamp sirius z8,0:17:11
skott täckt sirius z2,0:17:21
inslag sirius z1,0:17:28
passning straffområde siirus z2,0:17:37
rensning tellus z2,0:17:42
boll sirius ,0:17:54
utkast tellus z2,0:17:57
skott töäckt tellus z8,0:18:02
närkamp sirius z8,0:18:07
passning lång sirius ,1:04:11
närkamp tellus z2,1:04:14
närkamp sirius z7,1:04:29
mål lång siirus z1,1:04:50
avvslag tellus z2,1:05:12
närkamp sirius z3,1:05:40
frislag sirius z3,1:05:51
frisalg sirius z5,1:06:07
skott utanfr sirius z2,1:06:34
utkast tells z2,1:06:48
utkast sirius z9,1:07:20
inslag tellus z6,1:07:29
frislag tellus z7,1:07:56
passning lågn tellus ,1:08:11
nräkamp sirius ,1:08:14
passning straffområde sirius z2,1:09:02
närkamp sirius z4,1:09:13
frislag sirius z3,1:09:19
hörna sirius z3,1:09:44
skott täckt sirius z2,1:10:12
boll sriius ,1:10:36
utkast sirius z7,1:11:23
närkamp siirus ,1:11:32
frislag sirius z5,1:11:47
närkamp tellus z2,1:12:25
närkamp sirius z8,1:12:43
närkamp tellus z3,1:12:49
passning tellus straffområde z8,1:13:12
hörna tellkus z7,1:13:17
skott utanför tellus z8,1:13:36
timeout tellus,1:13:40
utkast sirius z7,1:15:23
boll tellus ,1:15:31
närkamp sirius z7,1:15:52
frislag sirius z78,1:16:06
pass lång sirius z3,1:16:17
passning straffområde sirius z2,1:16:29
frislag sirius z2,1:17:42
utkast tellus z2,1:18:19
boll sriius ,1:18:32
utkast tellus ,1:18:39
boll sriius ,1:18:42
boll tellus ,1:20:19
skott räddning tellus z7,1:20:30
utkast sirius ,1:20:43
skott utanflr sirius z1,1:20:50
utkast tellus,1:21:04
närkamp sirius z5,1:21:35
frislag tellus z4,1:21:42
passning straffomrdåe tellus z8,1:22:09
utkast sirius z7,1:22:34
passning lång sirius z2,1:22:46
inslag sirius z6,1:23:13
inslag sirius z4,1:23:27
hörna soroois z3,1:23:46
skott sirius täckt ,1:24:15
utkast tellus z1,1:24:20
passning lång tellus,1:25:00
närkamp sirius z8,1:25:06
skott räddning sirius z2,1:25:11
utkast tellus ,1:25:14
utkast sirius z6,1:25:32
stop,1:49:32
