time,team,event,subevent,zone
0:00:00,vänersborg,avslag,0,z5
0:00:44,vänersborg,passning,straffområde,z7
0:00:56,vänersborg,skott,utanför,z8
0:01:07,vänersborg,skottyp,inlägg,0
0:01:09,sirius,utkast,0,z8
0:01:20,sirius,frislag,0,z5
0:02:19,vänersborg,brytning,0,z5
0:02:41,sirius,utkast,0,z4
0:02:50,sirius,frislag,0,z6
0:03:16,sirius,passning,lång,z2
0:03:21,vänersborg,boll,0,z2
0:03:35,sirius,utkast,0,z9
0:03:54,sirius,frislag,0,z4
0:04:17,vänersborg,utvisning,10,0
0:04:24,sirius,frislag,0,z4
0:04:45,sirius,boll,0,z4
0:04:56,sirius,passning,straffområde,z2
0:05:20,sirius,skottyp,inlägg,z2
0:05:28,sirius,mål,straffområde,z2
0:05:34,vänersborg,avslag,0,z5
0:05:46,vänersborg,passning,lång,z8
0:05:50,sirius,närkamp,0,z8
0:06:03,sirius,bolltapp,tappad,z5
0:06:10,sirius,rensning,0,z8
0:06:14,vänersborg,inslag,0,z7
0:07:12,vänersborg,frislag,0,z4
0:07:30,vänersborg,bolltapp,passförsök,z8
0:07:42,vänersborg,utkast,0,z2
0:07:59,vänersborg,skott,utanför,z8
0:08:10,vänersborg,skottyp,utifrån,z8
0:08:15,sirius,utkast,0,z7
0:08:25,sirius,bolltapp,passförsök,z1
0:08:34,vänersborg,utkast,0,z3
0:08:55,vänersborg,passning,straffområde,z9
0:09:09,vänersborg,skottyp,utifrån,z8
0:09:11,sirius,boll,0,0
0:09:16,vänersborg,närkamp,0,0
0:09:20,sirius,närkamp,0,0
0:09:31,sirius,passning,straffområde,z2
0:09:35,sirius,skott,räddning,0
0:09:44,sirius,skottyp,inlägg,z2
0:09:48,vänersborg,utkast,0,0
0:09:53,vänersborg,passning,lång,0
0:09:56,sirius,boll,0,z8
0:10:37,sirius,passning,lång,0
0:10:41,vänersborg,utkast,0,0
0:10:45,sirius,utkast,0,z7
0:11:47,sirius,bolltapp,passförsök,z1
0:11:54,vänersborg,utkast,0,z2
0:12:06,vänersborg,bolltapp,passförsök,z8
0:12:09,sirius,rensning,0,z8
0:12:16,vänersborg,inslag,0,z4
0:12:51,vänersborg,närkamp,0,z5
0:13:08,sirius,närkamp,0,z7
0:13:11,vänersborg,boll,0,0
0:13:46,vänersborg,skott,räddning,z8
0:14:02,vänersborg,skottyp,centralt,z8
0:14:14,sirius,boll,0,0
0:14:34,sirius,passning,straffområde,z3
0:14:38,vänersborg,rensning,0,0
0:14:40,sirius,boll,0,z8
0:15:03,sirius,skott,utanför,z2
0:15:13,sirius,skottyp,centralt,z2
0:15:16,vänersborg,utkast,0,0
0:15:24,vänersborg,skott,räddning,0
0:15:36,vänersborg,skottyp,utifrån,z8
0:15:43,sirius,utkast,0,0
0:15:47,vänersborg,boll,0,0
0:15:57,vänersborg,skott,täckt,0
0:16:04,vänersborg,skottyp,utifrån,0
0:16:07,sirius,boll,0,0
0:16:19,sirius,frislag,0,z1
0:16:35,vänersborg,frislag,0,z2
0:16:54,vänersborg,frislag,0,z1
0:17:26,vänersborg,frislag,0,z4
0:17:39,sirius,närkamp,0,z6
0:17:45,vänersborg,närkamp,0,z6
0:17:55,vänersborg,skott,utanför,z8
0:18:03,vänersborg,skottyp,utifrån,z8
0:18:20,sirius,utkast,0,0
0:18:45,vänersborg,närkamp,0,z1
0:18:56,vänersborg,inslag,0,z1
0:19:09,sirius,närkamp,0,z5
0:19:18,vänersborg,närkamp,0,z2
0:19:34,sirius,närkamp,0,z5
0:19:50,sirius,passning,lång,z8
0:20:02,sirius,mål,straffområde,z2
0:20:16,sirius,skottyp,friställande,z2
0:20:30,vänersborg,avslag,0,z2
0:20:47,vänersborg,passning,lång,z8
0:20:51,sirius,utkast,0,z5
0:21:01,vänersborg,utvisning,10,0
0:21:41,sirius,frislag,0,z5
0:21:58,sirius,passning,lång,z2
0:22:02,sirius,offside,0,z2
0:22:08,vänersborg,boll,0,z2
0:22:23,vänersborg,passning,lång,z5
0:22:28,sirius,närkamp,0,z5
0:22:37,sirius,skott,räddning,z2
0:22:46,sirius,skottyp,centralt,z2
0:22:52,vänersborg,utkast,0,z2
0:23:02,sirius,närkamp,0,z5
0:23:19,sirius,frislag,0,z3
0:23:44,sirius,bolltapp,passförsök,z1
0:23:47,vänersborg,utkast,0,z5
0:23:57,sirius,närkamp,0,z8
0:24:10,sirius,hörna,0,z3
0:24:49,sirius,skott,räddning,z2
0:24:54,vänersborg,utkast,0,z1
0:25:19,vänersborg,skott,täckt,z8
0:25:25,vänersborg,skottyp,friställande,z8
0:25:30,vänersborg,hörna,0,z7
0:25:41,vänersborg,skott,täckt,z8
0:25:52,vänersborg,inslag,0,z9
0:26:06,sirius,utkast,0,0
0:26:21,sirius,passning,lång,0
0:26:26,vänersborg,boll,0,z2
0:26:33,vänersborg,frislag,0,z4
0:26:40,vänersborg,passning,lång,z8
0:26:44,sirius,utkast,0,z9
0:26:53,sirius,passning,lång,z2
0:26:58,vänersborg,utkast,0,z4
0:27:05,sirius,inslag,0,z4
0:27:16,vänersborg,närkamp,0,z2
0:27:24,vänersborg,frislag,0,z1
0:27:35,vänersborg,passning,lång,z1
0:27:42,sirius,närkamp,0,z9
0:27:52,vänersborg,brytning,0,z5
