time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z3
0:00:24,edsbyn,utkast,0,z7
0:01:10,edsbyn,skott,täckt,z1
0:01:21,sirius,boll,0,z2
0:01:27,sirius,passning,lång,z8
0:01:31,sirius,skott,utanför,z8
0:01:36,edsbyn,utkast,0,z8
0:01:40,sirius,boll,0,z3
0:01:50,edsbyn,närkamp,0,z8
0:01:55,sirius,närkamp,0,z6
0:02:40,sirius,bolltapp,passförsök,z5
0:02:50,sirius,närkamp,0,z5
0:02:55,edsbyn,närkamp,0,z6
0:03:38,edsbyn,skott,räddning,z3
0:03:41,sirius,utkast,0,z2
0:03:52,sirius,frislag,0,z4
0:04:49,edsbyn,utkast,0,z7
0:05:20,edsbyn,skott,räddning,z2
0:05:24,sirius,rensning,0,0
0:05:31,edsbyn,frislag,0,z1
0:06:11,sirius,närkamp,0,z2
0:06:47,sirius,mål,lång,z8
0:06:58,edsbyn,avslag,0,z8
0:08:22,edsbyn,frislag,0,z2
0:08:46,edsbyn,skott,räddning,z2
0:08:49,sirius,boll,0,z2
0:09:00,sirius,skott,täckt,z8
0:09:03,sirius,hörna,0,z7
0:09:33,sirius,mål,fast,z8
0:09:55,edsbyn,avslag,0,z5
0:10:15,edsbyn,närkamp,0,z6
0:10:43,edsbyn,skott,räddning,z3
0:10:46,sirius,utkast,0,z2
0:11:31,sirius,skott,utanför,z8
0:11:49,sirius,hörna,0,z9
0:11:59,sirius,skott,räddning,z8
0:12:04,sirius,boll,0,z7
0:12:17,sirius,frislag,0,z7
0:12:43,edsbyn,utkast,0,z7
0:12:54,sirius,frislag,0,z4
0:13:18,edsbyn,skott,räddning,z1
0:13:23,edsbyn,hörna,0,z3
0:13:43,edsbyn,skott,täckt,z2
0:13:46,edsbyn,boll,0,z1
0:14:07,edsbyn,passning,straffområde,z3
0:14:13,edsbyn,skott,utanför,z2
0:14:16,sirius,utkast,0,z1
0:14:25,edsbyn,närkamp,0,z9
0:14:48,edsbyn,skott,räddning,z2
0:14:55,sirius,utkast,0,z2
0:15:40,sirius,bolltapp,passförsök,z5
0:15:43,sirius,frislag,0,z5
0:16:06,sirius,passning,straffområde,z9
0:16:10,sirius,boll,0,z7
0:16:30,sirius,bolltapp,passförsök,z5
0:16:49,edsbyn,frislag,0,z1
0:16:59,edsbyn,skott,utanför,z2
0:17:02,sirius,utkast,0,z1
0:17:30,sirius,passning,lång,z8
0:17:34,edsbyn,utkast,0,z9
0:18:02,edsbyn,passning,straffområde,0
0:18:07,sirius,närkamp,0,z2
0:18:11,sirius,rensning,0,z2
0:18:21,sirius,närkamp,0,z3
0:18:29,sirius,bolltapp,passförsök,z8
0:18:53,edsbyn,inslag,0,z3
0:19:26,edsbyn,passning,straffområde,z2
0:19:30,sirius,boll,0,z2
