event,time
avslag edsbyn z2,0:00:00
närkamp sirius z3,0:00:34
närkamp edsbyn z4,0:00:42
passning straffområde edsbyn z7,0:02:24
skott edsbyn z7 räddning ,0:02:34
hörna edsbyn z9,0:02:37
skott edsbyn utanför z8,0:02:50
utkast sirius z8,0:02:57
närkamp edsbyn z6,0:03:31
hörna edsbyn z9,0:03:51
skott utanför edsbyn z8,0:04:15
utkast sirius z7,0:04:18
närkamp edsbyn z5,0:04:35
passning straffområde edsbyn z7,0:04:48
närkamp edsbyn z8,0:04:53
rensing sirius z2,0:05:03
boll edsbyn z5,0:05:08
utvisning sirius 10,0:05:29
boll edsbynz5,0:05:50
hörna edsbyn z9,0:05:55
skott röddning edsbyn z8,0:06:23
utkast sirius z7,0:06:26
närkamp edsbyn z5,0:06:30
skott utanför edsbyn z7,0:06:42
utkast sirius z7,0:06:49
frislag sirius z3,0:07:24
närkamp sirius z4,0:07:53
närkamp edsny z4,0:07:57
närkamp sorois z8,0:08:04
frislag sirius z6,0:08:12
utkast edsbyn z3,0:08:47
närkamp esbyn z8,0:09:16
friläge edsbyn z8,0:09:42
mål edsbyn straffområde z8,0:09:47
avslag sirius z6,0:09:55
del,0:09:58
avslag sirius z8,0:10:01
utkast edsbyn z3,0:10:13
skott täckt edsbyn z7,0:10:45
hörna edsbyn z7,0:10:49
skott täckt edsbyn z8,0:11:12
skott räddning edsbyn z8,0:11:15
utkast sirius z6,0:11:19
passning sirius z1 straffområde ,0:11:38
närkamp edsbyn z2,0:11:42
inslag edsbyn z7,0:12:04
utvisning 10 sirius z5,0:12:49
frislag edsbyn z5,0:13:08
passning straffområde edsbyn z7,0:13:49
närkamp edsbyn z6,0:13:53
hörna edsbyn z9,0:14:10
skott täckt edsbyn z8,0:14:38
närkamp edsbyn z8,0:14:44
mål lång edsbyn z8,0:15:01
timeout sirius ,0:15:09
avslag sirius z8,0:16:36
skott täckt sirius z3,0:17:01
hörna sirius z3,0:17:03
skott täckt sirius z2,0:17:24
boll sirius z4,0:17:33
utkast edsbyn 4,0:17:45
närkamp sirius z5,0:18:04
passning straffområde sirius z3,0:18:14
edsbyn boll z2,0:18:19
utkast sirius z8,0:18:30
skott täckt sirius z2,0:19:11
utkast edsbyn z1,0:19:18
skott rddning edsbyn z7,0:19:59
utkast sirius z5,0:20:02
skott utanför sirius z2,0:20:23
utkast edsbyn z3,0:20:27
bolltapp tappad edsbyn z7,0:21:00
boll edsbyn z6n,0:21:25
närkamp sirius z5,0:21:28
bolltapp passförsök sirius z2,0:21:54
närlamp sirius z8,0:22:16
närkamp edsbyn z6,0:22:24
närkamp sirius z6,0:22:40
skott täckt sirius z3,0:22:52
boll edsbyn z2,0:22:57
passning straffområde edsnyn z7,0:23:10
boll edsbyn z6,0:23:13
hörna edsbyn z9,0:23:44
mål fast edsbyn z8,0:24:19
avslag sirius z8,0:24:52
närkamp sirius ,0:25:14
del,0:25:18
närkamp sirius  z6,0:25:21
utkast edsbyn z2,0:25:30
n,0:25:31
del,0:25:34
närkamp sirius z7,0:25:40
skott utanför sirius z3,0:25:48
tkast edsbyn z3,0:26:04
närkamp sirius z4,0:26:15
mål straffområde sirius z2,0:26:26
avsslag edsbyn z2,0:26:52
utkast sirius z7,0:27:30
frislag sirius z5,0:27:44
skott sirius z4,0:28:26
del,0:28:29
skott sirius z4 utanför ,0:28:32
utkast edsbyn z1,0:28:36
utkast sirius z7,0:28:58
skott räddning sirius z2,0:29:15
utkast edsbyn z3,0:29:23
boll sirius z8,0:29:30
tappadboll sirius passförösk z2,0:29:42
mål lång edsbyn z8,0:29:57
avslag sirius z2,0:30:29
resning edsbyn z2,0:30:49
närkamp edsbyn z2,0:31:08
passning straffområde z7,0:31:35
boll edsbyn ,0:31:46
passning straffområde edsbyn z8,0:32:34
mål straffområde edsbyn z8,0:32:43
avslag sirius z8,0:33:06
närkamp edsbyn z3,0:33:26
passning edsbyn straffområde z7,0:33:46
boll sriius ,0:33:51
utkast edsbyn z2,0:33:57
utkast sirius z9,0:34:17
frosöag sirius z3,0:35:04
närkamp edsnym z1,0:35:19
närkamp sirius z5,0:35:52
närkamp edsbyn z2,0:36:11
frislag edsbyn z4,0:36:32
frislag edsbyn z5,0:36:51
närkamp siirisu z5,0:37:08
närkamp edsbyn z5,0:37:51
frislag edsbyn z9,0:38:12
närkamp sirius z8,0:38:29
närkamp esbyn z2,0:38:39
utkast sirius z5,0:38:54
närkamp edsbyn z5,0:39:09
närkamp sirius z9,0:39:59
frislag sirius z7,0:40:51
bolltapp passningsförsök sirius z2,0:41:16
skott utaför edsntn z7,0:41:24
utkast sirius z7,0:41:32
skott täckt sirius z3,0:41:39
hörna z3 sirius ,0:41:44
mål sirius fast z2,0:42:18
avslag edsbyn z5,0:42:45
närkamp sirius z8,0:42:57
utkast edsbyn z1,0:43:04
skott räddning edsbyn z8,0:43:24
hörna sirius z9,0:43:31
skott räddning edsbyn z8,0:43:49
närkamp sirius z8,0:43:54
bolltapp tappad sirius z2,0:44:28
boll sirius z5,0:44:45
passing straffområde sirius z3,0:44:57
utkast edsbyn z3,0:45:04
inslag sirius z3,0:45:09
utkast edsbyn z3,0:45:21
närkamp sirius z5,0:45:59
hörna sirius z1,0:46:09
mål sirius fast z2,0:46:56
stop,0:47:22
