event,time
avslag vetlanda z5,0:00:00
inslag vetlanda z4,0:00:19
bolltapp tappad vetlanda,0:00:58
utkast sirius z2,0:01:05
frislag sirius z6,0:02:42
tappadboll passningsförsök sirisu z8,0:03:17
skott vetlanda utanför z2,0:03:22
utkast z2 sirius ,0:03:25
skott utanför sirius z8,0:03:41
utkast vetlanda z8,0:03:46
utkast sirius z1,0:04:10
närkjjamp vetlanda z6,0:04:32
utkast sirius z3,0:05:21
närkamp vetlanda z7,0:06:01
inslag vetlanda z6,0:06:10
mål vetlanda z2 lång,0:07:06
avslag sirius z5,0:07:33
närkamp vetlanda z8,0:08:04
frislag vetlanda ,0:08:07
del,0:08:08
frislag vetlanda z5,0:08:12
skott utanför vetlanda z2,0:08:36
frislag sirius z6,0:09:20
närkamp vetlanda z8,0:09:41
inslag vetlanda z6,0:09:48
passning straffområde vetlanda z2,0:10:07
boll vetlanda,0:10:09
närkamp sirius z2,0:11:10
utkast vetlanda z8,0:12:36
närkamp sirius z5,0:12:58
mål sirius straffområde z8,0:13:18
avslag vetlanda z5,0:13:45
närkamp sirius z2,0:14:09
skott räddning sirius z2,0:14:31
del,0:14:42
skott räddning sirius z8,0:14:44
hörna z7 sirius ,0:14:48
mål fast sirius z8,0:15:05
avslag vetlanda z2,0:15:32
hörna vetlanda z3,0:15:52
skott utanför vetlanda z2,0:16:23
utkast sirius z3,0:16:25
timeout ,0:17:08
utvisning vetlanda 10,0:19:07
frislag sirius z4,0:19:16
boll vetlanda z8,0:19:33
frislag vetlandaz 6,0:19:38
skott täckt vetlanda z2,0:20:10
hörna vetlanda z3,0:20:15
skott utanför vetlanda z2,0:20:41
tappadbol sirius passning z7,0:21:20
mål vetlanda z2 straffområde,0:21:44
avslag sirius z5,0:21:56
skott räddning sirius z8,0:23:18
hörna sirius z9,0:23:20
mål sirius fast z8,0:23:50
avslag vetlanda z5,0:24:48
skott räddning vetlanda z2,0:24:56
utkast sirius z3,0:25:03
närkamp vetlanda z9,0:25:19
närkamp sirius z6,0:25:27
bolltapp sirius passningsförsök z8,0:26:10
boll sirius z5,0:26:15
frislag sirius z8,0:26:39
skott täckt vetlanda ,0:26:48
del,0:26:50
skott täckt sirius ,0:26:53
boll vetlanda,0:26:55
närkamp sirius ,0:26:58
passning straffområde sirius z9,0:27:13
boll sirius z7,0:27:19
skott utanför sirius z8,0:27:28
utkast vetlanda z9,0:27:33
bolltapp vetlanda passning z5,0:28:55
frislag sirius z9,0:29:13
frislag vetlanda z8,0:29:47
del,0:29:56
passning straffområde sirius z9,0:30:02
frislag vetlanda z8,0:30:07
närkamp sirius z6,0:31:19
frislag sirius z7,0:31:42
närkamp sirius z5,0:32:38
skott räddning sirius z8,0:32:51
utkast vetlanda z8,0:33:15
passning lång vetlanda z5,0:33:56
passning straffområde vetlanda,0:34:02
måk straffområde z2,0:34:08
avslag sirius z5,0:34:17
boll sirius z3,0:34:56
utkast vetlanda z7,0:35:29
passning straffområde vetlanda z1,0:36:08
utkast sirius z1,0:36:12
vetöanda närkamp z6,0:36:27
boll sirius z5,0:36:56
närkamp vetlanda z6,0:37:04
boll sirius z4,0:37:35
närkamp sirius z5,0:37:48
skott täckt sirius z8,0:38:07
boll sirius ,0:38:09
bolltapp sirius passning z8,0:38:18
närkamp sirius z2,0:38:24
boll vetlanda ,0:38:56
skott räddning vetlanda z3,0:39:27
boll sirius ,0:39:31
skott utanför sirius z8,0:39:48
utkast vetlanda z6,0:40:00
utkast vetlanda z4,0:40:12
del,0:40:17
utkast sirius z4,0:40:23
boll vetlanda ,0:40:38
passning straffområde vetlanda z3,0:41:14
utkast sirius z1,0:41:18
passning straffområde sirius ,0:41:41
mål straffområde sirius z8,0:41:48
avslag vetlanda z8,0:42:06
skott räddning vetlanda z3,0:42:25
boll sirius z2,0:42:31
skott räddning sirius z8,0:42:53
hörna sirius z9,0:43:06
skott räddning sirius z8,0:43:25
skott utanför sirius z8,0:43:33
utkast vetlanda z9,0:43:39
boll siirus z5,0:44:06
mål sirius z8 straffområde,0:44:16
avslag vetlanda ,0:44:49
bolltapp vetlanda pasnsning z5,0:45:00
nrkamp vetlanda z4,0:45:40
närkamp sirius z4,0:45:44
frislag sirius z5,0:45:52
närkamp vetlanda z8,0:46:15
resning vetlanda z4,0:46:22
stop,0:46:30
