time,team,event,subevent,zone
0:00:00,aik,avslag,0,z5
0:00:16,aik,bolltapp,passförsök,z5
0:00:23,sirius,närkamp,0,z4
0:00:27,sirius,frislag,0,z5
0:00:53,aik,utkast,0,z9
0:01:17,aik,inslag,0,z7
0:01:42,aik,hörna,0,z3
0:02:20,aik,skott,täckt,z2
0:02:37,sirius,boll,0,0
0:02:43,aik,närkamp,0,z5
0:02:59,aik,skott,räddning,z2
0:03:08,sirius,boll,0,0
0:03:28,sirius,skott,räddning,z8
0:03:34,sirius,hörna,0,z9
0:03:54,sirius,skott,täckt,z8
0:04:06,aik,rensning,0,z8
0:04:19,sirius,inslag,0,z7
0:04:26,sirius,skott,räddning,z9
0:04:30,aik,utkast,0,z8
0:04:44,sirius,närkamp,0,z3
0:04:48,sirius,frislag,0,z2
0:04:59,sirius,utvisning,0,0
0:05:16,aik,frislag,0,z2
0:05:59,sirius,utkast,0,z5
0:06:11,aik,utkast,0,z5
0:06:28,aik,bolltapp,tappad,z4
0:06:32,sirius,frislag,0,z5
0:06:46,aik,närkamp,0,z3
0:06:50,aik,frislag,0,z3
0:07:20,aik,inslag,0,z3
0:07:43,aik,hörna,0,z1
0:08:24,aik,skott,räddning,z2
0:08:28,sirius,rensning,0,z2
0:09:19,aik,skott,utanför,z3
0:09:23,sirius,utkast,0,z1
0:09:30,aik,boll,0,0
0:09:36,aik,skott,utanför,z2
0:09:40,sirius,utkast,0,z3
0:10:08,sirius,bolltapp,passförsök,z5
0:11:02,sirius,boll,0,0
0:11:20,sirius,inslag,0,z1
0:11:28,sirius,offside,0,0
0:11:32,aik,boll,0,0
0:12:23,aik,mål,utanför,z1
0:12:47,sirius,timeout,0,0
0:14:15,sirius,avslag,0,z5
0:14:32,sirius,bolltapp,passförsök,z5
0:14:41,aik,inslag,0,z4
0:15:12,aik,hörna,0,z3
0:15:40,aik,skott,räddning,z2
0:15:46,sirius,boll,0,0
0:15:52,sirius,frislag,0,z4
0:16:05,sirius,offside,0,0
0:16:11,aik,boll,0,0
0:16:26,sirius,närkamp,0,z3
0:16:52,sirius,bolltapp,tappad,z5
0:17:08,aik,passning,straffområde,0
0:17:15,aik,boll,0,0
0:17:52,aik,bolltapp,tappad,z2
0:17:57,aik,närkamp,0,z4
0:18:15,aik,skott,utanför,z2
0:18:34,aik,närkamp,0,z6
0:18:45,aik,frislag,0,z2
0:18:57,aik,bolltapp,0,z2
0:19:10,sirius,skott,0,z2
0:19:24,aik,utvisning,0,0
0:19:46,sirius,frislag,0,z4
0:20:20,sirius,hörna,0,z9
0:20:49,sirius,skott,täckt,0
0:20:56,aik,utkast,0,z8
0:21:19,aik,frislag,0,z5
0:21:35,aik,skott,räddning,z2
0:21:38,sirius,boll,0,0
0:21:52,aik,boll,0,0
0:22:37,sirius,utkast,0,z3
0:23:13,aik,närkamp,0,z5
0:23:34,aik,hörna,0,z3
0:24:07,aik,mål,fast,z2
0:24:40,sirius,avslag,0,z2
0:25:22,sirius,frislag,0,z7
0:25:28,sirius,frislag,0,z9
0:25:44,aik,närkamp,0,z9
0:25:56,sirius,närkamp,0,0
0:26:03,sirius,skott,räddning,z8
0:26:13,sirius,skott,utanför,z8
0:26:14,aik,utkast,0,0
0:26:25,sirius,utkast,0,z3
0:26:55,sirius,passning,straffområde,0
0:27:00,aik,närkamp,0,z7
0:27:12,aik,skott,utanför,z3
0:27:15,sirius,utkast,0,z3
0:27:59,sirius,hörna,0,z7
0:28:36,sirius,skott,utanför,z8
0:28:56,aik,boll,0,0
0:29:00,aik,närkamp,0,z5
0:29:23,sirius,närkamp,0,z5
0:29:36,sirius,passning,straffområde,z7
0:29:43,sirius,skott,räddning,z8
0:29:50,sirius,inslag,0,z9
0:29:54,sirius,hörna,0,z9
0:31:04,sirius,skott,täckt,z8
0:31:07,aik,boll,0,0
0:31:22,aik,skott,täckt,z2
0:31:26,aik,hörna,0,z3
0:31:39,aik,mål,fast,z2
