time,team,event,subevent,zone
0:00:00,tellus,avslag,0,z8
0:00:08,tellus,passning,lång,0
0:00:15,tellus,inslag,0,z4
0:01:07,sirius,brytning,0,z4
0:01:39,sirius,bolltapp,passförsök,z7
0:01:58,tellus,skott,räddning,z2
0:02:03,tellus,hörna,0,z1
0:02:27,tellus,mål,fast,z2
0:02:57,sirius,avslag,0,z2
0:03:14,sirius,skott,räddning,z2
0:03:25,sirius,boll,0,z6
0:03:42,sirius,hörna,0,z9
0:04:18,sirius,skott,täckt,z8
0:04:28,tellus,utkast,0,z5
0:04:51,tellus,passning,lång,z2
0:04:56,tellus,hörna,0,z1
0:05:04,tellus,skott,täckt,z2
0:05:09,tellus,hörna,0,z3
0:05:45,tellus,mål,fast,z2
0:06:09,sirius,avslag,0,z2
0:06:22,tellus,närkamp,0,z5
0:06:32,sirius,boll,0,z1
0:06:41,sirius,passning,lång,z2
0:06:50,sirius,straff,0,z8
0:07:29,sirius,mål,fast,z8
0:07:56,tellus,avslag,0,z8
0:08:02,sirius,närkamp,0,z2
0:08:10,tellus,närkamp,0,z5
0:08:34,tellus,passning,straffområde,z1
0:08:39,sirius,boll,0,z2
0:08:53,sirius,frislag,0,z5
0:09:26,sirius,passning,lång,z8
0:09:36,tellus,boll,0,z8
0:09:49,sirius,närkamp,0,z2
0:09:56,sirius,skott,utanför,z8
0:10:03,tellus,utkast,0,z9
0:10:32,tellus,utkast,0,z7
0:10:52,tellus,passning,lång,z2
0:10:56,sirius,utkast,0,z3
0:11:10,sirius,närkamp,0,z5
0:11:41,sirius,skott,utanför,z8
0:11:56,tellus,utkast,0,z8
0:12:27,tellus,passning,straffområde,z1
0:12:31,sirius,boll,0,z3
0:13:03,sirius,passning,straffområde,z9
0:13:10,tellus,närkamp,0,z8
0:13:16,sirius,närkamp,0,z8
0:13:23,sirius,skott,räddning,z7
0:13:32,tellus,utkast,0,z9
0:14:03,sirius,närkamp,0,z6
0:14:13,tellus,frislag,0,z6
0:14:49,tellus,skott,utanför,z3
0:14:55,sirius,utkast,0,z3
0:15:17,sirius,skott,utanför,z8
0:15:22,tellus,utkast,0,z8
0:15:34,tellus,passning,straffområde,z2
0:15:43,sirius,närkamp,0,z2
0:15:50,sirius,skott,utanför,z8
0:16:00,tellus,utkast,0,z8
0:16:45,tellus,passning,straffområde,z1
0:16:56,tellus,hörna,0,z3
0:17:28,tellus,skott,täckt,z3
0:17:34,tellus,boll,0,0
0:17:40,sirius,utkast,0,z2
0:18:26,sirius,passning,lång,z8
0:18:31,tellus,utkast,0,z8
0:18:42,sirius,brytning,0,z5
0:18:52,sirius,bolltapp,passförsök,z7
0:18:56,tellus,utkast,0,z8
0:19:04,sirius,utkast,0,z1
0:19:43,sirius,frislag,0,z4
0:20:19,sirius,passning,straffområde,z8
0:20:24,tellus,boll,0,0
0:20:41,tellus,passning,lång,z2
0:20:43,sirius,närkamp,0,z2
0:21:00,sirius,passning,straffområde,z9
0:21:06,sirius,boll,0,z8
0:21:15,tellus,närkamp,0,z5
0:21:37,sirius,närkamp,0,z8
0:21:44,sirius,straff,0,z8
0:22:28,sirius,skott,räddning,z8
0:22:33,tellus,utkast,0,z9
0:22:38,tellus,utvisning,10,0
0:23:05,sirius,närkamp,0,z5
0:23:11,tellus,närkamp,0,z8
0:23:15,sirius,närkamp,0,z4
0:23:30,sirius,passning,straffområde,z7
0:23:37,sirius,boll,0,0
0:23:54,sirius,hörna,0,z9
0:24:33,sirius,skott,täckt,z8
0:24:43,tellus,utkast,0,z9
0:24:58,sirius,närkamp,0,z5
0:25:13,sirius,passning,straffområde,z8
0:25:33,tellus,utkast,0,z9
0:25:57,tellus,passning,lång,0
0:26:04,sirius,boll,0,0
0:26:13,sirius,inslag,0,z9
0:26:54,sirius,bolltapp,passförsök,z4
0:27:04,tellus,inslag,0,z4
0:27:15,sirius,boll,0,z1
0:27:48,sirius,passning,lång,z8
0:27:51,sirius,friläge,0,z8
0:27:55,sirius,skott,räddning,z8
0:28:07,sirius,hörna,0,z7
0:28:28,sirius,skott,räddning,z8
0:28:36,tellus,utkast,0,z2
0:28:41,sirius,närkamp,0,z2
0:29:22,sirius,hörna,0,z7
0:29:50,sirius,skott,täckt,z8
0:29:55,tellus,rensning,0,z8
0:30:00,sirius,boll,0,0
0:30:42,sirius,skott,utanför,z8
0:30:52,tellus,utkast,0,z8
0:31:16,tellus,passning,straffområde,0
0:31:21,sirius,boll,0,0
0:31:42,tellus,utkast,0,z7
0:32:08,tellus,hörna,0,z1
0:32:35,tellus,skott,utanför,z2
0:32:41,sirius,utkast,0,z3
0:33:43,sirius,passning,straffområde,z7
0:33:48,sirius,hörna,0,z7
0:34:16,sirius,skott,täckt,z8
0:34:29,tellus,frislag,0,z6
0:34:45,tellus,frislag,0,z6
0:35:06,sirius,närkamp,0,z5
0:36:18,tellus,närkamp,0,z5
0:36:23,tellus,rensning,0,0
0:36:28,sirius,utkast,0,z3
0:37:29,sirius,boll,0,0
0:38:07,tellus,boll,0,z8
0:38:21,sirius,närkamp,0,z5
0:38:44,sirius,inslag,0,z6
0:39:18,sirius,mål,straffområde,z8
0:39:43,tellus,avslag,0,z8
0:40:01,sirius,boll,0,z5
0:40:06,sirius,hörna,0,z9
0:40:43,sirius,mål,fast,z8
0:41:09,tellus,avslag,0,z8
0:41:27,sirius,närkamp,0,z1
0:41:50,tellus,boll,0,0
0:41:59,sirius,närkamp,0,z6
0:42:53,sirius,passning,straffområde,z7
0:42:57,tellus,närkamp,0,z5
0:43:06,sirius,närkamp,0,z2
0:43:22,tellus,närkamp,0,z5
0:43:44,tellus,frislag,0,z2
0:43:57,tellus,hörna,0,z1
0:44:27,tellus,skott,utanför,z2
0:44:33,sirius,utkast,0,z1
0:44:44,sirius,passning,lång,z8
0:44:51,tellus,utkast,0,z5
0:45:01,0,stop,0,0
