time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z8
0:00:27,tellus,närkamp,0,z2
0:00:35,sirius,närkamp,0,z5
0:00:41,sirius,inslag,0,z4
0:01:21,sirius,hörna,0,z3
0:01:51,sirius,skott,täckt,0
0:01:59,tellus,utkast,0,z1
0:02:08,tellus,skott,räddning,z7
0:02:11,sirius,utkast,0,z5
0:02:20,sirius,passning,lång,z2
0:02:23,sirius,hörna,0,z1
0:02:55,sirius,skott,täckt,z2
0:02:58,sirius,boll,0,0
0:03:53,sirius,hörna,0,z1
0:04:16,sirius,skott,täckt,z2
0:04:20,sirius,boll,0,z5
0:04:27,sirius,offside,0,0
0:04:31,tellus,boll,0,0
0:05:26,tellus,frislag,0,z1
0:05:42,sirius,närkamp,0,z2
0:05:53,tellus,bolltapp,tappad,z3
0:05:58,sirius,hörna,0,z3
0:06:22,sirius,skott,täckt,z2
0:06:24,sirius,boll,0,0
0:06:46,sirius,frislag,0,z3
0:07:23,sirius,frislag,0,z2
0:07:42,sirius,skott,räddning,z2
0:07:45,tellus,utkast,0,z1
0:08:23,sirius,boll,0,0
0:08:31,sirius,frislag,0,z6
0:08:45,tellus,närkamp,0,0
0:08:57,sirius,närkamp,0,z8
0:09:08,tellus,passning,straffområde,z8
0:09:16,sirius,närkamp,0,z8
0:09:19,sirius,inslag,0,z4
0:10:53,sirius,skott,utanför,z2
0:10:58,tellus,utkast,0,z3
0:11:19,sirius,närkamp,0,z6
0:11:51,tellus,utkast,0,z1
0:12:19,tellus,frislag,0,z6
0:12:39,sirius,närkamp,0,z4
0:13:44,sirius,hörna,0,z1
0:14:20,sirius,skott,utanför,z2
0:14:26,tellus,utkast,0,z1
0:14:54,tellus,närkamp,0,z5
0:15:07,sirius,närkamp,0,z8
0:15:25,sirius,passning,lång,0
0:15:29,tellus,boll,0,0
0:15:37,tellus,skott,täckt,z8
0:15:43,sirius,närkamp,0,z8
0:16:03,tellus,närkamp,0,z4
0:16:18,tellus,inslag,0,z7
0:16:33,tellus,passning,straffområde,z8
0:16:38,sirius,närkamp,0,z8
0:16:48,tellus,brytning,0,z5
0:17:08,tellus,passning,lång,z8
0:17:11,sirius,närkamp,0,z8
0:17:21,sirius,skott,täckt,z2
0:17:28,sirius,inslag,0,z1
0:17:37,sirius,passning,straffområde,z2
0:17:42,tellus,rensning,0,z2
0:17:54,sirius,boll,0,0
0:17:57,tellus,utkast,0,z2
0:18:02,tellus,skott,täckt,z8
0:18:07,sirius,närkamp,0,z8
1:04:11,sirius,passning,lång,0
1:04:14,tellus,närkamp,0,z2
1:04:29,sirius,närkamp,0,z7
1:04:50,sirius,mål,lång,z1
1:05:12,tellus,avslag,0,z2
1:05:40,sirius,närkamp,0,z3
1:05:51,sirius,frislag,0,z3
1:06:07,sirius,frislag,0,z5
1:06:34,sirius,skott,utanför,z2
1:06:48,tellus,utkast,0,z2
1:07:20,sirius,utkast,0,z9
1:07:29,tellus,inslag,0,z6
1:07:56,tellus,frislag,0,z7
1:08:11,tellus,passning,lång,0
1:08:14,sirius,närkamp,0,0
1:09:02,sirius,passning,straffområde,z2
1:09:13,sirius,närkamp,0,z4
1:09:19,sirius,frislag,0,z3
1:09:44,sirius,hörna,0,z3
1:10:12,sirius,skott,täckt,z2
1:10:36,sirius,boll,0,0
1:11:23,sirius,utkast,0,z7
1:11:32,sirius,närkamp,0,0
1:11:47,sirius,frislag,0,z5
1:12:25,tellus,närkamp,0,z2
1:12:43,sirius,närkamp,0,z8
1:12:49,tellus,närkamp,0,z3
1:13:12,tellus,passning,straffområde,z8
1:13:17,tellus,hörna,0,z7
1:13:36,tellus,skott,utanför,z8
1:13:40,tellus,timeout,0,0
1:15:23,sirius,utkast,0,z7
1:15:31,tellus,boll,0,0
1:15:52,sirius,närkamp,0,z7
1:16:06,sirius,frislag,0,0
1:16:17,sirius,passning,lång,z3
1:16:29,sirius,passning,straffområde,z2
1:17:42,sirius,frislag,0,z2
1:18:19,tellus,utkast,0,z2
1:18:32,sirius,boll,0,0
1:18:39,tellus,utkast,0,0
1:18:42,sirius,boll,0,0
1:20:19,tellus,boll,0,0
1:20:30,tellus,skott,räddning,z7
1:20:43,sirius,utkast,0,0
1:20:50,sirius,skott,täckt,z1
1:21:04,tellus,utkast,0,0
1:21:35,sirius,närkamp,0,z5
1:21:42,tellus,frislag,0,z4
1:22:09,tellus,passning,straffområde,z8
1:22:34,sirius,utkast,0,z7
1:22:46,sirius,passning,lång,z2
1:23:13,sirius,inslag,0,z6
1:23:27,sirius,inslag,0,z4
1:23:46,sirius,hörna,0,z3
1:24:15,sirius,skott,täckt,0
1:24:20,tellus,utkast,0,z1
1:25:00,tellus,passning,lång,0
1:25:06,sirius,närkamp,0,z8
1:25:11,sirius,skott,räddning,z2
1:25:14,tellus,utkast,0,0
1:25:32,sirius,utkast,0,z6
1:49:32,0,stop,0,0
