time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:38,vänersborg,närkamp,0,z9
0:00:49,sirius,brytning,0,z5
0:01:48,sirius,frislag,0,z5
0:02:16,sirius,passning,straffområde,z7
0:02:23,sirius,boll,0,z4
0:02:46,sirius,passning,0,z2
0:02:58,sirius,skott,räddning,z8
0:03:05,sirius,skottyp,friställande,z8
0:03:10,sirius,hörna,0,z7
0:03:15,sirius,skott,täckt,z8
0:03:23,sirius,boll,0,0
0:04:33,sirius,bolltapp,tappad,z7
0:04:56,vänersborg,passning,straffområde,z2
0:05:06,vänersborg,hörna,0,z1
0:05:35,vänersborg,skott,täckt,z2
0:05:44,vänersborg,mål,fast,z2
0:06:02,sirius,avslag,0,z5
0:06:18,sirius,bolltapp,tappad,z5
0:06:42,vänersborg,bolltapp,passförsök,z4
0:06:50,vänersborg,närkamp,0,z5
0:06:57,sirius,utkast,0,z1
0:07:55,vänersborg,närkamp,0,z5
0:08:13,vänersborg,skott,räddning,z2
0:08:25,vänersborg,skottyp,centralt,z2
0:08:29,vänersborg,hörna,0,z1
0:08:42,vänersborg,skott,utanför,z2
0:08:45,sirius,utkast,0,z1
0:09:24,vänersborg,närkamp,0,z6
0:09:36,vänersborg,bolltapp,passförsök,z1
0:09:46,sirius,frislag,0,z1
0:10:56,sirius,passning,straffområde,z8
0:11:01,sirius,boll,0,z4
0:11:25,sirius,passning,straffområde,z2
0:11:36,vänersborg,rensning,0,z8
0:11:48,vänersborg,närkamp,0,z6
0:12:07,vänersborg,passning,lång,z2
0:12:14,sirius,utkast,0,z1
0:12:23,sirius,passning,lång,z8
0:12:30,vänersborg,utkast,0,z8
0:12:42,vänersborg,skott,utanför,z2
0:12:50,vänersborg,skottyp,utifrån,z2
0:12:54,sirius,utkast,0,z3
0:13:30,vänersborg,närkamp,0,z5
0:13:41,vänersborg,frislag,0,z4
0:14:52,sirius,brytning,0,z5
0:15:32,0,timeout,0,0
0:16:24,sirius,frislag,0,z4
0:16:33,vänersborg,närkamp,0,z5
0:16:40,sirius,närkamp,0,z5
0:16:49,vänersborg,frislag,0,z6
0:17:11,sirius,närkamp,0,z5
0:17:20,sirius,passning,straffområde,z7
0:17:28,sirius,boll,0,z5
0:17:42,vänersborg,utvisning,10,0
0:18:39,sirius,frislag,0,z6
0:19:03,sirius,passning,straffområde,z9
0:19:10,sirius,skott,räddning,z8
0:19:19,sirius,skottyp,inlägg,z8
0:19:24,sirius,offside,0,0
0:19:28,vänersborg,utkast,0,0
0:19:38,sirius,utkast,0,z3
0:20:01,vänersborg,brytning,0,z8
0:20:44,vänersborg,bolltapp,passförsök,z6
0:21:07,sirius,skott,räddning,0
0:21:15,sirius,skottyp,inlägg,0
0:21:18,vänersborg,utkast,0,0
0:21:25,sirius,närkamp,0,0
0:21:52,sirius,mål,straffområde,z8
0:22:01,sirius,skottyp,inlägg,z8
0:22:36,vänersborg,avslag,0,0
0:22:44,vänersborg,skott,räddning,z2
0:22:54,vänersborg,skottyp,dribbling,z2
0:22:58,sirius,utkast,0,0
0:23:18,sirius,frislag,0,z7
0:23:25,sirius,skott,utanför,z8
0:23:34,sirius,skottyp,utifrån,z8
0:23:43,vänersborg,utkast,0,0
0:23:57,sirius,närkamp,0,z5
0:24:13,sirius,passning,lång,z7
0:24:17,vänersborg,utkast,0,z8
0:24:38,sirius,närkamp,0,z3
0:24:45,vänersborg,närkamp,0,z5
0:24:54,vänersborg,frislag,0,z4
0:25:01,vänersborg,skott,utanför,z4
0:25:12,vänersborg,skottyp,utifrån,0
0:25:18,sirius,utkast,0,z8
0:25:25,vänersborg,utkast,0,0
0:25:35,vänersborg,skott,utanför,z2
0:25:43,vänersborg,skottyp,centralt,0
0:25:46,sirius,utkast,0,0
0:25:52,vänersborg,boll,0,0
0:26:21,sirius,boll,0,0
0:26:43,sirius,passning,straffområde,z8
0:26:52,sirius,hörna,0,z9
0:27:12,sirius,skott,utanför,z8
0:27:17,vänersborg,utkast,0,z9
0:27:43,vänersborg,passning,straffområde,z3
0:27:53,vänersborg,boll,0,0
0:28:10,sirius,inslag,0,0
0:28:45,sirius,skott,utanför,0
0:28:53,sirius,skottyp,dribbling,0
0:28:58,sirius,frislag,0,z7
0:29:13,vänersborg,närkamp,0,z7
0:29:22,vänersborg,skott,utanför,0
0:29:28,vänersborg,skottyp,utifrån,0
0:29:31,sirius,utkast,0,z2
0:29:59,sirius,bolltapp,passförsök,0
0:30:08,sirius,timeout,0,0
0:31:57,vänersborg,boll,0,0
