time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z2
0:00:34,sirius,närkamp,0,z3
0:00:42,edsbyn,närkamp,0,z4
0:02:24,edsbyn,passning,straffområde,z7
0:02:34,edsbyn,skott,räddning,z7
0:02:37,edsbyn,hörna,0,z9
0:02:50,edsbyn,skott,utanför,z8
0:02:57,sirius,utkast,0,z8
0:03:31,edsbyn,närkamp,0,z6
0:03:51,edsbyn,hörna,0,z9
0:04:15,edsbyn,skott,utanför,z8
0:04:18,sirius,utkast,0,z7
0:04:35,edsbyn,närkamp,0,z5
0:04:48,edsbyn,passning,straffområde,z7
0:04:53,edsbyn,närkamp,0,z8
0:05:03,sirius,rensning,0,z2
0:05:08,edsbyn,boll,0,z5
0:05:29,sirius,utvisning,10,0
0:05:50,edsbyn,boll,0,z5
0:05:55,edsbyn,hörna,0,z9
0:06:23,edsbyn,skott,räddning,z8
0:06:26,sirius,utkast,0,z7
0:06:30,edsbyn,närkamp,0,z5
0:06:42,edsbyn,skott,utanför,z7
0:06:49,sirius,utkast,0,z7
0:07:24,sirius,frislag,0,z3
0:07:53,sirius,närkamp,0,z4
0:07:57,edsbyn,närkamp,0,z4
0:08:04,sirius,närkamp,0,z8
0:08:12,sirius,frislag,0,z6
0:08:47,edsbyn,utkast,0,z3
0:09:16,edsbyn,närkamp,0,z8
0:09:42,edsbyn,friläge,0,z8
0:09:47,edsbyn,mål,straffområde,z8
0:10:01,sirius,avslag,0,z8
0:10:13,edsbyn,utkast,0,z3
0:10:45,edsbyn,skott,täckt,z7
0:10:49,edsbyn,hörna,0,z7
0:11:12,edsbyn,skott,täckt,z8
0:11:15,edsbyn,skott,räddning,z8
0:11:19,sirius,utkast,0,z6
0:11:38,sirius,passning,straffområde,z1
0:11:42,edsbyn,närkamp,0,z2
0:12:04,edsbyn,inslag,0,z7
0:12:49,sirius,utvisning,10,z5
0:13:08,edsbyn,frislag,0,z5
0:13:49,edsbyn,passning,straffområde,z7
0:13:53,edsbyn,närkamp,0,z6
0:14:10,edsbyn,hörna,0,z9
0:14:38,edsbyn,skott,täckt,z8
0:14:44,edsbyn,närkamp,0,z8
0:15:01,edsbyn,mål,lång,z8
0:15:09,sirius,timeout,0,0
0:16:36,sirius,avslag,0,z8
0:17:01,sirius,skott,täckt,z3
0:17:03,sirius,hörna,0,z3
0:17:24,sirius,skott,täckt,z2
0:17:33,sirius,boll,0,z4
0:17:45,edsbyn,utkast,0,z4
0:18:04,sirius,närkamp,0,z5
0:18:14,sirius,passning,straffområde,z3
0:18:19,edsbyn,boll,0,z2
0:18:30,sirius,utkast,0,z8
0:19:11,sirius,skott,täckt,z2
0:19:18,edsbyn,utkast,0,z1
0:19:59,edsbyn,skott,räddning,z7
0:20:02,sirius,utkast,0,z5
0:20:23,sirius,skott,utanför,z2
0:20:27,edsbyn,utkast,0,z3
0:21:00,edsbyn,bolltapp,tappad,z7
0:21:25,edsbyn,boll,0,z6
0:21:28,sirius,närkamp,0,z5
0:21:54,sirius,bolltapp,passförsök,z2
0:22:16,sirius,närkamp,0,z8
0:22:24,edsbyn,närkamp,0,z6
0:22:40,sirius,närkamp,0,z6
0:22:52,sirius,skott,täckt,z3
0:22:57,edsbyn,boll,0,z2
0:23:10,edsbyn,passning,straffområde,z7
0:23:13,edsbyn,boll,0,z6
0:23:44,edsbyn,hörna,0,z9
0:24:19,edsbyn,mål,fast,z8
0:24:52,sirius,avslag,0,z8
0:25:21,sirius,närkamp,0,z6
0:25:30,edsbyn,utkast,0,z2
0:25:40,sirius,närkamp,0,z7
0:25:48,sirius,skott,utanför,z3
0:26:04,edsbyn,utkast,0,z3
0:26:15,sirius,närkamp,0,z4
0:26:26,sirius,mål,straffområde,z2
0:26:52,edsbyn,avslag,0,z2
0:27:30,sirius,utkast,0,z7
0:27:44,sirius,frislag,0,z5
0:28:32,sirius,skott,utanför,z4
0:28:36,edsbyn,utkast,0,z1
0:28:58,sirius,utkast,0,z7
0:29:15,sirius,skott,räddning,z2
0:29:23,edsbyn,utkast,0,z3
0:29:30,sirius,boll,0,z8
0:29:42,sirius,bolltapp,passförsök,z2
0:29:57,edsbyn,mål,lång,z8
0:30:29,sirius,avslag,0,z2
0:30:49,edsbyn,rensning,0,z2
0:31:08,edsbyn,närkamp,0,z2
0:31:35,edsbyn,passning,straffområde,z7
0:31:46,edsbyn,boll,0,0
0:32:34,edsbyn,passning,straffområde,z8
0:32:43,edsbyn,mål,straffområde,z8
0:33:06,sirius,avslag,0,z8
0:33:26,edsbyn,närkamp,0,z3
