time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:16,vetlanda,närkamp,0,z2
0:00:19,sirius,frislag,0,z2
0:00:37,sirius,passning,straffområde,z2
0:00:40,vetlanda,utkast,0,z1
0:01:27,vetlanda,närkamp,0,z5
0:01:43,vetlanda,passning,lång,z7
0:01:47,vetlanda,offside,0,z7
0:02:01,sirius,skott,utanför,z2
0:02:05,sirius,skottyp,utifrån,z2
0:02:10,vetlanda,utvisning,10,0
0:02:48,vetlanda,utkast,0,z1
0:03:07,sirius,närkamp,0,z6
0:03:45,vetlanda,närkamp,0,z5
0:04:25,vetlanda,närkamp,0,z5
0:04:31,sirius,närkamp,0,z8
0:05:21,vetlanda,närkamp,0,z1
0:05:24,vetlanda,utkast,0,z3
0:05:40,vetlanda,passning,straffområde,z8
0:05:43,sirius,boll,0,0
0:05:55,sirius,frislag,0,z3
0:06:28,sirius,passning,lång,z2
0:06:33,vetlanda,utkast,0,z1
0:07:14,vetlanda,skott,utanför,z8
0:07:18,vetlanda,skottyp,utifrån,z8
0:07:20,sirius,utkast,0,z8
0:07:56,vetlanda,närkamp,0,z1
0:07:59,vetlanda,inslag,0,z1
0:08:17,sirius,inslag,0,z4
0:09:04,sirius,skott,utanför,z2
0:09:09,sirius,skottyp,utifrån,z2
0:09:11,vetlanda,utkast,0,z3
0:09:30,sirius,närkamp,0,z5
0:09:37,vetlanda,brytning,0,z2
0:09:41,sirius,närkamp,0,z1
0:09:48,vetlanda,frislag,0,z2
0:10:05,vetlanda,frislag,0,z9
0:10:21,vetlanda,passning,straffområde,z7
0:10:27,vetlanda,skott,utanför,z7
0:10:31,vetlanda,skottyp,inlägg,z7
0:10:44,sirius,utkast,0,0
0:11:00,sirius,hörna,0,z3
0:11:27,sirius,skott,täckt,z2
0:11:30,sirius,skottyp,fast,z2
0:11:33,vetlanda,utkast,0,z1
0:12:14,sirius,närkamp,0,z7
0:12:21,vetlanda,närkamp,0,z4
0:12:57,vetlanda,passning,straffområde,z8
0:13:04,vetlanda,skott,utanför,z8
0:13:09,vetlanda,skottyp,friställande,z8
0:13:14,sirius,utkast,0,0
0:13:23,sirius,skott,räddning,z8
0:13:27,sirius,skottyp,centralt,z8
0:13:31,vetlanda,utkast,0,0
0:13:43,vetlanda,närkamp,0,z5
0:14:34,vetlanda,passning,lång,z4
0:14:37,sirius,närkamp,0,z4
0:15:29,sirius,passning,straffområde,z2
0:15:32,sirius,närkamp,0,z2
0:15:38,sirius,skott,utanför,z2
0:15:44,sirius,skottyp,utifrån,z2
0:15:47,vetlanda,utkast,0,0
0:16:04,sirius,närkamp,0,z7
0:16:25,vetlanda,närkamp,0,z5
0:16:28,vetlanda,inslag,0,z6
0:17:15,vetlanda,närkamp,0,z6
0:17:29,vetlanda,passning,straffområde,z8
0:17:32,vetlanda,skott,utanför,z8
0:17:38,vetlanda,skottyp,centralt,z8
0:17:40,sirius,utkast,0,0
0:17:49,sirius,frislag,0,z1
0:18:24,sirius,mål,straffområde,z2
0:18:28,sirius,skottyp,centralt,z2
0:18:58,vetlanda,avslag,0,0
0:19:27,vetlanda,passning,straffområde,z8
0:19:32,vetlanda,skott,räddning,z8
0:19:37,vetlanda,skottyp,inlägg,z8
0:19:40,sirius,närkamp,0,z8
0:20:45,sirius,passning,straffområde,z2
0:20:50,sirius,skott,täckt,z2
0:20:54,sirius,skottyp,inlägg,z2
0:20:57,sirius,hörna,0,z1
0:21:19,sirius,skott,räddning,z2
0:21:22,sirius,skottyp,fast,z2
0:21:26,vetlanda,rensning,0,0
0:21:47,sirius,passning,straffområde,z2
0:21:53,sirius,boll,0,z1
0:22:26,vetlanda,närkamp,0,z3
0:22:28,vetlanda,utkast,0,z1
0:22:35,sirius,närkamp,0,z1
0:22:42,vetlanda,närkamp,0,z2
0:22:46,vetlanda,utkast,0,z3
0:23:05,vetlanda,närkamp,0,z6
0:23:30,sirius,brytning,0,z8
0:23:49,sirius,skott,räddning,z2
0:23:53,sirius,skottyp,centralt,z2
0:23:55,vetlanda,utkast,0,z2
0:24:29,sirius,närkamp,0,z7
0:24:38,vetlanda,närkamp,0,z6
0:24:47,vetlanda,skott,täckt,z8
0:24:51,sirius,boll,0,0
0:25:03,vetlanda,närkamp,0,z2
0:25:16,sirius,närkamp,0,z6
0:26:01,sirius,närkamp,0,z5
0:26:15,sirius,frislag,0,z7
0:26:18,vetlanda,timeout,0,0
0:28:01,sirius,boll,0,z7
0:28:28,sirius,frislag,0,z2
0:28:46,sirius,skott,räddning,z2
0:28:48,sirius,skottyp,fast,z2
0:28:52,sirius,hörna,0,z3
0:29:15,sirius,skott,utanför,z2
0:29:19,sirius,skottyp,fast,z2
0:29:39,vetlanda,utkast,0,z1
0:29:51,vetlanda,passning,lång,z8
0:29:55,sirius,närkamp,0,z8
0:30:11,vetlanda,närkamp,0,z2
0:30:20,vetlanda,passning,lång,z8
0:30:23,vetlanda,friläge,0,z8
0:30:26,vetlanda,skott,utanför,z8
0:30:32,vetlanda,skottyp,friställande,z8
0:30:40,sirius,utkast,0,0
0:30:42,sirius,närkamp,0,z1
0:30:48,sirius,passning,straffområde,z2
0:30:51,vetlanda,brytning,0,z2
0:31:02,vetlanda,passning,straffområde,z8
0:31:10,sirius,utkast,0,z9
0:31:49,sirius,passning,straffområde,z2
0:31:56,sirius,boll,0,z3
0:32:31,vetlanda,närkamp,0,z5
0:32:45,vetlanda,närkamp,0,z7
0:33:11,vetlanda,passning,straffområde,z8
0:33:13,sirius,boll,0,0
0:33:22,sirius,skott,täckt,z2
0:33:27,sirius,skottyp,utifrån,z2
0:33:32,sirius,hörna,0,z1
0:33:56,sirius,skott,täckt,z2
0:34:00,sirius,skottyp,fast,z2
0:34:04,0,timeout,0,0
0:34:42,vetlanda,utkast,0,z3
0:35:07,vetlanda,närkamp,0,z5
0:35:28,vetlanda,skott,räddning,z7
0:35:32,vetlanda,skottyp,utifrån,z7
0:35:35,vetlanda,hörna,0,z7
0:35:55,vetlanda,skott,täckt,z8
0:36:01,vetlanda,skottyp,fast,z8
0:36:06,vetlanda,skott,räddning,z8
0:36:11,vetlanda,skottyp,retur,z8
0:36:14,sirius,utkast,0,0
0:36:39,sirius,passning,lång,z2
0:36:42,vetlanda,utkast,0,0
0:36:57,vetlanda,passning,lång,z8
0:37:02,sirius,utkast,0,z8
0:37:07,sirius,bolltapp,tappad,z8
0:37:10,sirius,hörna,0,z7
0:37:35,vetlanda,skott,utanför,z8
0:37:39,vetlanda,skottyp,fast,z8
0:37:44,sirius,utkast,0,z8
0:38:18,sirius,passning,lång,z2
0:38:27,vetlanda,brytning,0,z2
0:38:30,sirius,hörna,0,z1
0:38:51,sirius,skott,räddning,z2
0:38:54,sirius,skottyp,fast,z2
0:38:59,vetlanda,utkast,0,0
0:39:33,sirius,brytning,0,z5
0:39:44,sirius,passning,lång,z2
0:39:46,vetlanda,utkast,0,z1
0:40:06,sirius,närkamp,0,z7
0:40:39,vetlanda,brytning,0,z2
0:41:04,vetlanda,passning,lång,z9
0:41:11,sirius,inslag,0,z9
0:41:19,vetlanda,frislag,0,z5
0:41:28,vetlanda,närkamp,0,z5
0:41:41,sirius,utkast,0,z8
0:42:38,vetlanda,närkamp,0,z6
0:42:53,vetlanda,frislag,0,z8
0:43:25,vetlanda,skott,täckt,z8
0:43:29,vetlanda,skottyp,fast,z8
0:43:37,vetlanda,hörna,0,z7
0:43:55,vetlanda,skott,täckt,z8
0:43:57,vetlanda,boll,0,0
0:44:19,vetlanda,närkamp,0,z2
0:44:34,vetlanda,frislag,0,z7
0:44:54,vetlanda,passning,straffområde,z8
0:44:59,sirius,rensning,0,0
0:45:08,vetlanda,passning,lång,z8
0:45:10,sirius,utkast,0,0
0:45:26,vetlanda,boll,0,z2
0:45:43,vetlanda,skott,räddning,z8
0:45:47,vetlanda,skottyp,utifrån,z8
0:45:50,sirius,utkast,0,0
0:46:19,sirius,skott,utanför,z2
0:46:22,sirius,skottyp,utifrån,z2
0:46:25,vetlanda,utkast,0,0
0:46:44,vetlanda,hörna,0,z7
