time,team,event,subevent,zone
0:00:00,vetlanda,avslag,0,z5
0:00:21,sirius,närkamp,0,z6
0:00:27,vetlanda,närkamp,0,z2
0:00:42,sirius,närkamp,0,z8
0:01:08,sirius,frislag,0,z6
0:01:30,vetlanda,närkamp,0,z1
0:02:13,vetlanda,skott,räddning,z8
0:02:17,vetlanda,hörna,0,z7
0:02:45,vetlanda,mål,fast,z8
0:03:25,sirius,avslag,0,z5
0:03:56,sirius,frislag,0,z6
0:04:36,vetlanda,utkast,0,z3
0:04:52,sirius,närkamp,0,z6
0:06:02,sirius,hörna,0,z3
0:06:47,sirius,skott,täckt,z2
0:06:59,vetlanda,närkamp,0,z2
0:07:03,sirius,närkamp,0,z6
0:07:12,vetlanda,närkamp,0,z2
0:07:25,vetlanda,närkamp,0,z4
0:07:34,sirius,närkamp,0,z7
0:08:00,vetlanda,frislag,0,z4
0:08:10,sirius,närkamp,0,z8
0:08:32,sirius,passning,straffområde,z1
0:08:38,vetlanda,utkast,0,z2
0:08:46,sirius,utkast,0,z7
0:09:23,sirius,frislag,0,z5
0:09:59,sirius,frislag,0,z3
0:10:35,sirius,frislag,0,z6
0:10:46,sirius,frislag,0,z5
0:11:34,vetlanda,närkamp,0,z1
0:11:41,sirius,närkamp,0,z1
0:11:47,sirius,passning,straffområde,z1
0:11:52,vetlanda,närkamp,0,z2
0:12:00,vetlanda,skott,täckt,z8
0:12:09,sirius,närkamp,0,z8
0:12:45,sirius,passning,straffområde,z3
0:12:51,sirius,mål,straffområde,z2
0:13:12,vetlanda,avslag,0,z5
0:13:22,sirius,närkamp,0,z8
0:13:34,sirius,hörna,0,z1
0:14:09,sirius,skott,täckt,z8
0:14:16,vetlanda,utkast,0,z4
0:14:38,vetlanda,frislag,0,z4
0:15:04,vetlanda,hörna,0,z7
0:15:36,vetlanda,skott,utanför,z8
0:15:40,sirius,utkast,0,z9
0:16:03,sirius,passning,lång,z2
0:16:12,vetlanda,närkamp,0,z2
0:16:20,sirius,närkamp,0,z8
0:16:24,sirius,hörna,0,z3
0:17:01,sirius,skott,räddning,z8
0:17:05,sirius,närkamp,0,z8
0:17:24,sirius,frislag,0,z6
0:17:41,sirius,frislag,0,z5
0:18:37,vetlanda,utkast,0,z2
0:18:44,sirius,närkamp,0,z4
0:18:59,sirius,skott,räddning,z1
0:19:09,sirius,närkamp,0,z2
0:19:38,sirius,närkamp,0,z4
0:19:57,sirius,frislag,0,z5
0:21:10,sirius,närkamp,0,z3
0:21:25,sirius,skott,räddning,z3
0:21:31,vetlanda,utkast,0,z1
0:21:45,vetlanda,närkamp,0,z8
0:22:09,sirius,utkast,0,z8
0:22:35,sirius,frislag,0,z4
0:23:18,sirius,frislag,0,z6
0:24:06,sirius,passning,straffområde,z1
0:24:13,sirius,skott,täckt,z2
0:24:19,sirius,närkamp,0,z2
0:25:04,sirius,närkamp,0,z5
0:25:34,sirius,bolltapp,bolltapp,z6
0:25:39,sirius,närkamp,0,z6
0:25:56,vetlanda,närkamp,0,z3
0:26:03,sirius,närkamp,0,z6
0:26:32,sirius,offside,0,z2
0:27:01,vetlanda,inslag,0,z6
0:27:07,sirius,utkast,0,z9
0:27:24,sirius,frislag,0,z3
0:28:20,vetlanda,närkamp,0,z4
0:28:37,sirius,närkamp,0,z4
0:28:41,sirius,frislag,0,z4
0:29:03,sirius,hörna,0,z3
0:29:38,sirius,skott,täckt,z2
0:30:14,vetlanda,inslag,0,z3
0:30:52,vetlanda,passning,lång,z7
0:31:00,sirius,närkamp,0,z8
0:31:07,vetlanda,närkamp,0,z3
0:31:23,vetlanda,bolltapp,bolltapp,z8
0:31:34,vetlanda,utkast,0,z1
0:31:43,sirius,utkast,0,z5
0:32:16,vetlanda,närkamp,0,z4
0:32:26,vetlanda,frislag,0,z7
0:32:43,sirius,utkast,0,z7
0:33:12,sirius,frislag,0,z6
0:33:37,sirius,frislag,0,z2
0:34:30,sirius,närkamp,0,z2
0:34:39,sirius,frislag,0,z2
0:35:02,sirius,bolltapp,bolltapp,z2
0:35:06,vetlanda,utkast,0,z2
0:35:44,sirius,frislag,0,z7
0:36:22,sirius,bolltapp,bolltapp,z2
0:36:29,vetlanda,passning,lång,z8
0:36:34,sirius,närkamp,0,z8
0:36:46,sirius,passning,straffområde,z3
0:36:52,sirius,inslag,0,z1
0:37:53,sirius,hörna,0,z1
0:38:30,sirius,skott,räddning,z3
0:38:45,vetlanda,utkast,0,z3
0:39:00,vetlanda,bolltapp,bolltapp,z7
0:39:09,vetlanda,närkamp,0,z1
0:39:31,vetlanda,inslag,0,z4
0:39:41,sirius,närkamp,0,z5
0:39:52,vetlanda,närkamp,0,z5
0:40:07,vetlanda,skott,täckt,z8
0:40:28,sirius,närkamp,0,z8
0:40:37,sirius,bolltapp,bolltapp,z7
0:40:42,sirius,närkamp,0,z7
0:40:49,sirius,frislag,0,z1
0:41:46,sirius,frislag,0,z6
0:42:03,sirius,frislag,0,z1
0:42:12,sirius,skott,utanför,z2
0:42:22,vetlanda,utkast,0,z3
0:42:39,sirius,närkamp,0,z9
0:43:34,vetlanda,utkast,0,z1
0:43:53,sirius,närkamp,0,z5
0:44:09,vetlanda,närkamp,0,z4
0:44:18,sirius,närkamp,0,z8
0:44:30,sirius,skott,utanför,z3
0:44:38,vetlanda,utkast,0,z1
0:44:57,sirius,närkamp,0,z6
0:45:03,sirius,skott,räddning,z2
0:45:13,vetlanda,utkast,0,z2
0:45:27,sirius,utkast,0,z9
0:45:32,0,stopp,0,0
