time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:10,sirius,passning,lång,z7
0:00:17,sirius,passning,straffområde,z8
0:00:20,edsbyn,utkast,0,0
0:00:33,edsbyn,passning,straffområde,z2
0:00:36,edsbyn,boll,0,z3
0:00:52,sirius,utkast,0,z2
0:01:13,edsbyn,närkamp,0,z7
0:01:36,sirius,boll,0,z3
0:01:54,sirius,offside,0,z8
0:01:58,edsbyn,boll,0,0
0:02:16,edsbyn,skott,räddning,z2
0:02:22,edsbyn,skottyp,dribbling,z2
0:02:27,edsbyn,mål,straffområde,z2
0:02:31,edsbyn,skottyp,retur,z2
0:02:42,sirius,avslag,0,0
0:02:54,sirius,närkamp,0,z5
0:03:19,sirius,frislag,0,z1
0:03:25,sirius,passning,lång,z8
0:03:34,sirius,skott,räddning,z8
0:03:46,sirius,skottyp,centralt,z8
0:03:48,sirius,hörna,0,z7
0:04:02,sirius,skott,0,z8
0:04:08,sirius,skottyp,fast,z8
0:04:15,sirius,skott,utanför,z9
0:04:21,sirius,skottyp,utifrån,z9
0:04:31,sirius,frislag,0,z7
0:04:59,edsbyn,närkamp,0,z8
0:05:12,sirius,närkamp,0,z2
0:05:17,sirius,närkamp,0,z3
0:05:31,sirius,mål,straffområde,z8
0:05:37,sirius,skottyp,dribbling,z8
0:06:11,edsbyn,avslag,0,z5
0:06:43,edsbyn,skott,täckt,z2
0:06:48,edsbyn,skottyp,utifrån,z2
0:06:50,edsbyn,hörna,0,z1
0:07:09,edsbyn,skott,täckt,z2
0:07:12,edsbyn,skottyp,fast,z2
0:07:14,sirius,utkast,0,0
0:08:01,sirius,skott,täckt,z5
0:08:06,sirius,skottyp,utifrån,z5
0:08:13,sirius,närkamp,0,z7
0:08:16,edsbyn,inslag,0,z7
0:08:53,edsbyn,frislag,0,z2
0:09:12,sirius,utkast,0,z3
0:09:32,edsbyn,utkast,0,z8
0:09:50,sirius,utkast,0,z3
0:10:04,sirius,hörna,0,z9
0:10:31,sirius,skott,täckt,z8
0:10:35,sirius,skottyp,fast,z8
0:10:41,edsbyn,boll,0,0
0:10:50,edsbyn,mål,straffområde,z2
0:11:10,edsbyn,skottyp,dribbling,z2
0:11:13,sirius,avslag,0,0
0:11:31,edsbyn,närkamp,0,z4
0:11:44,edsbyn,passning,straffområde,z2
0:11:47,sirius,närkamp,0,z6
0:11:54,sirius,mål,straffområde,z8
0:12:03,sirius,skottyp,utifrån,z8
0:12:22,edsbyn,avslag,0,0
0:12:43,edsbyn,passning,lång,z2
0:12:48,edsbyn,närkamp,0,z3
0:12:55,edsbyn,passning,straffområde,z2
0:12:59,sirius,utkast,0,z3
0:13:13,sirius,hörna,0,z9
0:13:39,sirius,skott,räddning,z8
0:13:43,sirius,skottyp,fast,z8
0:13:48,edsbyn,utkast,0,z7
0:14:41,edsbyn,passning,straffområde,z2
0:14:45,edsbyn,mål,straffområde,z2
0:14:52,edsbyn,skottyp,inlägg,z2
0:15:14,sirius,avslag,0,0
0:15:33,sirius,hörna,0,z7
0:16:00,sirius,skott,utanför,z8
0:16:03,sirius,skottyp,fast,z8
0:16:05,edsbyn,utkast,0,0
0:16:44,edsbyn,passning,straffområde,z2
0:16:49,edsbyn,skott,täckt,z2
0:16:55,edsbyn,skottyp,inlägg,z2
0:16:57,sirius,närkamp,0,z3
0:17:02,edsbyn,närkamp,0,z6
0:17:12,edsbyn,skott,utanför,z2
0:17:20,edsbyn,skottyp,centralt,z2
0:17:23,sirius,utkast,0,0
0:17:47,sirius,närkamp,0,z2
0:18:08,sirius,frislag,0,z9
0:18:31,edsbyn,närkamp,0,z9
0:18:41,edsbyn,inslag,0,z6
0:18:49,edsbyn,skott,räddning,z2
0:18:53,edsbyn,skottyp,utifrån,z2
0:19:02,edsbyn,hörna,0,z1
0:19:19,edsbyn,skott,täckt,z2
0:19:25,edsbyn,skottyp,fast,z2
0:19:31,edsbyn,boll,0,z4
0:19:40,edsbyn,närkamp,0,z4
0:20:32,edsbyn,närkamp,0,z4
0:21:41,edsbyn,passning,lång,z2
0:21:46,sirius,utkast,0,z2
0:21:48,sirius,frislag,0,z2
0:22:31,sirius,passning,straffområde,z8
0:22:35,sirius,skott,täckt,z8
0:22:39,sirius,skottyp,inlägg,z8
0:22:43,sirius,närkamp,0,z5
0:22:54,sirius,skott,räddning,z8
0:22:58,sirius,skottyp,utifrån,z8
0:23:01,edsbyn,närkamp,0,z8
0:23:09,edsbyn,skott,räddning,z2
0:23:14,edsbyn,skottyp,utifrån,z2
0:23:21,edsbyn,hörna,0,z1
0:23:39,edsbyn,skott,täckt,z2
0:23:44,edsbyn,skottyp,fast,z2
0:23:49,edsbyn,boll,0,0
0:24:19,edsbyn,närkamp,0,z6
0:25:10,edsbyn,passning,straffområde,z2
0:25:16,edsbyn,inslag,0,z4
0:25:44,sirius,närkamp,0,z2
0:26:27,sirius,närkamp,0,z9
0:26:41,edsbyn,närkamp,0,z8
0:27:59,edsbyn,närkamp,0,z2
0:28:03,sirius,utkast,0,0
0:28:42,sirius,skott,räddning,z8
0:28:48,sirius,skottyp,centralt,z8
0:28:51,sirius,boll,0,0
0:29:20,sirius,passning,lång,z5
0:29:25,edsbyn,närkamp,0,z5
0:29:56,edsbyn,passning,straffområde,z2
0:30:01,sirius,utkast,0,0
0:30:24,sirius,frislag,0,z6
0:30:40,sirius,passning,lång,z8
0:30:44,edsbyn,närkamp,0,z8
0:30:47,edsbyn,utkast,0,0
0:31:02,edsbyn,passning,straffområde,z2
0:31:06,edsbyn,skott,utanför,z2
0:31:11,edsbyn,skottyp,inlägg,z2
0:31:19,edsbyn,skott,utanför,z2
0:31:24,edsbyn,skottyp,retur,z2
0:31:25,sirius,utkast,0,0
0:31:29,sirius,närkamp,0,z5
0:31:38,sirius,frislag,0,z7
0:32:21,edsbyn,närkamp,0,z9
0:32:37,edsbyn,skott,räddning,z2
0:32:42,edsbyn,skottyp,centralt,z2
0:32:47,sirius,boll,0,0
0:32:51,sirius,frislag,0,z6
0:33:19,sirius,frislag,0,z8
0:33:34,sirius,närkamp,0,z8
0:33:53,edsbyn,utkast,0,z8
0:34:10,sirius,närkamp,0,z6
0:34:29,edsbyn,närkamp,0,z9
0:34:44,edsbyn,frislag,0,z5
0:35:19,edsbyn,bolltapp,tappad,z4
0:35:27,sirius,skott,täckt,z8
0:35:33,sirius,skottyp,utifrån,z8
0:35:36,sirius,hörna,0,z9
0:35:57,sirius,skott,utanför,z8
0:36:02,sirius,skottyp,fast,z8
0:36:06,edsbyn,utkast,0,0
0:36:56,edsbyn,passning,straffområde,z2
0:37:00,edsbyn,mål,straffområde,z2
0:37:05,edsbyn,skottyp,inlägg,z2
0:37:24,sirius,avslag,0,z5
0:37:48,sirius,passning,lång,z8
0:37:50,edsbyn,utkast,0,0
0:38:21,edsbyn,passning,lång,z2
0:38:26,sirius,utkast,0,z3
0:38:42,edsbyn,brytning,0,z5
0:38:55,edsbyn,frislag,0,z2
0:39:06,edsbyn,mål,straffområde,z2
0:39:12,edsbyn,skottyp,fast,z2
0:39:27,sirius,avslag,0,z5
0:39:57,edsbyn,närkamp,0,z9
0:40:03,sirius,utvisning,10,0
0:40:32,edsbyn,frislag,0,z5
0:41:21,edsbyn,skott,räddning,z2
0:41:26,edsbyn,skottyp,dribbling,z2
0:41:29,sirius,utkast,0,0
0:42:08,edsbyn,närkamp,0,z9
0:42:42,edsbyn,passning,lång,z2
0:42:46,sirius,utkast,0,z3
0:43:38,sirius,närkamp,0,z6
0:43:47,sirius,frislag,0,z6
0:44:04,edsbyn,närkamp,0,z5
0:44:11,edsbyn,skott,räddning,z2
0:44:20,edsbyn,skottyp,utifrån,z2
0:44:24,sirius,utkast,0,z3
0:44:43,sirius,frislag,0,z5
0:45:03,0,stop,0,0
