time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:15,sirius,närkamp,0,z6
0:00:31,sirius,närkamp,0,z5
0:00:42,sirius,skott,utanför,z2
0:00:46,sirius,skottyp,centralt,z2
0:00:54,edsbyn,utkast,0,0
0:01:28,edsbyn,passning,lång,z8
0:01:33,edsbyn,skott,utanför,z8
0:01:40,edsbyn,skottyp,friställande,z8
0:01:43,sirius,utkast,0,z8
0:02:01,sirius,passning,straffområde,z2
0:02:05,edsbyn,utkast,0,z2
0:02:18,sirius,närkamp,0,z8
0:02:35,sirius,passning,straffområde,z2
0:02:41,sirius,boll,0,0
0:02:57,sirius,skott,räddning,z5
0:03:02,sirius,skottyp,utifrån,z5
0:03:04,edsbyn,utkast,0,0
0:03:11,edsbyn,närkamp,0,z6
0:03:23,edsbyn,passning,straffområde,z8
0:03:25,edsbyn,boll,0,0
0:03:35,edsbyn,närkamp,0,z9
0:03:43,edsbyn,hörna,0,z9
0:04:10,edsbyn,skott,täckt,z8
0:04:14,edsbyn,skottyp,fast,z8
0:04:26,edsbyn,inslag,0,z9
0:04:29,sirius,utkast,0,z9
0:04:48,edsbyn,brytning,0,z2
0:04:54,edsbyn,inslag,0,z6
0:05:13,edsbyn,närkamp,0,z5
0:05:25,edsbyn,skott,räddning,z8
0:05:31,edsbyn,skottyp,dribbling,z8
0:05:34,edsbyn,hörna,0,z7
0:05:56,edsbyn,skott,täckt,z8
0:06:00,edsbyn,skottyp,fast,z8
0:06:15,edsbyn,skott,täckt,0
0:06:19,edsbyn,skottyp,fast,z8
0:06:32,sirius,utkast,0,0
0:06:39,sirius,passning,straffområde,z2
0:06:41,edsbyn,inslag,0,z1
0:06:54,edsbyn,närkamp,0,z4
0:07:11,sirius,närkamp,0,z9
0:07:31,sirius,frislag,0,z5
0:07:37,sirius,frislag,0,z6
0:07:56,sirius,närkamp,0,z3
0:08:02,edsbyn,närkamp,0,z3
0:08:20,edsbyn,närkamp,0,z9
0:08:28,edsbyn,frislag,0,z9
0:08:45,edsbyn,hörna,0,z9
0:09:14,edsbyn,skott,räddning,z8
0:09:18,edsbyn,skottyp,fast,z8
0:09:22,sirius,närkamp,0,z6
0:09:30,edsbyn,närkamp,0,z2
0:09:34,edsbyn,utkast,0,z2
0:10:18,edsbyn,skott,räddning,z8
0:10:22,edsbyn,skottyp,utifrån,z8
0:10:26,edsbyn,hörna,0,z9
0:10:49,edsbyn,skott,utanför,z8
0:10:56,edsbyn,skottyp,fast,z8
0:10:59,sirius,utkast,0,z8
0:11:13,sirius,hörna,0,z1
0:11:57,sirius,skott,täckt,z2
0:12:00,sirius,skottyp,fast,z2
0:12:02,edsbyn,utkast,0,0
0:12:12,edsbyn,skott,räddning,z2
0:12:17,edsbyn,skottyp,dribbling,z2
0:12:26,sirius,boll,0,0
0:12:48,sirius,närkamp,0,z5
0:12:58,edsbyn,närkamp,0,z2
0:13:09,sirius,frislag,0,z7
0:13:30,sirius,passning,straffområde,z2
0:13:33,edsbyn,närkamp,0,z2
0:13:50,edsbyn,frislag,0,z1
0:14:31,sirius,närkamp,0,z8
0:14:43,edsbyn,närkamp,0,0
0:14:51,edsbyn,närkamp,0,z5
0:15:10,edsbyn,närkamp,0,z6
0:15:13,edsbyn,frislag,0,z6
0:15:33,sirius,närkamp,0,z8
0:15:48,edsbyn,närkamp,0,z6
0:15:52,sirius,närkamp,0,z6
0:16:08,edsbyn,utkast,0,z2
0:16:31,sirius,boll,0,0
0:16:40,sirius,bolltapp,passförsök,z1
0:16:44,edsbyn,boll,0,0
0:17:43,edsbyn,bolltapp,tappad,z5
0:18:10,sirius,bolltapp,passförsök,z5
0:18:13,edsbyn,frislag,0,z6
0:18:21,sirius,närkamp,0,z8
0:18:36,sirius,frislag,0,z2
0:19:14,sirius,skott,täckt,z2
0:19:19,sirius,skottyp,fast,z2
0:19:23,sirius,skott,täckt,z2
0:19:27,sirius,skottyp,utifrån,z2
0:19:32,sirius,hörna,0,z3
0:19:55,sirius,skott,räddning,z2
0:19:58,sirius,skottyp,fast,z2
0:20:02,edsbyn,utkast,0,0
