event,time
avslag aik z5,0:00:00
bolltapp aik passning z5,0:00:16
närkamp sirius z4,0:00:23
frislag sirius z5,0:00:27
utkast aik z9,0:00:53
inslag aik z7,0:01:17
hörna aik z3,0:01:42
skott aik täckt z2,0:02:20
boll sirius,0:02:37
närkamp aik z5,0:02:43
skott räddning aik z2,0:02:59
boll sirius ,0:03:08
skott sirius z8,0:03:15
del,0:03:23
skott sirius räddning z8,0:03:28
hörna sirius z9,0:03:34
skott sirius täckt z8,0:03:54
rensing aik z8,0:04:06
inslag sirius z7,0:04:19
skott räddning sirius z9,0:04:26
utkast aik z8,0:04:30
närkamp sirius z3,0:04:44
frislag sirius z2,0:04:48
utvisning sirius ,0:04:59
frislag aik z2,0:05:16
inkast sirius z5,0:05:59
utkast aik z5,0:06:11
bolltapp tappad aik z4,0:06:28
frislag sirius z5,0:06:32
närkamp aik z3,0:06:46
frislag aik z3,0:06:50
inslag aik z3,0:07:20
hörna aik z1,0:07:43
skott aik z2,0:08:10
del,0:08:18
skott aik räddning z2,0:08:24
rensning sirius z2,0:08:28
skott täckt aik z3,0:09:09
del,0:09:15
skott utanför aik z3,0:09:19
utkast sirius z1,0:09:23
boll aik,0:09:30
aik skott utanför z2,0:09:36
utkast sirius z3,0:09:40
bolltapp sirius passning z5,0:10:08
boll sirius ,0:11:02
inslag sirius z1,0:11:20
offside sirius ,0:11:28
boll aik ,0:11:32
mål aik utanför z1,0:12:23
timeout sirius ,0:12:47
avslag sirius z5,0:14:15
bolltapp passning sirius z5,0:14:32
inslag aik z4,0:14:41
hörna aik z3,0:15:12
skott aik z2räddning,0:15:40
boll sirius ,0:15:46
frislag sirius z4,0:15:52
offside sirius ,0:16:05
boll aik ,0:16:11
närkamp sirius z3,0:16:26
bolltapp tapp sirius z5,0:16:52
passing straffområde aik ,0:17:08
boll aik ,0:17:15
bolltapp tappad aik z2,0:17:52
närkamp aik z4,0:17:57
skott utanför aik z2,0:18:15
närkamp aik z6,0:18:34
frislag aik z2,0:18:45
bolltapp aik z2,0:18:57
skott sirius z2,0:19:10
utvisning aik ,0:19:24
frislag sirius z4,0:19:46
hörna sirius z9,0:20:20
skott täckt sirius ,0:20:49
utkast aik z8,0:20:56
frislag aik z5,0:21:19
skott räddning aik z2,0:21:35
boll sirius ,0:21:38
boll aik ,0:21:52
utkast sirius z3,0:22:37
närkamp aik z5,0:23:13
hörna aik z3,0:23:34
mål fast aik z2,0:24:07
avslag sirius z2,0:24:40
frislag sirius z7,0:25:22
frislag sirius z9,0:25:28
närkamp aik z9,0:25:44
sirius närkamp ,0:25:56
skott räddning sirius z8,0:26:03
skott utanför sirius z8,0:26:13
utkast aik ,0:26:14
utkast sirius z3,0:26:25
passning straffområde sirius ,0:26:55
närkamp aik z7,0:27:00
skott utanför aik z3,0:27:12
utkast sirius z3,0:27:15
hörna sirius z7,0:27:59
skott sirius z8 utanför ,0:28:36
boll aik ,0:28:56
närkamp aik z5,0:29:00
närkamp sirius z5,0:29:23
passning strafområde sirius z7,0:29:36
skott rddning sirius z8,0:29:43
inslag sirius z9,0:29:50
hörna sirius z9,0:29:54
skott sirius z8 utanför ,0:30:29
del,0:30:32
skott sirius z8 täckt,0:31:04
boll aik ,0:31:07
skott täckt aik z2,0:31:22
härna aik z3,0:31:26
mål fast aik z2,0:31:39
avslag sirius z5,0:32:12
bolltapp sirius tapp z5,0:32:34
skott räddning aik z3,0:33:44
utkast z2 sirius ,0:33:47
närkamp aik z7,0:34:04
bolltapp aik z7,0:34:08
närkamp aik z5,0:34:48
närkamp sirius z5,0:34:53
frislag sirius z8,0:35:02
utkast aik z7,0:35:19
bolltapp aik z2,0:35:36
resning sirius ,0:36:30
utkast aik ,0:36:36
passning aik straffområde z3,0:37:06
boll aik ,0:37:11
bolltapp aik z2,0:37:27
passning sirius straffområde z7,0:37:50
inslag aik z9,0:37:54
skott räddning sirius z8,0:38:06
närkamp sirius z7 ,0:38:14
frislag sirius z7,0:38:22
närkamp sirius z5,0:38:40
offside sirius ,0:38:55
boll aik ,0:39:30
frislag aik z2,0:39:42
boll sirius ,0:40:51
boll aik ,0:40:57
bolltapp tappad aik z2,0:41:14
offside sirius ,0:41:39
utkast aik z8,0:41:45
utkast sirius z2,0:42:10
bolltapp tappad sirius z8,0:42:31
frislag aik z4,0:42:58
bolltapp tappad aik z4,0:43:18
passning straffomrpde sirius ,0:43:43
skott töckt sirius ,0:43:49
boll sirius ,0:43:54
bolltapp sirius passflrslj z4,0:44:11
skott räddning aik z2,0:44:46
utkast sirius z3,0:44:50
utkast aik z8,0:45:07
närkamp sirius z8,0:45:42
skott utanflr sirius z8,0:45:49
utkast aik z8,0:45:53
utvisning sirius ,0:46:25
frislag aik z6,0:46:32
stop,0:46:48
