event,time
avslag tellus z8,0:00:00
passning lång tellus ,0:00:08
inslag tellus z4,0:00:15
brytning sirius z4,0:01:07
bolltapp passförsök sirius z7,0:01:39
skott tellus räddning z2,0:01:58
hörna tellus z1,0:02:03
mål fast tellus z2,0:02:27
avslag sirius z2,0:02:57
skott sirius z2 räddning,0:03:14
boll sirius z6,0:03:25
hörna sirius z9,0:03:42
skott täckt sirius z8,0:04:18
utkast tellus z5,0:04:28
passning lång tellus z2,0:04:51
hörna tellus z1,0:04:56
skott täckt tellus z2,0:05:04
hörna tellus z3,0:05:09
mål fast tellus z2,0:05:45
avslag sirius z2,0:06:09
närkammp tellus z5,0:06:22
boll siirius z1,0:06:32
passning lång sirius z2,0:06:41
straff sirius z8,0:06:50
mål fast sirius z8,0:07:29
avslag tellus z8,0:07:56
närkamp sirius z2,0:08:02
närkamp tellus z5,0:08:10
passning straffområde tellus z1,0:08:34
noll sirius z2,0:08:39
frislag sirius z5,0:08:53
passning långtapp sirius z8,0:09:26
boll tellus z8,0:09:36
närkamp sirius z2,0:09:49
skott utanför sirius z8,0:09:56
utkast tellus z9,0:10:03
utkast tellus z7,0:10:32
passning lång tellus z2,0:10:52
utkast sirius z3,0:10:56
närkamp sirius z5,0:11:10
skott utanför sirius z8,0:11:41
utkast tellus z8,0:11:56
passning straffområde tellus z1,0:12:27
boll sirius z3,0:12:31
passning straffområde z9 sirius,0:13:03
närkmap tellus z8,0:13:10
närkamp sirius z8,0:13:16
skott räddning sirius z7,0:13:23
utkast tellus z9,0:13:32
närkamp sirius z6,0:14:03
frislag tellus z6,0:14:13
skott utanför tellus z3,0:14:49
utkast sirius z3,0:14:55
skott utanför sirius z8,0:15:17
utkast tellus z8,0:15:22
passning straffområde tellus z2,0:15:34
närkamp sirisu z2,0:15:43
skott utanför sirius z8,0:15:50
utkast tellus z8,0:16:00
passning tellus straffområde z1,0:16:45
hörna tellus z3,0:16:56
skott täckt tellus z3,0:17:28
boll tellus ,0:17:34
utkast sirius z2,0:17:40
passning långtapp sirius z8,0:18:26
utkast tellus z8,0:18:31
brytning sirius z5,0:18:42
bolltapp sirius pasförösk z7,0:18:52
ytkast tellys z8,0:18:56
utkast sirius z1,0:19:04
frislag sirius z4,0:19:43
passning straffområde sirius z8,0:20:19
boll tellus ,0:20:24
passning lång tellus z2,0:20:41
närkamp sirius z2,0:20:43
passning straffområde sirius z9,0:21:00
boll sirius z8,0:21:06
närkamp tellus z5,0:21:15
närkamp sirius z8,0:21:37
straff sirius z8,0:21:44
skott rädning sirius z8,0:22:28
utkast tellus z9,0:22:33
utvisning tellus 10,0:22:38
närkamp sirius z5,0:23:05
närkamp tellus z8,0:23:11
närkamp sirius z4,0:23:15
passning straffområde sirius z7,0:23:30
boll sirius ,0:23:37
hörna sirius z9,0:23:54
skott täckt sirius z8,0:24:33
utkast tellus z9,0:24:43
närkamp sirius z5,0:24:58
passning straffområde sirius z8,0:25:13
utkast sirius z9,0:25:27
del,0:25:29
utkast tellus z9,0:25:33
passning långtapp tellus,0:25:57
boll sirius ,0:26:04
inslag sirius z9,0:26:13
bolltapp passförsök sirius z4,0:26:54
inslag tellus z4,0:27:04
boll sirius z1,0:27:15
passning lång sirius z8,0:27:48
friläge sirius z8,0:27:51
skott räddning sirius z8,0:27:55
hörna sirius z1,0:28:04
del,0:28:05
hörna sirius z7,0:28:07
skott räddning sirus z8,0:28:28
utkast tells z2,0:28:36
närkamp sirius z2,0:28:41
hörna sirius z7,0:29:22
skott täckt sirius z8,0:29:50
resning tellus z8 ,0:29:55
boll sirius ,0:30:00
skott utanför sirius z8,0:30:42
utkast tellus z8,0:30:52
passning strafformåde tellus,0:31:16
sirius boll ,0:31:21
utkast tellus z7,0:31:42
hörna tellus z1,0:32:08
skott utanför tellus z2,0:32:35
utkast siirus z3,0:32:41
passning straffområde sirius z7,0:33:43
hörna sirius z7,0:33:48
skott täckt sirius z8,0:34:16
frislag tellus z6,0:34:29
frislag tellus z6,0:34:45
närkamp sirius z5,0:35:06
närkamp tellus z5,0:36:18
resning tellus ,0:36:23
utkast sirius z3,0:36:28
boll sirius ,0:37:29
boll tellus z8,0:38:07
närkamp siirus z5,0:38:21
inslag sirius z6,0:38:44
mål sirius straffonråde sirus z8,0:39:18
avslag tellus z8,0:39:43
boll sirius z5,0:40:01
hörna sirius z9,0:40:06
mål fast sirius z8,0:40:43
avslag tellus z8,0:41:09
närkamp sirius z1,0:41:27
boll tellus ,0:41:50
närkamp sirius z6,0:41:59
passning strafofmråde sirius z7,0:42:53
närkamp tellus z5,0:42:57
närkamp sirius z2,0:43:06
närkamp tellus z5,0:43:22
frislag tellus z2,0:43:44
hörna tellus z1,0:43:57
skott utanför tellus z2,0:44:27
utkat sirius z1,0:44:33
passnign låpng siruus z8,0:44:44
utkast tellus z5,0:44:51
stop,0:45:01
