event,time
avslag sirius z5,0:00:00
närkamp vetlanda z2,0:00:16
frislag sirius z2,0:00:19
passning straffområde sirius z2,0:00:37
utkast vetlanda z1,0:00:40
närkamp verlanda z5,0:01:27
passning lång vetlanda z7,0:01:43
offside vetlanda z7,0:01:47
skott utanför sirius z2,0:02:01
skottyp utifrån sirius z2,0:02:05
utvisning vetlanda 10,0:02:10
utkast vetlanda z1,0:02:48
närkamp sirius z6,0:03:07
närkamp vetlanda 5,0:03:39
del,0:03:41
närkamp vetlanda z5,0:03:45
närkamp vetlanda z5,0:04:25
närkamp sirius z8,0:04:31
närkamp vetlanda z1,0:05:21
utkast vetlanda z3,0:05:24
passnig straffområde vetlanda z8,0:05:40
boll sirius ,0:05:43
frislag sirius z3,0:05:55
passning lång sirius z2,0:06:28
utkast vetlanda z1,0:06:33
skott utanför vetlanda z8,0:07:14
skottyp utifrån vetlanda z8,0:07:18
utkast sirius z8,0:07:20
närkamp vetlanda z1,0:07:56
inslag vetlanda z1,0:07:59
inslag sirius z4,0:08:17
skott utanför sirius z2,0:09:04
skottyp utifrån sirius z2,0:09:09
utkast vetlanda z3,0:09:11
närkamp sirisu z5,0:09:30
brytning vetlanda z2,0:09:37
näkamp sirius z1,0:09:41
frislag vetlanda z2,0:09:48
frislag vetlanda z9,0:10:05
passning staffområde vetlanda z7,0:10:21
skott utanför vetlanda z7,0:10:27
skottyp inlägg vetlanda z7,0:10:31
utkast sirius ,0:10:44
hörna sirius z3,0:11:00
sirius z2 skott täckt,0:11:27
skottyp sirius z2 fast,0:11:30
utkast vetlanda z1,0:11:33
närkamp sirius z7,0:12:14
närkamp vetlanda z4,0:12:21
passning straffområde vetlanda z8,0:12:57
skott utanför vetlanda z8,0:13:04
skottyp vetlanda z8 friställande ,0:13:09
utkast sirius ,0:13:14
skott räddning sirius z8,0:13:23
skottyp centralt sirius z8,0:13:27
utkast vetlanda,0:13:31
närkamp vetlanda z5,0:13:43
passning lång vetlanda z4,0:14:34
närkamp sirius z4,0:14:37
passning straffomde sirius z2,0:15:29
närkamp sirisu z2,0:15:32
skott utanför sirius z2,0:15:38
skottyp utifrån sriius z2,0:15:44
utkast vetlanda ,0:15:47
närkamp sirius z7,0:16:04
närkamp vetlanda z5,0:16:25
inslag vetlanda z6,0:16:28
närkamp vetlanda z6,0:17:15
passning straffområde vetlanda z8,0:17:29
skott utanför vetlanda z8,0:17:32
skottyp ventralt vetlanda z8,0:17:38
utkast siirus,0:17:40
frislag siirus z1,0:17:49
mål sirius z2 straffområde,0:18:24
skottyp centralt sirius z2,0:18:28
