event,time
avslag sirius z5,0:00:00
frislag sirius z5,0:00:21
passning straffområde sirius z3,0:00:39
utkast vetlanda z2,0:00:42
offside vetlanda z7,0:01:42
boll sirius z8,0:01:47
skott utanför sirius z1,0:02:00
utvisning vetlanda 10,0:02:39
utkast vetlanda z2,0:02:48
närkamp sirius z6,0:03:09
närkamp vetlanda z5,0:03:34
närkamp sirius z5,0:04:30
utkast vetlanda z2,0:05:18
passning strafffområde vetlanda z8,0:05:42
boll sirius z8,0:05:47
frislag srius z3,0:06:02
utkast vetlanda z1,0:06:30
skott utanför vetlanda z8,0:07:15
utkast sirius z9,0:07:18
närkamp vetlanda z1,0:07:59
inslag vetlanda z1,0:08:06
boll sirius z4,0:08:31
skott utanför sirius z2,0:09:03
utkast vetlanda z3,0:09:11
närkamp sirius z5,0:09:28
närkamp vetlanda z2,0:09:34
frislag vetlanda z4,0:09:49
vetlanda frislag z9,0:10:18
utkast sirius z9,0:10:27
hörna sirius z3,0:10:43
skott räddning sriisu z2,0:11:23
utkast vetlanda z1,0:11:29
närkamp sirius z7,0:12:15
närkamp vetlanda z5,0:12:21
skott utanför vetlanda z8ä,0:12:55
utkast sirius z7,0:12:59
skott utanför sirius z2,0:13:14
utkast vetlanda z1,0:13:22
närkamp sirius z4,0:14:34
passning straffområde sirius z1,0:15:34
närkamp sirius z2,0:15:38
skott utanför sirius z2,0:15:42
utkast vetlanda z2,0:15:45
närkamp sirius z7,0:16:02
inslag vetlanda z6,0:16:33
del,0:16:39
närkamp vetlanda z6,0:16:44
inslag vetlanda z6,0:16:47
skott vetlanda utanför z8,0:17:28
utkast sirius z9,0:17:31
frislag sirisu z1,0:17:45
mål sirius z2,0:18:17
avslag vetlanda z2,0:18:56
passning straffområde vetlanda z7,0:19:31
skott täckt vetlanda z8,0:19:40
boll sirius z9,0:19:46
passning starffområde sirius z3,0:20:46
skott täckt sirius z2,0:20:51
hörna sirius z1,0:20:54
skott räddning sirius z2,0:21:20
boll sirius z4,0:21:27
passning straffområde sirius z1,0:21:53
närkamp sirisu z2,0:21:57
utkast vetlanda z1,0:22:26
närkamp sirius z1,0:22:34
utkast vetlanda z3,0:22:41
närkamp sirius z2,0:23:33
del,0:23:35
närkamp sirius z8,0:23:38
skott räddning sirius z2,0:23:51
utkast vetlanda z1,0:23:54
bolltapp vetlanda passförsök z5,0:24:38
närkam vetlanda z5,0:24:45
skott vetlanda täckt z7,0:24:57
boll sirius z7,0:25:00
närkamp vetlanda z3,0:25:09
boll sirirus z6,0:25:18
timeout vetlanda ,0:26:16
boll sirius z8,0:27:59
frislag sirius z2,0:28:28
skott räddning sirius z2,0:28:43
hörna sirius z3,0:28:51
skott utanför sirius z2,0:29:16
utkast vetlanda z1,0:29:33
närkamp sirius z9,0:30:02
närkamp vetlanda z2,0:30:10
passning lång vetlanda z2,0:30:23
skott utanför vetlanda z8,0:30:28
utkast sirius z9,0:30:41
närkamp vetlanda z2,0:30:48
passning straffomrdåe vetlanda z9,0:31:02
boll sirisu z8,0:31:10
skott räddning sirius z2,0:31:46
utkast vetlanda z1,0:31:51
noll sirius z6,0:31:57
närkamp vetlanda z5,0:32:35
närkamp sirius z8,0:33:13
skott t,0:33:27
del,0:33:32
skott täckt sirius z2,0:33:36
hörna sirius z1,0:33:38
skott täckt sirius z2,0:33:59
timeout ,0:34:10
utkast vetlanda z1,0:34:38
skott räddning vetlanda z7,0:35:31
hörna vetlanda z7,0:35:35
skott täckt vetlanda z8,0:35:58
skott räddning vetalnda z8,0:36:03
utkast sirius z8,0:36:07
utkast vetlanda z1,0:36:38
utkast sirius z7,0:36:59
hörna bolltapp sirius z8,0:37:23
skott rddnign vetlanda,0:37:28
hörna vetlanda z7,0:37:32
skott utanför vetlanda z8,0:37:42
utkast sirius z8,0:37:47
hörna sirius z1,0:38:17
skott utanför sirius z2,0:38:49
utkast vetlanda z2,0:38:59
närkamp sirius z5,0:39:31
utkast vetlanda z3,0:39:41
närkamp sirius z8,0:40:10
närkamp vetlanda z2,0:40:41
inslag siriius z9,0:41:06
frislag vetlanda z5,0:41:19
utkast sirius z5,0:41:40
närkamp vetlanda z6,0:42:35
närkamp sirius z8,0:42:42
närkamp vvetlanda z6,0:42:48
frislag vetlanda z8,0:42:53
skott täckt vetlanda z8,0:43:26
hörna vetlanda z7,0:43:31
skott täckt vetlanda z8,0:43:56
boll vetlanda z6,0:44:00
närkamp vetalnda z2,0:44:17
frislag vetalnda z7,0:44:31
skott täckt vetlanda z7,0:44:57
resning sriius z8,0:45:04
skott vetlanda utanför z9,0:45:10
utkast sirius z7,0:45:19
passning straffområde sirius z3,0:45:25
boll vetlanda,0:45:29
skott räddning vetlanda z8,0:45:40
utkast z8 sirius ,0:45:46
skott utanför sirius z2,0:46:18
utkast vetlanda z3,0:46:22
hörna vetlanda z7,0:46:47
skott täckt vetlanda z8,0:47:13
frislag sirius z8,0:47:18
boll vetlanda z2,0:47:52
stop,0:47:59
