event,time
avslag edsbyn z5,0:00:00
skott utanför edsbyn z8,0:00:16
skottyp utifrån edsbyn z8,0:00:21
utkast sirius z7,0:00:23
närkamp edsbyn z2,0:00:42
frislag edsbyn z1,0:00:48
närkamp edsbyn z9,0:01:06
brytnign edsbyn z2,0:01:20
hörna edsbyn z9,0:01:34
edsbyn z8 skott täckt ,0:02:03
skottyp fast,0:02:05
del,0:02:06
skottyp fast edsbyn z8,0:02:14
mål straffområpde edsbyn z8,0:02:20
skottyp retur edsbyn z8,0:02:29
avslag sirius ,0:02:36
frislag sirius z6,0:03:11
brytning edsbyn z1,0:03:50
del,0:03:52
brytning edsbyn z3,0:03:56
skott täckt edsbyn z8,0:04:05
skottyp utifrån edsbyn z8,0:04:09
hörna edsbyn z9,0:04:13
edsbyn z8 räddning skott ,0:04:33
skottyp fast edsbyn z8,0:04:36
utkast sirius z7,0:04:40
mål sirius z2,0:04:57
skottyp centralt sirius z2,0:05:06
avlsag edsbyn ,0:05:30
närkamp edsbyn z4,0:05:43
närkamp sirius z5,0:05:49
närkamp sirius z5,0:05:57
närkamp edsbyn z5,0:06:27
bolltapp passförösk edsyb z8,0:06:54
passning straffområde sirius z2,0:07:05
boll edsbyn,0:07:08
skott utanför edsbyn ,0:07:16
skottyp dribbling edsbyn z8,0:07:25
utkast sirius ,0:07:36
närkamp sirius z5,0:07:44
mål sirius z6,0:08:06
skottyp utifrån sirius z6,0:08:14
timeout edsbyn,0:08:37
avslag edsbyn,0:10:06
skott räddnign edsbyn z8,0:10:25
skottyp centralt edsbyn z8,0:10:29
boll edsbyn,0:10:33
utkast sirius z8,0:10:39
passning straffområde sirius z2,0:10:59
närkamp edsbyn z2,0:11:03
utkast sirius z8,0:11:19
brytning edsbyn z2,0:11:51
passning straffområde edsbyn z8,0:12:13
brytning sirius z8,0:12:22
närkamp sirius z6,0:12:25
frislag sirius z6,0:12:29
brytning edsbyn z5,0:12:50
närkamp sirius z5,0:12:52
passning lång sirius z2,0:13:05
utkast edsbyn z3,0:13:10
närkamp sirius z6,0:13:16
passning straffområde sirius z2,0:13:29
utkast edsbyn z1,0:13:33
frislag edsbyn z6,0:13:58
skott räddnign edsbyn z8,0:14:21
skottyp utifrån edsbyn z8,0:14:28
hörna edsbyn z9,0:14:32
edsbyn z8 skott utanför,0:14:48
skottyp fast edsbyn z8,0:14:52
utkast siirus z78,0:14:56
inslag edsbyn z4,0:15:28
passning straffområde edsbyn z8,0:15:45
boll edsbyn z9,0:15:54
passning straffområde edsbyn z8,0:16:05
skott täckt edsbyn z8,0:16:09
skottyå utofrån edsbyn z8,0:16:13
boll edsbyn ,0:16:15
frislag edsbyn z9,0:16:21
passning straffområde edsbyn z8,0:16:38
skott räddning edsbyn z8,0:16:43
skottyp inlägg edsbyn z8,0:16:47
