event,time
avslag edsbyn z8,0:00:00
passning lång edsbyn z3,0:00:15
hörna edsbyn z3,0:00:18
mål edsbyn fast z2,0:00:49
skottyp fast edsbyn z2,0:00:54
avslag sirius z2,0:01:17
närkamp sorois z2,0:02:05
närkamp sirius z5,0:02:34
frisalg sirius z2,0:02:45
passning lång sirius z2,0:02:58
utkast edsbyn z8,0:03:01
frislag edsbyn z6,0:03:31
bytning sirius z4,0:03:41
skott utanför sirius z2,0:03:56
skottyp dribbling sirius z2,0:04:02
boll edsbyn,0:04:05
närkamp edsbtn z2,0:04:30
skott utanför edsbyn z2,0:05:19
skottyp centralt edsbyn z2,0:05:24
utkast sirius z2,0:05:30
närkamp edsbyn z8,0:05:43
närkamp sirius z2,0:05:59
närkamp edsbyn z5,0:06:08
närkamp edsbyn z4,0:06:14
närkamp sirius z4,0:06:17
närkamp edsbyn z8,0:06:35
skott täckt edsbytn z2,0:06:49
skottyp utifrån edsbyn z2,0:06:53
boll sirius ,0:06:56
närkamp sirius z6,0:07:03
frislag sirisu z9,0:07:14
bolltapp tappad sirius z5,0:07:47
närkamp sirius z9,0:07:55
skott täckt sirius z8,0:08:30
skottyp utufrån sirius z8,0:08:37
hörna sirius z9,0:08:40
skott sirius z8 räddning ,0:09:04
skottyp fast sirius z8,0:09:10
skott tckt sirius z8 ,0:09:14
skottyp retur sirius z8,0:09:18
utkast edsbyn z8,0:09:23
bolltapp passförsök edsbyn z4,0:09:38
frislag sirius z2,0:10:42
bolltapp passförösk sirius z4,0:11:38
närkamp sirius z1,0:11:42
frislag sirius z5,0:11:47
bolltapp passförösk sirius z5,0:12:23
närkamp sirius z6,0:12:26
närkamp edsbyn z5,0:12:32
passning straffromdeå edsbyn z2,0:13:02
boll edsbyn z3,0:13:06
utkast siirus z2,0:13:35
brytning edsbyn z9,0:13:46
brytning sirius z2,0:14:00
närkamp edsby z2,0:14:06
skott utanför edsbyn z2,0:14:13
skottyp centralt edsbyn z2,0:14:18
utkast sirius ,0:14:21
frislag sirius z5,0:14:35
frislag sirius z9,0:14:57
hörna siriius z9,0:15:27
boll sirius z9,0:16:04
närkamp edsbyn z4,0:16:12
skott räddning edsbyn z2,0:16:35
skottyp dribbling edsbyn z2,0:16:40
boll edsbyn ,0:16:44
närkamp sirius z6,0:16:55
frislag sirius z8,0:17:04
boll sirius ,0:17:39
brytning edsbyn z8,0:17:53
inslag edsbyn z7,0:18:00
passning lång edsbyn z2,0:18:24
utkast sirius z2,0:18:28
bytning edsbyn z2,0:18:48
skott räddning edsbyn z2,0:18:51
skottyp dribblign edsbtn z2,0:19:00
utkast siirus ,0:19:01
skott utanför sirius z9,0:19:09
skottyp utifrån sirius z9,0:19:12
utkast edsbyn ,0:19:14
närkamp edsbyn z1,0:19:35
passning lång edsbyn z2 ,0:20:27
utkast sirius z3,0:20:31
närkamp edsbyn z5,0:21:02
frislag sirius z6,0:21:08
skott räddning sirius z8,0:21:25
skottyp centrlat sirius z8,0:21:28
hörna sirius z9,0:21:31
skott sirius z8 täckt ,0:22:00
skottyp fast sirius z8,0:22:04
närkamp edsbyn z8,0:22:08
bolltapp passförsök edsbyn z2,0:22:22
utkast sirius z1,0:22:26
närkamp sirisu z5,0:22:34
frislag edsbyn z5,0:22:58
hörna edsbyn z1,0:23:12
skott edsbyn z2 räddning ,0:23:40
skottyp fast edsbyn z2,0:23:44
utkast sirius z3,0:23:49
närkamp srisus z2,0:23:59
utkast edsbyn z8,0:24:09
passning straffomrpåde edsbyn z2,0:24:45
skott utanför edsbyn z2 ,0:24:50
skottyp utifrån edsbyn ,0:24:54
utkast sirius ,0:24:56
närkamp edsbyn z5,0:25:01
skott räddning edsbyn z2,0:25:11
skottyp centralt edsbyn z2,0:25:17
hörna edsbyn z3,0:25:20
edsbyn z2 skott täckt ,0:25:39
