time,team,event,subevent,zone
0:00:00,villa,avslag,0,z5
0:00:20,villa,hörna,0,z3
0:00:49,villa,skott,räddning,z2
0:00:56,iks,boll,0,z2
0:01:01,iks,bolltapp,tappad,z1
0:01:11,villa,boll,0,z5
0:01:28,villa,skott,räddning,z2
0:01:37,villa,skottyp,centralt,z2
0:01:40,villa,hörna,0,z1
0:02:00,villa,skott,täckt,z2
0:02:03,villa,boll,0,0
0:02:30,villa,skott,täckt,z2
0:02:37,villa,skottyp,utifrån,z2
0:02:47,iks,boll,0,z3
0:03:11,iks,bolltapp,passförsök,z7
0:03:15,villa,boll,0,0
0:03:42,villa,skott,utanför,z2
0:03:47,villa,skottyp,utifrån,z2
0:03:51,iks,utkast,0,z3
0:04:36,villa,närkamp,0,z6
0:05:01,villa,mål,spelmål,z2
0:05:13,villa,skottyp,centralt,z2
0:05:18,iks,avslag,0,z2
0:05:52,iks,utkast,0,z3
0:06:13,iks,mål,spelmål,z8
0:06:33,iks,skottyp,friställande,z8
0:06:41,villa,avslag,0,z5
0:07:32,iks,närkamp,0,z5
0:07:41,villa,brytning,0,z5
0:07:49,villa,mål,spelmål,z2
0:08:02,villa,skottyp,centralt,z2
0:08:08,iks,avslag,0,z2
0:08:39,iks,passning,straffområde,z8
0:08:44,villa,närkamp,0,z8
0:08:58,villa,mål,spelmål,z2
0:09:16,villa,skottyp,centralt,z2
0:09:25,iks,avslag,0,z2
0:09:44,iks,frislag,0,z2
0:10:01,iks,passning,lång,z8
0:10:08,villa,utkast,0,z7
0:10:46,iks,skott,utanför,z8
0:10:52,iks,skottyp,centralt,z8
0:10:57,iks,boll,0,0
0:11:03,villa,utkast,0,z4
0:11:23,iks,närkamp,0,z2
0:11:47,iks,passning,straffområde,z8
0:12:14,villa,boll,0,z8
0:12:25,villa,skott,räddning,z2
0:12:30,villa,skottyp,dribbling,z2
0:12:35,villa,hörna,0,z1
0:12:51,villa,skott,utanför,z2
0:12:55,iks,utkast,0,z3
0:13:21,iks,skott,utanför,z2
0:13:27,iks,skottyp,centralt,z2
0:13:32,villa,boll,0,z7
0:14:03,villa,skott,utanför,z2
0:14:15,villa,skottyp,utifrån,z2
0:14:20,iks,utkast,0,0
0:14:40,iks,hörna,0,z3
0:14:52,iks,skott,täckt,z8
0:14:58,villa,närkamp,0,z8
0:15:05,iks,närkamp,0,z4
0:15:52,villa,närkamp,0,z9
0:16:04,villa,skott,utanför,z2
0:16:10,villa,skottyp,friställande,z2
0:16:15,iks,utkast,0,z2
0:16:30,villa,närkamp,0,z8
0:16:50,iks,närkamp,0,z2
0:16:59,villa,frislag,0,z1
0:17:23,villa,passning,lång,z2
0:17:27,iks,boll,0,z2
0:17:55,iks,skott,räddning,z8
0:18:05,iks,skottyp,utifrån,z8
0:18:07,villa,utkast,0,0
0:18:20,iks,närkamp,0,z4
0:18:44,villa,utkast,0,z8
0:18:55,iks,boll,0,z5
0:19:54,iks,passning,straffområde,z8
0:20:00,villa,rensning,0,0
0:20:07,iks,boll,0,0
0:20:18,villa,närkamp,0,z6
0:20:57,villa,skott,räddning,z2
0:21:09,villa,skottyp,centralt,z2
0:21:12,iks,utkast,0,0
0:21:46,iks,skott,täckt,z2
0:21:50,iks,skottyp,centralt,z2
0:21:58,iks,boll,0,0
0:22:13,iks,mål,spelmål,z8
0:22:27,iks,skottyp,utifrån,z8
0:22:30,villa,avslag,0,0
0:22:58,iks,boll,0,0
0:23:05,villa,närkamp,0,0
0:23:24,iks,närkamp,0,0
0:23:32,iks,skott,utanför,z8
0:23:37,iks,skottyp,utifrån,z8
0:23:39,villa,utkast,0,0
0:23:50,villa,skott,räddning,z2
0:24:04,villa,skottyp,friställande,z2
0:24:12,iks,boll,0,z2
0:24:17,iks,frislag,0,z6
0:24:31,iks,skott,utanför,0
0:24:35,villa,utkast,0,0
0:24:38,iks,närkamp,0,z1
0:25:22,iks,skott,utanför,z2
0:25:30,iks,skottyp,utifrån,z2
0:25:38,villa,utkast,0,0
0:25:43,iks,utkast,0,0
0:25:53,iks,frislag,0,z8
0:26:09,iks,passning,straffområde,z8
0:26:15,iks,skott,täckt,z8
0:26:23,iks,skottyp,inlägg,z8
0:26:25,iks,hörna,0,z3
0:26:41,iks,skott,utanför,z8
0:26:47,villa,utkast,0,z9
0:27:04,villa,offside,0,0
0:27:09,iks,boll,0,z2
0:27:34,villa,brytning,0,z8
0:28:10,villa,bolltapp,tappad,0
0:28:28,villa,utkast,0,z7
0:28:36,villa,passning,lång,z2
0:28:38,iks,boll,0,0
0:29:07,iks,passning,lång,z8
0:29:11,villa,utkast,0,z9
0:29:35,villa,skott,täckt,z2
0:29:45,villa,skottyp,centralt,z2
0:29:47,villa,hörna,0,z1
0:29:59,villa,skott,utanför,z2
0:30:00,0,stop,0,0
