time,team,event,subevent,zone
0:00:00,vsk,avslag,0,z5
0:00:14,vsk,passning,lång,z3
0:00:19,iks,utkast,0,z3
0:00:29,iks,frislag,0,z2
0:01:00,iks,närkamp,0,z1
0:01:31,iks,mål,spelmål,z8
0:01:39,iks,skottyp,utifrån,z8
0:02:00,vsk,avslag,0,z5
0:02:05,iks,närkamp,0,z5
0:02:09,iks,frislag,0,z7
0:02:46,vsk,närkamp,0,z5
0:03:01,vsk,frislag,0,z5
0:03:14,iks,närkamp,0,z3
0:03:46,iks,frislag,0,z4
0:04:00,vsk,närkamp,0,z4
0:04:18,vsk,passning,straffområde,z2
0:04:27,vsk,skott,täckt,z2
0:04:31,vsk,skottyp,inlägg,0
0:04:34,iks,boll,0,0
0:04:38,vsk,närkamp,0,0
0:04:45,vsk,passning,straffområde,0
0:04:48,iks,boll,0,0
0:05:20,iks,bolltapp,passförsök,z5
0:05:29,vsk,passning,lång,z2
0:05:36,iks,utkast,0,z3
0:06:11,iks,passning,lång,z8
0:06:16,vsk,utkast,0,z9
0:06:35,vsk,skott,räddning,z2
0:06:42,vsk,skottyp,utifrån,z2
0:06:45,iks,utkast,0,z3
0:07:01,iks,hörna,0,z7
0:07:44,iks,skott,täckt,z2
0:07:47,iks,skottyp,fast,0
0:07:49,iks,boll,0,0
0:07:52,vsk,närkamp,0,z4
0:09:10,vsk,skott,utanför,z2
0:09:16,vsk,skottyp,utifrån,z2
0:09:18,iks,utkast,0,z1
0:10:41,iks,närkamp,0,z5
0:11:26,vsk,närkamp,0,z1
0:11:31,vsk,hörna,0,z1
0:12:04,vsk,skott,täckt,z2
0:12:08,vsk,skottyp,fast,0
0:12:13,vsk,skott,täckt,0
0:12:20,vsk,skottyp,retur,0
0:12:24,vsk,boll,0,0
0:12:32,iks,närkamp,0,z1
0:12:37,iks,frislag,0,z1
0:13:40,iks,passning,straffområde,z8
0:13:46,vsk,boll,0,0
0:13:58,iks,frislag,0,z5
0:14:10,iks,skott,räddning,z8
0:14:17,iks,skottyp,utifrån,0
0:14:21,iks,hörna,0,z9
0:14:43,iks,skott,täckt,z8
0:14:47,iks,skottyp,fast,z8
0:14:51,vsk,utkast,0,0
0:15:07,vsk,passning,straffområde,0
0:15:11,iks,utkast,0,z3
0:15:37,vsk,närkamp,0,z3
0:15:41,iks,närkamp,0,z3
0:15:59,iks,passning,straffområde,z8
0:16:04,vsk,närkamp,0,z8
0:16:07,vsk,frislag,0,z7
0:16:56,vsk,närkamp,0,z2
0:17:22,iks,närkamp,0,z4
0:17:32,iks,bolltapp,passförsök,z8
0:17:34,vsk,boll,0,0
0:17:49,vsk,passning,lång,z2
0:17:55,iks,utkast,0,z2
0:18:07,vsk,närkamp,0,z8
0:18:11,vsk,utkast,0,0
0:18:25,vsk,bolltapp,tappad,0
0:18:30,vsk,närkamp,0,0
0:18:51,iks,närkamp,0,0
0:19:07,iks,passning,straffområde,0
0:19:09,vsk,utkast,0,0
0:19:36,vsk,skott,räddning,z2
0:19:48,vsk,skottyp,dribbling,z2
0:19:55,vsk,hörna,0,z3
0:20:12,vsk,skott,räddning,z2
0:20:21,vsk,skottyp,fast,z2
0:20:27,iks,utkast,0,z3
0:20:38,iks,skott,täckt,z8
0:20:44,iks,skottyp,utifrån,z8
0:20:45,vsk,boll,0,0
0:20:49,iks,närkamp,0,z2
0:21:08,iks,skott,räddning,z8
0:21:12,iks,skottyp,utifrån,z8
0:21:20,iks,hörna,0,z9
0:21:43,iks,skott,täckt,z8
0:21:46,iks,skottyp,fast,0
0:21:48,vsk,boll,0,0
0:21:59,vsk,närkamp,0,z4
0:22:32,iks,inslag,0,z3
0:23:00,vsk,närkamp,0,z8
0:23:25,iks,närkamp,0,z2
0:23:31,iks,frislag,0,z4
0:24:39,iks,passning,straffområde,z8
0:24:40,vsk,boll,0,0
0:25:01,vsk,skott,täckt,z2
0:25:06,vsk,skottyp,utifrån,0
0:25:10,vsk,hörna,0,z3
0:25:35,vsk,skott,täckt,z2
0:25:38,vsk,skottyp,fast,0
0:25:41,vsk,boll,0,0
0:26:12,iks,närkamp,0,z3
0:26:30,vsk,närkamp,0,z7
0:26:45,vsk,inslag,0,z4
0:27:23,vsk,närkamp,0,z6
0:27:48,vsk,passning,straffområde,0
0:27:55,vsk,mål,spelmål,z2
0:28:01,vsk,skottyp,inlägg,z2
0:28:13,iks,avslag,0,z5
0:28:34,vsk,närkamp,0,z4
0:28:47,vsk,passning,straffområde,z2
0:28:51,iks,närkamp,0,0
0:29:02,vsk,närkamp,0,z6
0:29:12,iks,närkamp,0,z2
0:29:54,iks,närkamp,0,z6
0:30:02,0,stop,0,0
