time,team,event,subevent,zone
0:00:00,vän,avslag,0,z5
0:00:43,vän,offside,0,0
0:00:47,iks,boll,0,z8
0:01:58,vän,utkast,0,z3
0:02:39,vän,skott,utanför,z8
0:02:44,vän,skottyp,utifrån,z8
0:02:47,iks,utkast,0,z8
0:03:06,iks,närkamp,0,z6
0:03:17,iks,närkamp,0,z4
0:03:25,iks,frislag,0,z4
0:03:41,vän,närkamp,0,z5
0:03:52,vän,mål,spelmål,z8
0:04:00,vän,skottyp,utifrån,z8
0:04:16,iks,avslag,0,z5
0:04:35,iks,frislag,0,z4
0:04:57,iks,skott,täckt,z2
0:05:02,iks,skottyp,utifrån,z2
0:05:06,iks,skott,täckt,z2
0:05:10,iks,skottyp,utifrån,z2
0:05:13,iks,hörna,0,z1
0:05:34,iks,skott,täckt,z2
0:05:42,vän,utkast,0,z3
0:06:05,iks,utkast,0,z9
0:06:54,iks,passning,straffområde,z2
0:06:59,iks,boll,0,z3
0:07:37,vän,utkast,0,z1
0:07:44,vän,närkamp,0,z2
0:08:09,iks,utkast,0,z8
0:08:24,iks,närkamp,0,z5
0:08:50,iks,passning,lång,z2
0:08:54,vän,utkast,0,z3
0:09:32,iks,brytning,0,z5
0:09:42,iks,närkamp,0,z5
0:09:50,vän,utkast,0,z2
0:10:22,vän,frislag,0,z9
0:10:39,vän,passning,straffområde,z8
0:10:45,vän,skott,täckt,z8
0:10:52,vän,skottyp,inlägg,z8
0:10:56,vän,hörna,0,z7
0:11:14,vän,skott,utanför,z8
0:11:14,vän,skottyp,fast,z8
0:11:18,iks,utkast,0,z9
0:12:13,vän,närkamp,0,z6
0:12:18,vän,frislag,0,z6
0:12:36,vän,närkamp,0,z4
0:13:44,iks,brytning,0,z8
0:13:51,vän,boll,0,z8
0:14:05,vän,passning,straffområde,z8
0:14:08,vän,boll,0,0
0:14:39,iks,utkast,0,z8
0:14:58,iks,närkamp,0,z5
0:15:25,iks,bolltapp,passförsök,z2
0:15:27,vän,utkast,0,0
0:15:36,iks,närkamp,0,z8
0:15:45,iks,skott,täckt,0
0:15:49,iks,skottyp,utifrån,0
0:15:55,vän,närkamp,0,0
0:16:04,vän,skott,räddning,0
0:16:12,vän,skottyp,utifrån,0
0:16:20,vän,närkamp,0,0
0:16:30,iks,utkast,0,z8
0:17:06,iks,passning,straffområde,z2
0:17:18,iks,boll,0,z3
0:17:40,iks,skott,täckt,z2
0:17:45,iks,skottyp,utifrån,z2
0:17:47,iks,hörna,0,z3
0:18:10,iks,skott,täckt,z2
0:18:34,iks,skottyp,fast,z2
0:18:38,vän,utkast,0,z2
0:18:52,iks,utkast,0,z9
0:19:12,iks,inslag,0,z4
0:19:53,iks,närkamp,0,z5
0:21:07,iks,närkamp,0,z5
0:21:16,iks,passning,straffområde,z2
0:21:27,iks,närkamp,0,z1
0:21:30,vän,frislag,0,z1
0:22:01,iks,närkamp,0,z4
0:22:07,vän,närkamp,0,z5
0:22:55,vän,frislag,0,z8
0:23:25,iks,boll,0,z8
0:23:36,vän,närkamp,0,z2
0:23:54,vän,mål,spelmål,z8
0:24:00,vän,skottyp,utifrån,z8
0:24:11,iks,avslag,0,z5
0:24:33,vän,brytning,0,z5
0:24:37,vän,närkamp,0,z4
0:24:53,vän,passning,lång,z8
0:24:57,iks,utkast,0,z8
0:25:07,vän,närkamp,0,z5
0:25:28,iks,närkamp,0,z9
0:25:35,vän,närkamp,0,z9
0:26:13,vän,passning,straffområde,z8
0:26:15,iks,utkast,0,0
0:26:19,iks,närkamp,0,z5
0:26:40,iks,passning,straffområde,z2
0:26:43,iks,hörna,0,z1
0:27:17,iks,mål,hörnmål,z8
0:27:20,iks,skottyp,fast,z2
0:27:46,vän,avslag,0,0
0:28:10,iks,närkamp,0,z5
0:28:21,iks,frislag,0,z2
0:28:42,iks,passning,straffområde,z2
0:28:47,vän,utkast,0,z3
0:29:35,vän,närkamp,0,z9
0:30:16,iks,brytning,0,0
0:30:26,iks,inslag,0,0
0:30:34,iks,offside,0,z8
0:30:40,vän,boll,0,z2
0:31:16,iks,brytning,0,z6
0:31:32,iks,skott,räddning,z2
0:31:38,iks,skottyp,centralt,z2
0:31:47,vän,rensning,0,z8
0:31:50,iks,boll,0,z8
0:32:17,iks,bolltapp,passförsök,z4
0:32:27,vän,skott,täckt,z8
0:32:33,vän,skottyp,utifrån,z8
0:32:39,iks,boll,0,z2
0:33:08,iks,närkamp,0,z3
0:33:33,iks,närkamp,0,z5
0:33:45,iks,bolltapp,passförsök,z1
0:33:48,vän,utkast,0,z2
0:34:09,iks,brytning,0,z7
0:34:51,vän,frislag,0,z3
0:35:22,iks,utkast,0,z7
0:36:09,iks,passning,lång,z2
0:36:15,vän,utkast,0,z2
0:36:41,iks,närkamp,0,z5
0:36:55,vän,inslag,0,z6
0:37:30,vän,skott,utanför,z5
0:37:36,vän,skottyp,utifrån,z5
0:37:38,iks,utkast,0,z8
0:38:03,iks,frislag,0,z6
0:38:22,iks,hörna,0,z1
0:38:53,iks,skott,täckt,z2
0:38:57,iks,skottyp,fast,z2
0:39:00,vän,utkast,0,z1
0:39:10,iks,närkamp,0,z5
0:39:32,vän,närkamp,0,z5
0:39:41,vän,inslag,0,z6
0:40:07,vän,närkamp,0,z5
0:40:18,vän,offside,0,z5
0:40:24,iks,boll,0,z8
