time,team,event,subevent,zone
0:00:00,iks,avslag,0,z8
0:00:21,iks,passning,straffområde,z2
0:00:27,ham,utkast,0,0
0:00:38,ham,skott,räddning,z9
0:00:44,ham,skottyp,utifrån,z9
0:00:48,ham,hörna,0,z7
0:01:05,ham,skott,täckt,z8
0:01:10,ham,skottyp,fast,z8
0:01:13,iks,rensning,0,0
0:01:20,iks,utkast,0,z8
0:01:28,ham,brytning,0,z5
0:01:39,ham,passning,lång,z8
0:01:42,iks,utkast,0,0
0:02:09,ham,närkamp,0,z6
0:02:18,ham,närkamp,0,z6
0:03:27,ham,frislag,0,z9
0:04:10,ham,bolltapp,passförsök,z7
0:04:13,iks,utkast,0,z8
0:04:42,ham,närkamp,0,z3
0:04:46,ham,inslag,0,z3
0:04:53,iks,närkamp,0,z5
0:05:06,iks,närkamp,0,z6
0:05:11,iks,frislag,0,z5
0:05:40,iks,skott,täckt,z2
0:05:46,iks,skottyp,utifrån,z2
0:05:50,ham,boll,0,0
0:05:54,iks,närkamp,0,z4
0:06:08,iks,skott,räddning,z3
0:06:12,iks,skottyp,utifrån,z3
0:06:14,ham,boll,0,0
0:06:22,iks,närkamp,0,z7
0:06:30,iks,bolltapp,passförsök,z4
0:06:37,ham,utkast,0,z2
0:06:55,iks,brytning,0,z8
0:07:09,ham,närkamp,0,z2
0:07:46,ham,passning,lång,z8
0:07:50,iks,utkast,0,z7
0:08:01,iks,närkamp,0,z5
0:08:17,ham,närkamp,0,z3
0:08:30,ham,passning,lång,z8
0:08:34,iks,utkast,0,z7
0:08:48,ham,närkamp,0,z6
0:09:01,ham,skott,utanför,z8
0:09:05,ham,skottyp,utifrån,z8
0:09:08,iks,utkast,0,z7
0:09:39,ham,brytning,0,z5
0:09:57,ham,passning,straffområde,z8
0:10:01,ham,boll,0,z7
0:10:17,ham,passning,lång,0
0:10:22,iks,brytning,0,z4
0:10:50,iks,passning,lång,z2
0:10:57,iks,skott,räddning,z2
0:11:06,iks,skottyp,friställande,0
0:11:11,iks,skott,räddning,z2
0:11:14,iks,skottyp,retur,z2
0:11:17,iks,hörna,0,z3
0:11:26,iks,skott,täckt,z2
0:11:31,iks,skottyp,fast,z2
0:11:35,iks,närkamp,0,z4
0:11:49,ham,närkamp,0,z4
0:12:03,ham,passning,straffområde,z8
0:12:07,iks,boll,0,0
0:12:20,iks,hörna,0,z3
0:12:42,iks,skott,täckt,z2
0:12:45,iks,skottyp,fast,z2
0:12:50,iks,boll,0,0
0:13:29,iks,passning,straffområde,z2
0:13:32,ham,rensning,0,0
0:13:37,ham,boll,0,0
0:13:45,ham,skott,utanför,z7
0:13:49,ham,skottyp,utifrån,z7
0:13:51,iks,utkast,0,0
0:14:21,ham,närkamp,0,z3
0:14:33,iks,närkamp,0,z8
0:14:57,ham,brytning,0,z6
0:15:07,ham,skott,täckt,z8
0:15:13,ham,skottyp,utifrån,z8
0:15:19,ham,hörna,0,z9
0:15:33,ham,skott,täckt,z8
0:15:38,ham,skottyp,fast,z8
0:15:46,iks,boll,0,0
0:15:50,ham,närkamp,0,z5
0:16:26,ham,passning,straffområde,z7
0:16:32,iks,närkamp,0,z9
0:16:35,iks,frislag,0,z9
0:17:16,iks,passning,straffområde,z3
0:17:21,ham,boll,0,z1
0:17:29,ham,passning,lång,z5
0:17:35,iks,brytning,0,z5
0:17:41,iks,passning,straffområde,z2
0:17:46,iks,skott,täckt,z2
0:17:52,iks,skottyp,inlägg,z2
0:17:54,iks,hörna,0,z3
0:18:07,iks,skott,räddning,z2
0:18:12,iks,skottyp,fast,z2
0:18:15,iks,boll,0,0
0:18:30,iks,bolltapp,passförsök,z4
0:18:39,ham,passning,straffområde,z8
0:18:42,iks,brytning,0,z8
0:19:08,iks,passning,lång,z2
0:19:14,iks,offside,0,z3
0:19:29,ham,passning,lång,z8
0:19:33,ham,skott,utanför,z8
0:19:37,ham,skottyp,utifrån,z8
0:19:39,iks,utkast,0,0
0:20:54,ham,närkamp,0,z3
0:21:08,0,timeout,0,0
0:21:48,ham,frislag,0,z6
0:22:10,ham,bolltapp,passförsök,z9
0:22:27,ham,inslag,0,z9
0:22:34,iks,inslag,0,z7
0:22:59,iks,skott,utanför,z2
0:23:04,iks,skottyp,utifrån,z2
0:23:07,ham,utkast,0,0
0:24:10,iks,brytning,0,z8
0:24:17,iks,utkast,0,0
0:25:00,ham,närkamp,0,z6
0:25:39,ham,passning,lång,z8
0:25:43,ham,skott,utanför,z8
0:25:47,ham,skottyp,utifrån,z8
0:25:49,iks,utkast,0,0
0:26:16,iks,passning,lång,z2
0:26:21,ham,närkamp,0,z2
0:26:31,ham,passning,lång,z8
0:26:34,ham,offside,0,z8
0:26:39,iks,boll,0,0
0:26:46,iks,timeout,0,0
0:28:32,iks,boll,0,z8
0:28:56,iks,passning,straffområde,z2
0:29:01,ham,utkast,0,z6
0:29:10,iks,brytning,0,z5
0:29:18,ham,frislag,0,z5
0:29:27,iks,närkamp,0,z5
0:29:50,iks,passning,straffområde,z2
0:29:52,iks,boll,0,z3
0:30:10,iks,offside,0,z3
0:30:14,ham,boll,0,0
0:30:26,iks,närkamp,0,z5
0:30:39,iks,hörna,0,z1
0:31:05,iks,skott,utanför,z2
