time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z8
0:00:54,sirius,hörna,0,z1
0:01:18,sirius,skott,täckt,z2
0:01:24,sirius,skottyp,fast,z2
0:01:28,gripen,utkast,0,z1
0:01:35,gripen,närkamp,0,z2
0:01:39,sirius,närkamp,0,z1
0:01:49,sirius,skott,utanför,z2
0:01:54,sirius,skottyp,utifrån,z2
0:01:56,gripen,utkast,0,0
0:02:00,gripen,passning,lång,0
0:02:06,sirius,brytning,0,z6
0:02:15,gripen,brytning,0,z2
0:02:30,sirius,närkamp,0,z7
0:02:59,sirius,40,0,z8
0:03:40,sirius,närkamp,0,z1
0:03:45,gripen,närkamp,0,z1
0:04:00,sirius,boll,0,z8
0:04:16,sirius,bolltapp,passförsök,z2
0:04:18,gripen,utkast,0,0
0:04:34,sirius,närkamp,0,z7
0:05:17,sirius,närkamp,0,z2
0:05:19,sirius,frislag,0,z2
0:05:40,sirius,40,0,0
0:05:47,gripen,närkamp,0,z4
0:05:57,sirius,närkamp,0,z7
0:06:04,gripen,brytning,0,z5
0:06:12,gripen,skott,räddning,z5
0:06:16,gripen,skottyp,utifrån,z5
0:06:19,gripen,hörna,0,z9
0:06:37,gripen,skott,täckt,z8
0:06:41,gripen,skottyp,fast,z8
0:06:46,gripen,boll,0,0
0:07:00,gripen,rensning,0,0
0:07:04,gripen,närkamp,0,z5
0:07:13,gripen,skott,räddning,z8
0:07:17,gripen,skottyp,utifrån,z8
0:07:19,sirius,utkast,0,0
0:07:46,gripen,skott,räddning,z2
0:07:50,gripen,skottyp,dribbling,z2
0:07:59,sirius,hörna,0,z3
0:08:12,sirius,skott,utanför,z2
0:08:16,sirius,skottyp,fast,z2
0:08:17,gripen,utkast,0,0
0:08:43,gripen,hörna,0,z7
0:09:04,gripen,skott,täckt,z8
0:09:08,gripen,skottyp,fast,z8
0:09:12,sirius,utkast,0,0
0:09:29,gripen,närkamp,0,z4
0:09:32,sirius,närkamp,0,z5
0:09:36,gripen,närkamp,0,z4
0:09:49,gripen,skott,räddning,z8
0:09:54,gripen,skottyp,dribbling,z8
0:09:56,sirius,utkast,0,0
0:10:02,gripen,närkamp,0,z5
0:10:13,sirius,närkamp,0,z6
0:10:20,sirius,inslag,0,z6
0:10:32,sirius,passning,lång,z2
0:10:41,gripen,närkamp,0,z2
0:10:47,sirius,närkamp,0,z4
0:10:53,sirius,närkamp,0,z4
0:11:02,sirius,inslag,0,z1
0:11:28,sirius,passning,lång,z2
0:11:33,gripen,utkast,0,0
0:11:45,sirius,närkamp,0,z1
0:11:48,gripen,utkast,0,0
0:12:04,gripen,skott,utanför,z8
0:12:08,gripen,skottyp,utifrån,z8
0:12:13,gripen,hörna,0,z9
0:12:27,gripen,mål,fast,z8
0:12:46,gripen,skottyp,fast,z8
0:12:59,sirius,avslag,0,0
0:13:14,gripen,närkamp,0,z6
0:13:22,sirius,närkamp,0,z6
0:13:49,gripen,utvisning,10,z1
0:15:01,sirius,frislag,0,z1
0:15:07,gripen,utkast,0,z3
0:15:20,sirius,närkamp,0,z6
0:15:30,sirius,skott,utanför,z2
0:15:35,sirius,skottyp,utifrån,z2
0:15:37,gripen,utkast,0,0
0:15:39,sirius,närkamp,0,z6
0:15:47,sirius,skott,utanför,z2
0:15:57,sirius,skottyp,centralt,z2
0:15:58,gripen,utkast,0,0
0:16:07,sirius,inslag,0,0
0:16:32,gripen,brytning,0,z3
0:16:36,sirius,närkamp,0,z6
0:16:54,gripen,närkamp,0,z5
0:17:03,gripen,frislag,0,z4
0:17:19,sirius,utvisning,10,z8
0:17:47,gripen,frislag,0,z8
0:17:54,sirius,närkamp,0,z8
0:18:15,sirius,passning,straffområde,z2
0:18:20,sirius,närkamp,0,z3
0:18:55,sirius,närkamp,0,z3
0:19:10,gripen,närkamp,0,z1
0:19:15,sirius,inslag,0,z1
0:19:20,gripen,brytning,0,z1
0:19:26,sirius,närkamp,0,z5
0:19:57,sirius,skott,räddning,z2
0:20:04,sirius,skottyp,utifrån,z2
0:20:08,sirius,boll,0,0
0:20:22,sirius,bolltapp,tappad,z1
0:20:36,sirius,brytning,0,z6
0:20:50,sirius,närkamp,0,z3
0:20:52,sirius,frislag,0,z3
0:21:06,sirius,passning,straffområde,z2
0:21:13,gripen,rensning,0,0
0:21:17,sirius,frislag,0,0
0:21:35,sirius,utkast,0,z1
0:21:43,gripen,passning,lång,0
0:21:46,sirius,brytning,0,z8
0:21:49,sirius,40,0,0
0:21:59,sirius,närkamp,0,z4
0:22:01,gripen,närkamp,0,z1
0:22:06,sirius,närkamp,0,z4
0:22:15,sirius,40,0,z8
0:22:23,gripen,närkamp,0,z5
0:22:33,gripen,närkamp,0,z5
0:22:43,sirius,närkamp,0,z7
0:22:48,sirius,frislag,0,z4
0:23:00,gripen,utkast,0,z2
0:23:11,sirius,närkamp,0,z6
0:23:25,sirius,närkamp,0,z1
0:23:28,gripen,närkamp,0,z2
0:23:53,gripen,passning,lång,z8
0:23:55,sirius,närkamp,0,z8
0:24:05,gripen,närkamp,0,z5
0:24:12,sirius,närkamp,0,z5
0:24:48,sirius,skott,utanför,z2
0:24:52,sirius,skottyp,centralt,z2
0:24:54,gripen,utkast,0,0
0:25:00,sirius,närkamp,0,z7
0:25:05,gripen,närkamp,0,z1
0:25:16,sirius,timeout,0,0
0:27:19,gripen,inslag,0,z1
0:27:26,gripen,passning,lång,0
0:27:35,gripen,närkamp,0,z6
0:27:41,gripen,passning,lång,0
0:27:49,sirius,närkamp,0,z6
0:28:11,gripen,brytning,0,z4
0:28:23,sirius,utkast,0,0
0:28:35,sirius,passning,farlig,z2
0:28:40,sirius,skott,räddning,z2
0:28:45,sirius,skottyp,friställande,z2
0:28:48,sirius,hörna,0,z1
0:29:18,sirius,skott,täckt,z2
0:29:22,sirius,skottyp,fast,z2
0:29:29,sirius,närkamp,0,z2
0:29:34,gripen,rensning,0,0
0:29:43,gripen,närkamp,0,z2
0:29:47,sirius,frislag,0,z2
0:30:09,sirius,passning,straffområde,z2
0:30:18,sirius,boll,0,0
0:30:24,gripen,närkamp,0,z5
0:30:31,gripen,passning,lång,0
0:30:35,sirius,närkamp,0,z8
0:30:47,sirius,frislag,0,z1
0:31:01,sirius,passning,straffområde,z2
0:31:03,gripen,närkamp,0,z2
0:31:14,gripen,frislag,0,0
0:31:18,gripen,passning,lång,0
0:31:27,sirius,rensning,0,0
0:31:32,gripen,inslag,0,z4
0:31:44,gripen,passning,lång,0
0:32:01,sirius,frislag,0,z8
0:32:11,gripen,utkast,0,0
0:32:24,sirius,närkamp,0,z8
0:32:39,gripen,närkamp,0,z3
0:32:52,sirius,närkamp,0,0
0:32:58,sirius,passning,lång,0
