time,team,event,subevent,zone
0:00:00,iks,avslag,0,z8
0:00:12,iks,passning,lång,z2
0:00:14,iks,närkamp,0,z2
0:00:18,saik,utkast,0,0
0:01:41,iks,inslag,0,z6
0:01:55,iks,passning,lång,z2
0:02:01,saik,närkamp,0,z2
0:02:07,saik,frislag,0,z6
0:02:34,saik,frislag,0,z9
0:02:43,saik,hörna,0,z9
0:03:08,saik,skott,täckt,z8
0:03:12,saik,skottyp,fast,z8
0:03:15,iks,utkast,0,z7
0:03:31,iks,passning,lång,z2
0:03:32,saik,utkast,0,0
0:04:37,iks,brytning,0,z8
0:04:43,saik,närkamp,0,z5
0:04:49,iks,närkamp,0,z8
0:05:02,saik,närkamp,0,z2
0:05:09,iks,närkamp,0,z4
0:05:28,saik,närkamp,0,z5
0:05:41,saik,mål,spelmål,z8
0:05:45,saik,skottyp,utifrån,z8
0:06:08,iks,avslag,0,0
0:06:31,iks,passning,farlig,z2
0:06:34,iks,skott,räddning,z2
0:06:37,iks,skottyp,centralt,z2
0:06:40,saik,boll,0,0
0:07:00,saik,närkamp,0,z6
0:07:22,saik,inslag,0,z9
0:08:00,iks,närkamp,0,z8
0:08:07,saik,närkamp,0,z4
0:08:14,saik,hörna,0,z7
0:08:46,saik,skott,räddning,z8
0:08:50,saik,skottyp,fast,z8
0:08:53,iks,utkast,0,z7
0:09:14,iks,passning,straffområde,z2
0:09:19,iks,närkamp,0,z4
0:09:26,saik,närkamp,0,z4
0:09:42,iks,närkamp,0,z6
0:09:51,iks,passning,straffområde,z2
0:09:53,saik,utkast,0,0
0:10:38,saik,passning,straffområde,z8
0:10:42,saik,skott,räddning,z8
0:10:46,saik,skottyp,inlägg,z8
0:10:49,iks,boll,0,0
0:11:01,iks,skott,utanför,z2
0:11:06,iks,skottyp,utifrån,z2
0:11:08,saik,utkast,0,0
0:11:23,iks,närkamp,0,z8
0:12:03,iks,hörna,0,z3
0:12:29,iks,skott,täckt,z2
0:12:34,iks,skottyp,fast,z2
0:12:36,iks,boll,0,0
0:13:01,iks,frislag,0,z3
0:13:34,saik,närkamp,0,z6
0:13:51,iks,närkamp,0,z7
0:14:27,iks,frislag,0,z2
0:14:45,iks,närkamp,0,z1
0:15:01,iks,frislag,0,z1
0:15:18,saik,utkast,0,0
0:15:37,saik,närkamp,0,z4
0:15:47,saik,frislag,0,z4
0:16:14,saik,skott,räddning,0
0:16:23,saik,skottyp,dribbling,z8
0:16:27,saik,boll,0,0
0:16:51,iks,närkamp,0,z8
0:16:55,iks,utkast,0,0
0:17:21,iks,passning,straffområde,z2
0:17:35,iks,frislag,0,z2
0:17:49,iks,hörna,0,z1
0:18:18,iks,skott,täckt,z2
0:18:21,iks,skottyp,fast,z2
0:18:26,iks,mål,hörnmål,z2
0:18:31,iks,skottyp,retur,z2
0:18:41,saik,avslag,0,0
0:19:06,saik,passning,straffområde,z8
0:19:10,saik,skott,utanför,z8
0:19:17,saik,skottyp,friställande,z8
0:19:19,iks,utkast,0,0
0:19:25,saik,boll,0,0
0:19:45,saik,skott,räddning,z8
0:19:49,saik,skottyp,centralt,z8
0:19:51,iks,utkast,0,0
0:20:14,saik,utkast,0,z3
0:20:34,iks,utkast,0,z7
0:20:59,iks,inslag,0,z6
0:21:18,iks,skott,räddning,z2
0:21:22,iks,skottyp,utifrån,z2
0:21:35,iks,hörna,0,z1
0:21:43,iks,skott,utanför,z2
0:21:49,iks,skottyp,fast,z2
0:21:51,saik,utkast,0,0
0:22:11,saik,passning,lång,z8
0:22:15,saik,skott,räddning,z8
0:22:22,saik,skottyp,centralt,z8
0:22:24,iks,utkast,0,0
0:22:45,iks,närkamp,0,z1
0:22:48,iks,frislag,0,z1
0:24:06,saik,brytning,0,z2
0:24:13,saik,frislag,0,z6
0:25:23,iks,frislag,0,z5
0:25:30,saik,utkast,0,0
0:25:55,iks,närkamp,0,z9
0:26:04,saik,närkamp,0,z6
0:26:19,iks,närkamp,0,z5
0:26:25,saik,närkamp,0,z4
0:26:29,saik,frislag,0,z4
0:27:30,saik,närkamp,0,z5
0:27:46,saik,passning,lång,z5
0:27:51,iks,brytning,0,z5
0:28:29,iks,närkamp,0,z5
0:28:39,iks,frislag,0,z2
0:29:03,iks,närkamp,0,z1
0:29:06,iks,frislag,0,z1
0:29:38,saik,frislag,0,z5
0:30:35,iks,timeout,0,0
0:32:08,saik,frislag,0,z6
0:32:20,saik,passning,lång,0
0:32:23,iks,närkamp,0,z8
0:32:37,iks,bolltapp,passförsök,0
0:32:44,iks,närkamp,0,z6
0:32:49,iks,frislag,0,z6
0:33:29,saik,brytning,0,z2
0:33:49,saik,bolltapp,0,0
0:34:00,saik,närkamp,0,z3
0:34:36,saik,passning,lång,0
0:34:44,saik,inslag,0,0
0:35:03,saik,skott,utanför,z8
0:35:06,saik,skottyp,utifrån,z8
0:35:08,iks,utkast,0,0
0:35:27,saik,utkast,0,0
0:35:40,iks,närkamp,0,z5
0:35:50,saik,brytning,0,z2
0:36:12,iks,passning,straffområde,z2
0:36:18,iks,passning,straffområde,z2
0:36:21,saik,närkamp,0,z2
0:36:28,saik,straff,0,z8
0:36:55,iks,utvisning,10,0
0:37:12,saik,mål,straffmål,z8
0:37:17,saik,skottyp,fast,z8
0:37:40,iks,avslag,0,0
0:38:04,iks,närkamp,0,z6
0:38:23,saik,närkamp,0,z2
0:38:36,saik,passning,straffområde,z8
0:38:38,iks,boll,0,0
0:39:25,iks,40,0,0
0:39:43,saik,närkamp,0,z3
0:39:55,saik,närkamp,0,z6
0:40:25,iks,närkamp,0,z6
0:40:33,saik,brytning,0,z2
0:40:51,iks,brytning,0,z8
0:41:13,iks,40,0,0
0:41:29,saik,närkamp,0,z3
0:41:50,saik,skott,räddning,z8
0:41:55,saik,skottyp,centralt,z8
0:41:59,saik,skott,täckt,z8
0:42:03,saik,skottyp,retur,z8
0:42:05,iks,boll,0,0
0:42:21,saik,brytning,0,z3
0:42:31,saik,frislag,0,z6
0:42:56,saik,skott,räddning,z8
