time,team,event,subevent,zone
0:00:00,saik,avslag,0,0
0:00:46,saik,passning,straffområde,z8
0:00:53,iks,närkamp,0,z7
0:01:07,iks,40,0,0
0:01:21,iks,passning,lång,z3
0:01:26,iks,skott,utanför,z2
0:01:29,iks,skottyp,utifrån,z2
0:01:31,saik,utkast,0,z1
0:01:45,iks,närkamp,0,z6
0:01:53,iks,skott,täckt,z2
0:01:57,iks,skottyp,utifrån,z2
0:02:00,iks,skott,räddning,z2
0:02:03,iks,skottyp,retur,z2
0:02:05,saik,utkast,0,0
0:02:17,saik,passning,straffområde,z8
0:02:21,iks,utkast,0,z7
0:02:29,iks,närkamp,0,z6
0:02:50,iks,passning,lång,z3
0:02:54,iks,offside,0,z2
0:02:59,saik,boll,0,z3
0:03:14,saik,skott,utanför,z8
0:03:18,saik,skottyp,utifrån,z8
0:03:21,iks,utkast,0,z9
0:03:34,iks,passning,lång,z3
0:03:39,saik,utkast,0,z3
0:04:03,iks,närkamp,0,z8
0:04:07,iks,utkast,0,z7
0:04:20,iks,40,0,0
0:04:41,iks,passning,straffområde,z2
0:04:47,saik,närkamp,0,z2
0:04:49,iks,närkamp,0,z4
0:04:55,iks,passning,lång,z2
0:05:01,saik,utkast,0,z3
0:05:25,saik,frislag,0,z4
0:05:54,saik,frislag,0,z9
0:06:42,iks,brytning,0,z8
0:07:16,iks,mål,spelmål,z2
0:07:35,iks,skottyp,centralt,z2
0:07:38,saik,avslag,0,0
0:08:10,saik,närkamp,0,z9
0:08:22,saik,skott,räddning,z8
0:08:27,saik,skottyp,centralt,z8
0:08:29,saik,hörna,0,z9
0:09:03,saik,mål,hörnmål,z8
0:09:07,saik,skottyp,fast,z8
0:09:43,iks,avslag,0,0
0:10:11,iks,40,0,0
0:10:35,iks,frislag,0,z5
0:10:49,iks,40,0,0
0:11:05,iks,skott,utanför,z2
0:11:09,iks,skottyp,utifrån,z2
0:11:12,saik,utkast,0,0
0:11:18,saik,passning,straffområde,z8
0:11:21,iks,brytning,0,z8
0:11:35,saik,närkamp,0,z6
0:11:43,saik,skott,räddning,z8
0:11:46,saik,skottyp,utifrån,z8
0:11:50,iks,utkast,0,z8
0:12:09,iks,bolltapp,passförsök,z1
0:12:14,saik,inslag,0,z1
0:12:45,saik,passning,straffområde,z8
0:12:48,iks,rensning,0,z8
0:13:15,saik,närkamp,0,z9
0:13:28,saik,frislag,0,z5
0:14:24,saik,passning,lång,z8
0:14:28,iks,utkast,0,z7
0:14:56,iks,passning,lång,z2
0:14:59,saik,brytning,0,z2
0:15:06,iks,närkamp,0,z1
0:15:16,iks,skott,utanför,z2
0:15:22,iks,skottyp,centralt,z2
0:15:24,saik,utkast,0,0
0:15:43,saik,bolltapp,passförsök,z9
0:15:46,iks,utkast,0,z5
0:15:59,iks,40,0,0
0:16:08,iks,40,0,0
0:16:24,saik,närkamp,0,z5
0:16:26,iks,närkamp,0,z1
0:16:44,iks,passning,lång,z2
0:16:48,saik,brytning,0,z2
0:17:14,saik,skott,utanför,z8
