time,team,event,subevent,zone
0:00:00,bro,avslag,0,z5
0:00:46,bro,passning,lång,z1
0:00:49,bro,passning,straffområde,z2
0:00:52,bro,närkamp,0,z2
0:01:00,iks,närkamp,0,z1
0:01:15,iks,passning,lång,z8
0:01:19,bro,utkast,0,z9
0:01:48,bro,frislag,0,z3
0:01:56,0,timeout,0,0
0:02:22,bro,passning,straffområde,z2
0:02:30,0,timeout,0,0
0:03:28,iks,utkast,0,0
0:03:51,iks,40,0,0
0:04:00,iks,passning,lång,z7
0:04:06,bro,utkast,0,z7
0:04:26,iks,brytning,0,z2
0:04:41,iks,hörna,0,z9
0:05:23,iks,mål,hörnmål,z8
0:05:27,iks,skottyp,fast,z8
0:05:50,bro,avslag,0,0
0:06:09,iks,närkamp,0,z1
0:06:11,iks,utkast,0,z2
0:06:33,iks,passning,lång,z7
0:06:38,iks,passning,straffområde,z8
0:06:42,bro,utkast,0,z9
0:06:48,bro,frislag,0,z6
0:07:55,iks,utvisning,10,0
0:08:23,bro,frislag,0,z5
0:08:38,bro,passning,lång,z2
0:08:40,iks,brytning,0,z2
0:08:55,iks,40,0,0
0:09:15,bro,närkamp,0,z3
0:09:19,bro,skott,räddning,z2
0:09:22,bro,skottyp,utifrån,z2
0:09:23,iks,utkast,0,0
0:09:30,iks,passning,lång,z7
0:09:33,iks,passning,straffområde,z8
0:09:35,bro,närkamp,0,z8
0:09:57,bro,passning,straffområde,z2
0:09:59,iks,utkast,0,z3
0:10:14,iks,närkamp,0,z8
0:10:40,iks,passning,lång,z7
0:10:43,iks,offside,0,z7
0:10:45,bro,boll,0,0
0:11:10,iks,närkamp,0,z2
0:11:18,iks,utkast,0,z3
0:11:27,iks,passning,lång,z8
0:11:31,bro,utkast,0,z9
0:12:01,bro,passning,lång,z2
0:12:06,iks,närkamp,0,z2
0:12:14,bro,boll,0,0
0:12:17,bro,hörna,0,z3
0:12:45,bro,skott,täckt,z2
0:12:48,bro,skottyp,fast,z2
0:13:15,0,timeout,0,0
0:13:37,iks,utkast,0,z1
0:13:45,bro,närkamp,0,z4
0:13:52,bro,bolltapp,passförsök,z2
0:13:56,bro,närkamp,0,z6
0:14:04,iks,närkamp,0,z5
0:14:07,bro,frislag,0,z5
0:14:43,bro,passning,lång,z2
0:14:48,iks,utkast,0,z1
0:14:56,iks,närkamp,0,z4
0:15:00,bro,närkamp,0,z4
0:15:17,bro,passning,lång,z1
0:15:27,iks,utkast,0,z8
0:15:39,bro,rensning,0,0
