time,team,event,subevent,zone
0:00:00,iks,avslag,0,z2
0:00:07,iks,40,0,0
0:00:16,iks,40,0,0
0:02:01,iks,friläge,0,z8
0:02:05,iks,mål,spelmål,z8
0:02:11,iks,skottyp,friställande,z8
0:02:33,vet,avslag,0,z8
0:03:02,iks,närkamp,0,z5
0:03:14,iks,skott,utanför,z8
0:03:17,iks,skottyp,utifrån,z8
0:03:20,vet,utkast,0,z7
0:03:37,vet,närkamp,0,z5
0:04:21,iks,närkamp,0,z2
0:04:39,iks,40,0,0
0:05:05,iks,40,0,z2
0:05:14,iks,40,0,z2
0:05:48,vet,närkamp,0,z9
0:06:19,vet,närkamp,0,z5
0:06:34,iks,närkamp,0,z1
0:06:40,vet,närkamp,0,z1
0:06:46,vet,frislag,0,z1
0:07:03,vet,frislag,0,z3
0:07:23,vet,skott,utanför,z3
0:07:32,vet,skottyp,utifrån,z3
0:07:34,iks,utkast,0,z2
0:07:55,iks,passning,lång,z9
0:07:57,vet,boll,0,z9
0:08:00,iks,närkamp,0,z9
0:08:04,vet,närkamp,0,z9
0:08:25,vet,skott,utanför,z2
0:08:31,vet,skottyp,utifrån,z2
0:08:33,iks,utkast,0,z1
0:08:54,iks,40,0,0
0:09:01,iks,offside,0,z9
0:09:07,vet,boll,0,z9
0:09:16,iks,brytning,0,z2
0:09:25,iks,passning,lång,z8
0:09:31,iks,mål,spelmål,z8
0:09:36,iks,skottyp,friställande,z8
0:10:00,vet,avslag,0,z8
0:11:03,iks,inslag,0,z1
0:11:34,iks,passning,straffområde,z8
0:11:37,vet,rensning,0,z8
0:11:42,iks,inslag,0,z9
0:12:08,iks,bolltapp,passförsök,z5
0:12:14,vet,passning,straffområde,z2
0:12:17,vet,hörna,0,z1
0:12:50,vet,skott,utanför,z2
0:12:53,vet,skottyp,fast,z2
0:12:57,iks,utkast,0,z3
0:13:14,iks,hörna,0,z7
0:14:10,iks,skott,täckt,z8
0:14:12,iks,skottyp,fast,z8
0:14:17,iks,skott,utanför,z8
0:14:21,iks,skottyp,retur,z8
0:14:24,vet,utkast,0,0
0:14:48,iks,närkamp,0,z1
0:15:10,iks,40,0,0
0:15:21,iks,40,0,0
0:15:56,iks,skott,utanför,z8
0:16:03,iks,skottyp,centralt,z8
0:16:05,vet,utkast,0,z9
0:16:10,vet,passning,lång,z2
0:16:16,iks,utkast,0,z1
0:16:30,iks,närkamp,0,z5
0:16:50,vet,brytning,0,z7
0:17:01,iks,närkamp,0,z2
0:17:21,iks,närkamp,0,z7
0:17:23,iks,frislag,0,z7
0:18:03,iks,40,0,z2
0:18:16,iks,40,0,z2
0:18:51,iks,passning,straffområde,z8
0:18:54,vet,boll,0,z8
0:18:56,iks,närkamp,0,z7
0:19:00,vet,brytning,0,z7
0:19:00,vet,kontring,0,z7
0:19:05,iks,närkamp,0,z1
0:19:17,vet,närkamp,0,z8
0:19:40,vet,frislag,0,z7
0:20:07,vet,bolltapp,tappad,z4
0:20:14,vet,närkamp,0,z8
0:20:25,vet,frislag,0,z5
0:21:13,iks,närkamp,0,z3
0:21:20,iks,frislag,0,z6
0:22:15,iks,skott,räddning,z8
0:22:20,iks,skottyp,dribbling,z8
0:22:22,vet,utkast,0,0
0:22:27,iks,närkamp,0,z2
0:22:37,vet,närkamp,0,z9
0:23:10,iks,utvisning,10,0
0:23:37,vet,frislag,0,z2
0:23:44,vet,skott,täckt,z2
0:23:48,vet,skottyp,fast,z2
0:23:51,vet,skott,utanför,z2
0:23:55,vet,skottyp,utifrån,z2
0:23:56,iks,utkast,0,0
0:24:17,iks,frislag,0,z8
0:24:52,iks,passning,straffområde,z8
0:24:58,vet,rensning,0,0
0:25:02,iks,40,0,z2
0:25:21,vet,brytning,0,z7
0:25:27,vet,kontring,0,0
0:25:37,iks,brytning,0,z1
0:25:46,iks,frislag,0,z6
0:25:51,0,timeout,0,0
0:26:09,iks,boll,0,0
0:26:19,iks,40,0,0
0:26:40,iks,bolltapp,passförsök,z5
0:26:50,vet,skott,räddning,z2
0:26:53,vet,skottyp,dribbling,z2
0:26:56,iks,boll,0,z2
0:27:29,iks,hörna,0,z7
0:28:00,iks,skott,utanför,z8
0:28:03,iks,skottyp,fast,z8
0:28:07,vet,utkast,0,z7
0:29:00,iks,rensning,0,z2
0:29:41,iks,närkamp,0,z3
0:29:50,iks,kontring,0,0
0:29:55,iks,passning,straffområde,z8
0:29:58,vet,närkamp,0,z8
0:30:09,vet,kontring,0,0
0:31:03,iks,utkast,0,0
0:31:34,vet,bolltapp,passförsök,z7
0:31:36,vet,utkast,0,0
0:31:50,vet,inslag,0,z3
0:32:02,vet,bolltapp,passförsök,z2
0:32:14,vet,utvisning,10,0
0:32:44,iks,frislag,0,z4
0:33:50,vet,närkamp,0,z6
0:33:53,vet,inslag,0,z6
0:33:59,vet,passning,lång,z2
0:34:07,iks,boll,0,z2
0:34:28,iks,40,0,0
0:34:49,iks,närkamp,0,z7
0:35:10,iks,40,0,z2
0:35:30,iks,passning,straffområde,z8
0:35:33,iks,skott,täckt,z8
