time,team,event,subevent,zone
0:00:00,saik,avslag,0,z8
0:00:35,villa,närkamp,0,z6
0:00:46,saik,brytning,0,z5
0:01:10,saik,passning,straffområde,z2
0:01:20,saik,skott,täckt,z2
0:01:23,saik,skottyp,utifrån,z2
0:01:26,villa,boll,0,z2
0:01:30,villa,närkamp,0,z9
0:01:38,villa,frislag,0,z9
0:02:14,villa,skott,utanför,z8
0:02:17,villa,skottyp,centralt,z8
0:02:20,saik,boll,0,0
0:02:29,saik,offside,0,z2
0:02:47,saik,närkamp,0,z8
0:03:12,villa,brytning,0,z1
0:03:23,villa,frislag,0,z1
0:03:48,saik,närkamp,0,z5
0:04:00,saik,skott,räddning,z2
0:04:03,saik,skottyp,dribbling,z2
0:04:08,saik,skott,täckt,z2
0:04:11,saik,skottyp,utifrån,z2
0:04:14,saik,hörna,0,z1
0:04:34,saik,skott,täckt,z2
0:04:37,saik,skottyp,fast,z2
0:04:52,saik,inslag,0,z3
0:05:30,saik,passning,straffområde,z2
0:05:33,villa,utkast,0,0
0:05:50,villa,skott,täckt,z8
0:05:56,villa,skottyp,centralt,z8
0:05:57,saik,utkast,0,0
0:06:17,saik,skott,täckt,z2
0:06:21,saik,skottyp,utifrån,0
0:06:24,saik,hörna,0,z1
0:06:39,saik,skott,täckt,z2
0:06:42,saik,skottyp,fast,z2
0:06:48,saik,boll,0,0
0:06:52,villa,närkamp,0,z4
0:07:03,villa,skott,utanför,z8
0:07:07,villa,skottyp,utifrån,z8
0:07:10,saik,utkast,0,0
0:07:17,villa,utvisning,10,0
0:07:25,saik,straff,0,z2
0:08:21,saik,mål,straffmål,z2
0:08:22,saik,skottyp,fast,z2
0:08:52,villa,avslag,0,0
0:09:47,villa,passning,straffområde,z8
0:09:51,saik,brytning,0,z8
0:09:59,saik,skott,täckt,z2
0:10:03,saik,skottyp,utifrån,z2
0:10:07,villa,boll,0,0
0:10:16,saik,brytning,0,z8
0:10:35,saik,bolltapp,passförsök,z1
0:10:55,villa,frislag,0,z4
0:11:17,saik,närkamp,0,z7
0:11:20,villa,boll,0,0
0:11:32,villa,frislag,0,z6
0:11:40,0,timeout,0,0
0:12:57,saik,boll,0,0
0:13:10,villa,utkast,0,0
0:13:20,saik,närkamp,0,z9
0:13:44,saik,passning,straffområde,z2
0:13:50,villa,rensning,0,0
0:14:25,saik,passning,lång,0
0:14:27,saik,offside,0,0
0:14:31,villa,boll,0,0
0:14:47,villa,passning,straffområde,z8
0:15:09,villa,frislag,0,z8
0:15:26,villa,skott,räddning,z8
0:15:31,villa,skottyp,fast,z8
0:15:34,saik,utkast,0,0
0:16:11,saik,bolltapp,passförsök,0
0:16:14,villa,utkast,0,0
0:16:20,villa,passning,lång,0
0:16:26,saik,utkast,0,0
0:16:55,saik,skott,utanför,z2
0:16:58,saik,skottyp,utifrån,z2
0:17:00,villa,utkast,0,0
0:17:28,villa,skott,räddning,z8
0:17:32,villa,skottyp,centralt,z8
0:17:34,saik,utkast,0,0
0:17:45,saik,passning,farlig,z2
0:17:48,saik,friläge,0,z2
0:17:51,saik,mål,spelmål,z2
0:17:55,saik,skottyp,friställande,z2
0:18:23,villa,avslag,0,0
0:18:32,villa,närkamp,0,z5
0:18:44,villa,passning,lång,z8
0:18:46,saik,utkast,0,0
0:19:06,villa,brytning,0,z2
0:19:22,villa,passning,lång,z2
0:19:25,villa,timeout,0,0
0:21:18,saik,utkast,0,0
0:21:34,villa,närkamp,0,z5
0:21:44,saik,närkamp,0,z8
0:21:45,saik,utkast,0,0
0:22:18,saik,skott,utanför,z2
0:22:22,saik,skottyp,utifrån,z2
0:22:24,villa,utkast,0,0
0:22:41,villa,skott,täckt,z8
0:22:46,villa,skottyp,centralt,z8
0:22:50,saik,rensning,0,0
0:23:34,saik,närkamp,0,z8
0:23:41,saik,utvisning,10,0
0:24:16,villa,frislag,0,z8
0:24:42,villa,skott,täckt,z8
0:24:46,villa,skottyp,centralt,z8
0:24:48,villa,hörna,0,z7
0:25:15,villa,skott,täckt,z8
0:25:18,villa,skottyp,fast,z8
0:25:26,saik,närkamp,0,z9
0:25:35,saik,närkamp,0,z6
0:25:40,saik,inslag,0,z6
0:26:12,villa,utkast,0,0
0:26:56,villa,passning,straffområde,z8
0:27:03,saik,rensning,0,0
0:27:17,saik,närkamp,0,z7
0:27:48,villa,närkamp,0,z9
0:28:09,saik,närkamp,0,z7
0:28:21,villa,närkamp,0,z2
0:28:38,villa,passning,straffområde,z8
0:28:43,saik,rensning,0,0
0:28:46,villa,utkast,0,0
0:29:18,saik,brytning,0,z8
0:29:28,saik,hörna,0,z3
0:29:59,saik,skott,utanför,z2
0:30:03,saik,skottyp,fast,z2
0:30:09,villa,utkast,0,0
0:30:21,saik,brytning,0,z8
0:30:58,saik,passning,straffområde,z2
0:31:04,villa,närkamp,0,z2
0:31:23,saik,utkast,0,z9
0:31:44,villa,närkamp,0,z3
0:32:15,saik,närkamp,0,z7
0:32:25,villa,närkamp,0,z5
0:32:47,saik,utkast,0,0
0:33:43,saik,inslag,0,z7
0:33:54,villa,närkamp,0,z5
0:34:27,villa,skott,räddning,z8
0:34:31,villa,skottyp,centralt,z8
0:34:41,villa,närkamp,0,z7
0:34:52,villa,skott,täckt,z8
0:34:58,villa,skottyp,centralt,z8
0:35:02,saik,rensning,0,0
0:35:09,villa,skott,räddning,z8
0:35:13,villa,skottyp,utifrån,z8
0:35:19,villa,mål,spelmål,z8
0:35:22,villa,skottyp,retur,z8
0:35:30,saik,avslag,0,0
0:35:46,saik,skott,täckt,z2
0:35:50,saik,skottyp,utifrån,z2
0:35:55,villa,närkamp,0,z2
0:36:06,villa,hörna,0,z9
0:36:37,villa,skott,täckt,z8
0:36:44,villa,skottyp,fast,z8
0:36:48,villa,skott,utanför,z8
0:36:51,villa,skottyp,utifrån,z8
0:36:55,saik,utkast,0,0
0:37:23,saik,närkamp,0,z3
0:37:29,villa,närkamp,0,z2
0:37:38,saik,närkamp,0,z6
0:37:46,saik,skott,räddning,z2
0:37:50,saik,skottyp,centralt,z2
0:37:54,saik,hörna,0,z1
0:38:13,saik,skott,räddning,z2
0:38:17,saik,skottyp,fast,z2
0:38:20,villa,utkast,0,0
0:38:41,saik,utkast,0,z9
0:38:47,saik,passning,lång,0
0:38:50,villa,boll,0,z1
0:39:09,villa,frislag,0,0
0:39:25,villa,skott,täckt,z8
0:39:28,villa,skottyp,utifrån,z8
0:39:33,saik,inslag,0,z7
0:39:37,saik,passning,lång,z3
0:39:44,villa,närkamp,0,z2
0:40:04,villa,passning,straffområde,z8
0:40:07,villa,skott,räddning,z8
0:40:11,villa,skottyp,inlägg,z8
0:40:13,villa,hörna,0,z7
0:40:33,villa,skott,täckt,z8
