time,team,event,subevent,zone
0:00:00,mot,avslag,0,z2
0:00:26,mot,passning,lång,z8
0:00:32,iks,utkast,0,z7
0:01:01,iks,skott,utanför,z2
0:01:04,iks,skottyp,utifrån,z2
0:01:06,mot,utkast,0,z3
0:01:24,iks,närkamp,0,z8
0:01:40,iks,bolltapp,tappad,z5
0:02:07,iks,brytning,0,z8
0:02:14,mot,närkamp,0,z4
0:03:07,iks,närkamp,0,z4
0:03:32,iks,närkamp,0,z3
0:03:36,iks,passning,straffområde,z2
0:03:43,mot,utkast,0,0
0:04:28,mot,utkast,0,0
0:04:43,iks,närkamp,0,z8
0:04:48,mot,närkamp,0,z9
0:05:11,mot,skott,utanför,z9
0:05:16,mot,skottyp,utifrån,z9
0:05:17,iks,utkast,0,0
0:05:20,iks,passning,lång,0
0:05:23,mot,boll,0,0
0:05:27,iks,närkamp,0,z5
0:05:40,iks,skott,täckt,z2
0:05:45,iks,skottyp,utifrån,z2
0:05:47,iks,närkamp,0,z2
0:05:54,iks,skott,täckt,z2
0:06:00,iks,skottyp,retur,z2
0:06:03,mot,utkast,0,0
0:06:09,mot,passning,lång,0
0:06:11,iks,boll,0,0
0:06:26,mot,rensning,0,0
0:07:17,mot,närkamp,0,z3
0:07:45,mot,offside,0,0
0:07:51,iks,boll,0,0
0:08:42,mot,utkast,0,z3
0:08:49,mot,passning,lång,0
0:08:54,iks,boll,0,z8
0:09:08,iks,bolltapp,tappad,z4
0:09:10,iks,närkamp,0,z8
0:09:43,mot,utkast,0,z1
0:10:08,iks,utkast,0,z7
0:10:37,iks,40,0,z8
0:10:51,mot,utkast,0,0
0:11:25,mot,närkamp,0,z8
0:11:38,mot,passning,straffområde,z8
0:11:55,mot,hörna,0,z9
0:12:08,mot,skott,räddning,z8
0:12:13,mot,skottyp,fast,z8
0:12:16,iks,utkast,0,z9
0:12:20,iks,passning,lång,0
0:12:24,mot,boll,0,0
0:12:42,iks,närkamp,0,z8
0:13:12,mot,närkamp,0,z6
0:13:41,iks,brytning,0,z4
0:14:07,mot,utkast,0,z3
0:14:26,mot,skott,utanför,z8
0:14:29,mot,skottyp,utifrån,z8
0:14:31,iks,utkast,0,0
0:15:18,iks,passning,straffområde,z2
0:15:22,iks,mål,spelmål,z2
0:15:27,iks,skottyp,inlägg,z2
0:16:16,mot,avslag,0,0
0:16:38,iks,närkamp,0,z4
0:16:46,mot,frislag,0,z4
0:16:56,mot,bolltapp,passförsök,z1
0:17:01,iks,hörna,0,z1
0:17:28,iks,skott,täckt,z2
0:17:31,iks,skottyp,fast,z2
0:17:36,iks,närkamp,0,z4
0:17:48,mot,utkast,0,z3
0:18:22,iks,närkamp,0,z5
0:18:30,iks,mål,spelmål,z2
0:18:33,iks,skottyp,utifrån,z2
0:18:59,mot,avslag,0,0
0:19:13,iks,brytning,0,z5
0:19:32,iks,40,0,0
0:19:50,iks,närkamp,0,z6
0:20:06,mot,utkast,0,0
0:20:26,mot,frislag,0,z6
0:20:48,mot,passning,lång,0
0:21:41,iks,närkamp,0,z6
0:21:57,iks,passning,lång,z2
0:22:01,mot,boll,0,z2
0:22:16,mot,närkamp,0,z9
0:22:51,mot,passning,lång,0
0:23:06,iks,utkast,0,z9
0:23:17,mot,närkamp,0,z7
0:23:27,iks,brytning,0,z7
0:23:32,mot,inslag,0,z7
0:23:46,mot,hörna,0,z7
0:24:21,mot,skott,täckt,z8
0:24:24,mot,skottyp,fast,z8
0:24:30,iks,utkast,0,0
0:24:41,iks,friläge,0,z2
0:24:45,iks,mål,spelmål,z2
0:24:53,iks,skottyp,friställande,z2
0:25:09,mot,avslag,0,0
0:25:26,iks,utkast,0,0
0:25:37,iks,bolltapp,tappad,z9
0:25:46,mot,skott,utanför,z8
0:25:50,mot,skottyp,utifrån,z8
0:25:52,mot,timeout,0,0
0:27:14,iks,utkast,0,z7
0:27:22,mot,brytning,0,z1
0:27:39,mot,passning,straffområde,z8
0:27:44,iks,utkast,0,z4
0:27:56,iks,passning,straffområde,z2
0:27:58,iks,skott,utanför,z2
0:28:02,iks,skottyp,inlägg,z2
0:28:03,mot,utkast,0,0
0:28:28,iks,brytning,0,z8
0:28:29,iks,frislag,0,0
0:28:32,iks,passning,lång,0
0:28:34,mot,utkast,0,0
0:28:44,iks,närkamp,0,z5
0:28:56,iks,frislag,0,z1
0:29:15,iks,passning,lång,0
0:29:16,mot,utkast,0,0
0:29:20,mot,passning,lång,0
0:29:24,mot,närkamp,0,z8
0:29:28,mot,skott,räddning,z8
0:29:31,mot,skottyp,utifrån,z8
0:29:35,iks,närkamp,0,z1
0:29:37,mot,frislag,0,z1
0:30:06,mot,skott,räddning,z8
0:30:10,mot,skottyp,utifrån,z8
0:30:25,iks,utkast,0,0
0:30:43,mot,skott,täckt,z8
0:30:51,mot,skottyp,centralt,z8
0:31:00,iks,närkamp,0,z8
0:31:05,iks,skott,räddning,z2
0:31:09,iks,skottyp,utifrån,z2
0:31:11,mot,utkast,0,0
0:31:18,iks,närkamp,0,z8
0:31:34,mot,närkamp,0,z3
0:31:40,mot,passning,lång,0
0:31:44,mot,hörna,0,z9
0:32:17,mot,skott,täckt,z8
0:32:24,mot,skottyp,fast,z8
0:32:26,iks,utkast,0,z7
0:32:37,iks,inslag,0,z4
0:32:47,iks,passning,lång,z2
0:32:51,iks,närkamp,0,z2
0:32:56,iks,skott,utanför,z2
0:32:59,iks,skottyp,centralt,z2
0:33:01,mot,utkast,0,0
0:33:20,iks,närkamp,0,z7
0:33:28,mot,frislag,0,z5
0:33:39,mot,passning,straffområde,z8
0:33:41,iks,rensning,0,0
0:33:48,mot,inslag,0,z7
0:33:53,mot,passning,straffområde,z8
0:33:55,iks,rensning,0,0
0:34:02,iks,närkamp,0,z6
0:34:05,iks,offside,0,0
0:34:24,mot,frislag,0,z7
0:34:41,mot,passning,straffområde,z8
0:34:52,iks,utkast,0,z2
0:35:01,iks,hörna,0,z1
0:35:31,iks,skott,täckt,z2
0:35:34,iks,skottyp,fast,z2
0:35:36,mot,utkast,0,z1
0:36:01,iks,närkamp,0,z8
0:36:13,iks,passning,straffområde,z2
0:36:17,iks,närkamp,0,z1
0:36:32,mot,närkamp,0,z1
0:36:45,iks,närkamp,0,z8
0:36:50,iks,passning,lång,0
0:37:04,mot,skott,räddning,z8
0:37:07,mot,skottyp,utifrån,z8
0:37:09,iks,utkast,0,z7
0:37:27,iks,passning,straffområde,z2
0:37:34,iks,mål,spelmål,z2
0:37:37,iks,skottyp,inlägg,z2
0:37:55,mot,avslag,0,0
0:38:29,iks,frislag,0,z9
0:38:37,mot,närkamp,0,z3
0:38:48,mot,skott,utanför,z7
0:38:56,mot,skottyp,utifrån,z7
0:39:03,iks,utkast,0,z5
0:39:09,mot,närkamp,0,z5
0:39:38,iks,närkamp,0,z9
0:39:51,iks,passning,straffområde,z2
0:39:56,iks,skott,utanför,z2
0:39:59,iks,skottyp,inlägg,z2
0:40:02,mot,boll,0,0
0:40:11,mot,passning,straffområde,z8
0:40:13,mot,närkamp,0,z8
0:40:18,mot,skott,räddning,z8
0:40:21,mot,skottyp,utifrån,z8
0:40:26,iks,utkast,0,0
0:40:50,iks,frislag,0,z5
0:41:02,iks,passning,straffområde,z2
0:41:06,mot,utkast,0,0
0:41:17,mot,passning,lång,0
0:41:20,iks,närkamp,0,0
0:41:29,mot,utvisning,10,0
0:41:49,iks,frislag,0,z7
0:42:01,iks,passning,lång,z2
0:42:08,iks,hörna,0,z1
0:42:40,iks,skott,utanför,z2
0:42:42,iks,skottyp,fast,z2
0:42:45,mot,utkast,0,0
0:43:00,iks,närkamp,0,z2
0:43:09,iks,passning,straffområde,z2
0:43:13,mot,boll,0,0
0:43:25,mot,skott,täckt,z2
0:43:28,mot,skottyp,centralt,z2
0:43:31,mot,hörna,0,z7
0:43:58,mot,skott,täckt,z8
0:44:02,mot,skottyp,fast,z8
0:44:04,iks,rensning,0,0
0:44:10,mot,skott,utanför,z8
0:44:13,mot,skottyp,utifrån,z8
0:44:19,iks,utkast,0,0
0:44:30,iks,hörna,0,z1
0:45:04,iks,mål,hörnmål,z2
0:45:08,iks,skottyp,fast,z2
0:45:31,mot,avslag,0,0
0:45:48,mot,frislag,0,z8
0:45:56,iks,frislag,0,z6
0:46:08,iks,passning,lång,0
0:46:29,iks,bolltapp,tappad,z4
0:46:31,iks,närkamp,0,z7
0:46:33,0,stop,0,0
