time,team,event,subevent,zone
0:00:00,iks,avslag,0,z2
0:00:13,iks,40,0,z2
0:00:19,mot,närkamp,0,z3
0:00:22,iks,frislag,0,z3
0:00:44,mot,närkamp,0,z7
0:00:49,iks,närkamp,0,z4
0:00:53,iks,40,0,z2
0:01:03,mot,utkast,0,z9
0:01:22,mot,passning,lång,z2
0:01:25,iks,utkast,0,z3
0:01:59,iks,passning,lång,z8
0:02:07,iks,närkamp,0,z8
0:02:09,iks,hörna,0,z7
0:02:35,iks,skott,utanför,z8
0:02:39,iks,skottyp,fast,z8
0:02:43,mot,utkast,0,z7
0:03:04,mot,passning,lång,z2
0:03:08,mot,offside,0,z2
0:03:18,iks,boll,0,0
0:03:31,mot,utkast,0,0
0:04:03,iks,närkamp,0,z3
0:04:08,iks,kontring,0,0
0:04:33,iks,bolltapp,tappad,z5
0:04:36,iks,rensning,0,z2
0:04:38,mot,inslag,0,z3
0:05:12,mot,passning,lång,z2
0:05:17,iks,utkast,0,z3
0:05:28,iks,passning,lång,z9
0:05:35,iks,närkamp,0,z6
0:05:59,0,timeout,0,0
0:07:02,iks,boll,0,0
0:07:10,iks,passning,straffområde,z8
0:07:14,iks,skott,räddning,z8
0:07:18,iks,skottyp,inlägg,z8
0:07:19,mot,utkast,0,0
0:07:30,mot,skott,utanför,z2
0:07:36,mot,skottyp,utifrån,z2
0:07:38,iks,utkast,0,0
0:08:20,iks,inslag,0,z6
0:08:45,mot,närkamp,0,z5
0:09:18,iks,utkast,0,z3
0:09:27,iks,passning,lång,z8
0:09:30,mot,närkamp,0,z8
0:09:39,mot,frislag,0,z1
0:10:04,mot,bolltapp,tappad,z5
0:10:10,iks,passning,straffområde,z8
0:10:19,mot,närkamp,0,z9
0:10:32,mot,frislag,0,z3
0:10:52,mot,passning,straffområde,z2
0:11:01,mot,närkamp,0,z1
0:11:05,iks,brytning,0,z2
0:11:17,iks,bolltapp,tappad,z5
0:11:36,mot,skott,utanför,z2
0:11:40,mot,skottyp,utifrån,z2
0:11:41,iks,utkast,0,0
0:11:49,mot,brytning,0,z8
