time,team,event,subevent,zone
0:00:00,villa,avslag,0,0
0:00:14,villa,frislag,0,z6
0:00:28,iks,närkamp,0,z2
0:00:35,iks,40,0,z2
0:00:46,villa,närkamp,0,z2
0:00:51,villa,skott,utanför,z2
0:00:57,villa,skottyp,centralt,z2
0:00:59,iks,utkast,0,z2
0:01:11,villa,brytning,0,z6
0:01:36,villa,bolltapp,tappad,z3
0:01:40,iks,utkast,0,z3
0:01:53,iks,passning,lång,z8
0:02:04,villa,utkast,0,0
0:02:15,iks,närkamp,0,z2
0:02:18,villa,närkamp,0,z1
0:02:42,villa,frislag,0,z2
0:03:15,villa,hörna,0,z1
0:03:49,villa,skott,täckt,z2
0:03:51,villa,skottyp,fast,z2
0:04:55,villa,närkamp,0,z6
0:05:09,villa,hörna,0,z3
0:05:40,villa,skott,täckt,z2
0:05:43,villa,skottyp,fast,z2
0:05:45,iks,rensning,0,0
0:05:50,villa,hörna,0,z1
0:06:36,iks,boll,0,z2
0:06:46,iks,passning,lång,z8
0:06:51,villa,utkast,0,z6
0:07:03,iks,brytning,0,z5
0:07:15,villa,utkast,0,z7
0:07:45,villa,passning,straffområde,z2
0:07:47,iks,brytning,0,z2
0:07:51,villa,närkamp,0,z6
0:08:16,villa,skott,täckt,z2
0:08:19,villa,skottyp,utifrån,z2
0:08:24,villa,hörna,0,z1
0:08:48,villa,skott,täckt,z2
0:08:51,villa,skottyp,fast,z2
0:09:02,iks,utkast,0,0
0:09:06,iks,passning,lång,z8
0:09:09,iks,närkamp,0,z8
0:09:14,iks,skott,täckt,z8
0:09:19,iks,skottyp,utifrån,z8
0:09:17,villa,boll,0,z8
0:09:28,villa,frislag,0,z5
0:10:24,iks,boll,0,0
0:10:34,villa,närkamp,0,z5
0:10:40,villa,skott,räddning,z2
0:10:44,villa,skottyp,centralt,z2
0:10:49,villa,närkamp,0,z4
0:10:59,villa,hörna,0,z1
0:11:32,villa,mål,hörnmål,z2
0:11:36,villa,skottyp,fast,z2
0:11:59,iks,avslag,0,0
0:12:21,villa,närkamp,0,z9
0:13:56,villa,skott,täckt,z2
0:14:02,villa,skottyp,utifrån,z2
0:14:30,iks,närkamp,0,z3
0:14:41,iks,skott,täckt,z8
0:14:46,iks,skottyp,utifrån,z8
0:14:48,villa,boll,0,0
0:15:16,villa,frislag,0,z5
0:15:36,villa,passning,lång,z2
0:15:42,villa,offside,0,0
0:15:44,iks,boll,0,0
0:15:53,iks,passning,straffområde,z8
0:16:03,villa,inslag,0,z9
0:16:13,iks,närkamp,0,z4
0:16:36,iks,passning,straffområde,z8
0:16:39,villa,rensning,0,0
0:16:58,villa,brytning,0,z8
0:17:36,iks,utkast,0,z1
0:17:56,iks,passning,straffområde,z8
0:18:00,iks,40,0,0
0:18:18,iks,hörna,0,z9
0:18:49,iks,skott,täckt,z2
0:18:55,iks,skottyp,fast,z2
0:18:58,villa,boll,0,0
0:19:07,villa,närkamp,0,z3
0:19:11,villa,passning,straffområde,z2
