time,team,event,subevent,zone
0:00:00,eds,avslag,0,z2
0:00:11,eds,passning,lång,z2
0:00:12,iks,boll,0,0
0:00:15,iks,hörna,0,z3
0:00:45,iks,skott,utanför,z2
0:00:53,iks,skottyp,fast,z2
0:00:56,eds,utkast,0,0
0:01:09,iks,brytning,0,z6
0:01:13,eds,närkamp,0,z3
0:01:19,eds,skott,utanför,z8
0:01:21,eds,skottyp,utifrån,0
0:01:23,iks,utkast,0,0
0:01:32,eds,närkamp,0,z5
0:02:13,iks,närkamp,0,z6
0:02:23,iks,skott,täckt,z2
0:02:26,iks,skottyp,utifrån,z2
0:02:27,eds,boll,0,0
0:02:36,eds,bolltapp,passförsök,z6
0:02:52,eds,närkamp,0,z4
0:03:18,eds,frislag,0,z9
0:03:47,eds,hörna,0,z9
0:04:16,eds,skott,räddning,z8
0:04:20,eds,skottyp,fast,z8
0:04:21,eds,boll,0,0
0:04:54,iks,rensning,0,z8
0:05:11,iks,närkamp,0,z9
0:05:14,eds,närkamp,0,z9
0:05:57,iks,närkamp,0,z8
0:06:09,eds,närkamp,0,z1
0:06:14,iks,boll,0,0
0:06:28,eds,närkamp,0,z4
0:07:01,iks,närkamp,0,z5
0:07:11,eds,närkamp,0,z5
0:07:27,iks,utkast,0,z7
0:07:38,iks,bolltapp,passförsök,z7
0:08:37,iks,brytning,0,z8
0:08:53,eds,brytning,0,z3
0:08:56,eds,inslag,0,z3
0:09:49,iks,utkast,0,z9
0:10:03,iks,frislag,0,z7
0:10:13,iks,passning,lång,0
0:10:20,eds,utkast,0,z2
0:10:44,iks,närkamp,0,z5
0:10:49,eds,närkamp,0,z6
0:11:43,iks,närkamp,0,z6
0:11:58,iks,närkamp,0,z4
0:12:04,eds,brytning,0,z3
0:12:12,eds,närkamp,0,z6
0:12:15,eds,frislag,0,z9
0:13:15,eds,frislag,0,z6
0:13:43,iks,närkamp,0,z7
0:13:50,eds,inslag,0,z4
0:14:04,iks,närkamp,0,z8
0:14:14,iks,bolltapp,passförsök,z4
0:14:18,iks,närkamp,0,z5
0:14:23,eds,närkamp,0,z2
0:14:46,iks,närkamp,0,z9
0:14:53,iks,inslag,0,z9
0:15:07,eds,närkamp,0,z7
0:15:12,eds,hörna,0,z7
0:15:44,eds,skott,räddning,z8
0:15:47,eds,skottyp,fast,z8
0:15:49,iks,utkast,0,0
0:16:12,eds,brytning,0,z5
0:16:35,eds,närkamp,0,z8
0:16:59,eds,passning,straffområde,z8
0:17:07,iks,frislag,0,z8
0:17:23,eds,närkamp,0,z1
0:17:28,iks,hörna,0,z1
0:17:57,iks,skott,täckt,z2
0:18:01,iks,skottyp,fast,z2
0:18:05,iks,skott,räddning,z2
0:18:09,iks,skottyp,retur,z2
0:18:11,eds,utkast,0,0
0:18:41,iks,närkamp,0,z6
0:19:07,iks,skott,räddning,z2
0:19:09,iks,skottyp,centralt,z2
0:19:12,eds,boll,0,0
0:19:23,eds,bolltapp,passförsök,z5
0:19:28,eds,närkamp,0,z5
0:19:50,eds,skott,täckt,z8
0:19:55,eds,skottyp,centralt,z8
0:19:56,eds,hörna,0,z9
0:20:18,eds,mål,hörnmål,z8
0:20:21,eds,skottyp,fast,z8
0:20:42,iks,avslag,0,0
0:21:09,iks,passning,lång,0
0:21:16,eds,utkast,0,0
0:21:29,eds,passning,straffområde,0
0:21:32,iks,boll,0,0
0:21:50,iks,passning,straffområde,z2
0:21:52,eds,utkast,0,0
0:22:08,eds,offside,0,0
0:22:42,eds,brytning,0,z6
0:22:52,iks,utkast,0,z7
0:23:01,iks,passning,lång,0
0:23:09,iks,närkamp,0,z2
0:23:13,iks,passning,straffområde,z2
0:23:15,eds,boll,0,z3
0:23:40,iks,närkamp,0,z8
0:23:49,iks,bolltapp,passförsök,z7
0:23:51,eds,inslag,0,z7
0:24:04,eds,närkamp,0,z9
0:24:08,eds,frislag,0,z9
0:24:29,iks,närkamp,0,z7
0:24:33,iks,utkast,0,0
0:24:51,iks,frislag,0,z6
0:25:09,eds,närkamp,0,z9
0:25:15,iks,utkast,0,0
0:25:23,eds,närkamp,0,z4
0:25:54,eds,inslag,0,z9
0:26:14,eds,frislag,0,z7
0:26:47,eds,passning,straffområde,z8
0:26:50,iks,närkamp,0,z8
0:26:59,iks,mål,spelmål,z2
0:27:08,iks,skottyp,centralt,z2
0:27:31,eds,avslag,0,0
0:27:52,iks,närkamp,0,z9
0:27:57,iks,närkamp,0,z5
0:28:03,iks,frislag,0,z5
0:28:36,eds,närkamp,0,z4
0:28:46,eds,passning,lång,0
0:28:50,eds,offside,0,0
0:29:16,eds,brytning,0,z6
0:29:26,iks,närkamp,0,z7
0:29:39,eds,inslag,0,z7
0:29:59,eds,passning,straffområde,z8
0:30:03,iks,närkamp,0,z7
0:30:28,iks,bolltapp,passförsök,z9
0:30:31,iks,närkamp,0,z8
0:31:00,iks,passning,lång,z2
0:31:03,eds,utkast,0,0
0:31:13,iks,närkamp,0,z2
0:31:22,eds,närkamp,0,z2
0:31:25,eds,kontring,0,0
0:31:32,eds,frislag,0,z8
0:31:51,eds,skott,täckt,z8
0:31:54,eds,skottyp,utifrån,z8
0:32:07,eds,boll,0,0
0:32:19,eds,skott,täckt,z8
0:32:23,eds,skottyp,utifrån,z8
0:32:25,iks,boll,0,0
0:32:32,iks,frislag,0,z4
0:32:47,eds,närkamp,0,z5
0:32:53,eds,skott,utanför,z8
0:32:57,eds,skottyp,centralt,z8
0:32:59,iks,utkast,0,0
0:33:19,iks,närkamp,0,z7
0:33:25,iks,inslag,0,z7
0:33:43,iks,frislag,0,z7
0:34:13,eds,närkamp,0,z1
0:34:18,eds,frislag,0,z4
0:34:37,eds,passning,straffområde,z8
0:34:39,eds,närkamp,0,z8
0:34:42,eds,skott,täckt,z8
0:34:46,eds,skottyp,utifrån,0
0:34:49,iks,närkamp,0,z8
0:34:59,eds,närkamp,0,z4
0:35:13,iks,närkamp,0,z7
0:35:17,iks,inslag,0,z7
0:35:25,eds,närkamp,0,z5
0:35:31,eds,frislag,0,z5
0:35:43,iks,närkamp,0,z5
0:35:53,eds,närkamp,0,z2
0:36:50,eds,passning,straffområde,z8
0:36:58,eds,skott,täckt,z8
0:37:03,eds,skottyp,inlägg,z8
0:37:09,eds,hörna,0,z9
