event,time
avslag sirius z5,0:00:00
passning lång sirius z5,0:00:18
närkamp vsk z8,0:00:22
närlkamp sirisu z6,0:00:28
närkamp sirius z6,0:00:44
frislag sirius z6,0:00:48
40 sirius z2,0:01:06
40 sirius z2,0:01:15
passning lång sirisu z8,0:01:21
närkamp sirius z8,0:01:25
passning lång sirius z8,0:01:41
närkamp sirius z8,0:01:46
närkamp vsk z4,0:01:49
närkamp sirius z3,0:02:04
närkamp vsk z3,0:02:09
utkast sirius z6,0:02:19
brytning vsk z5,0:02:25
närkamp sirius z5,0:02:30
närkamp vsk z4,0:02:41
närkamp sirius z4,0:02:51
frislag sirius z4,0:03:00
del,0:03:09
närkamp sirius z6,0:03:24
utkast vsk z9,0:03:37
frislag vsk z3,0:03:54
skott täckt vsk z2,0:04:06
skottyp fast vsk z2,0:04:09
boll sirius ,0:04:14
frislag sirius z6,0:04:26
skott täckt sirius z6,0:04:42
skottyp fast sirius z6,0:04:45
utkast vsk ,0:04:47
passning lång vsk,0:04:52
utkast sriius z1,0:04:54
passning straffområde sirius z8,0:05:12
frisalg sirius z7,0:05:19
skott utanför sirius z7,0:05:28
skottyp fast sirius z7,0:05:34
bryting vsk z8,0:05:42
passnig strafformåde vsk z2,0:05:51
rensning sirius ,0:05:56
passning lång vsk z2,0:06:00
utkast sirius ,0:06:03
närkamp vsk z7,0:06:26
passning lång vsk z5,0:06:38
offside vsk,0:06:41
brytning vsk z4,0:06:50
frislag vsk z1,0:07:05
passning straffområde vsk z2,0:07:25
boll sirius z1,0:07:30
skott räddning sirius z8,0:07:44
skottyp sirius z8 centralt ,0:07:52
utkast vsk,0:07:54
närkamp siirus z5,0:07:58
brytning vsk z4,0:08:04
närkamp sirisu z4,0:08:10
boll vsk ,0:08:18
närkamp sirius z2,0:08:26
närkamp vsk z5,0:08:32
rensning sirius ,0:08:39
inslag vsk z6,0:08:50
passning lång vsk z2,0:09:04
hörna vsk z1,0:09:07
vsk z2 skott täckt,0:09:35
skottyp fast vsk z2,0:09:37
skott utanför vsk z2,0:09:42
skottyp retur vsk z2,0:09:44
utkast sirius z3,0:09:47
passning lång sirius z8,0:09:56
timeout,0:10:01
frislag vsk z8,0:11:16
passning ö¨mng vsk z5,0:11:24
nrkamp vsk z3,0:11:28
närkamp sirius z3,0:11:33
skott utanför sirius z8,0:11:47
skottyp utifrån sirius z8,0:11:52
utkast vsk ,0:11:56
närkamp vsk z5,0:12:08
frislag sirius z5,0:12:13
passning lång sirius z8,0:12:18
boll vsk z7,0:12:25
närkamp sirisu z2,0:12:36
närkamp vsk z5,0:12:47
närkamp sirius z2,0:12:57
frislag sirius z2,0:12:59
passning lång sirius z5,0:13:14
inslag vsk z6,0:13:23
närkamp sirius z5,0:13:36
närkamp vsk z4,0:13:46
frislag vsk z1,0:13:53
passning straffområde vsk z2,0:14:05
frislag sirius z2,0:14:22
passning lång sirius z7,0:14:33
närkamp sirius z9,0:14:50
brytning vsk z5,0:15:00
närkamp sirisu z5,0:15:05
passnig straffområde isrius z8,0:15:18
skott täckt sirius z8,0:15:21
skittyo inlägg sirius z8,0:15:25
skott utanflr sirius z8,0:15:31
skottyp utifrån sirius z8,0:15:38
utkast vsk,0:15:41
frislag vsk z8,0:15:49
utkast vsk z2,0:16:08
utkast sirius z6,0:16:15
passning lång sirius z8,0:16:32
nörkamp sirius z6,0:16:36
skott täckt sirius z8,0:16:48
skottyp centralt sirius z8,0:16:53
mål strafformdåe sirisu z8,0:16:59
skottyp retur sirius z8,0:17:05
avslag vsk ,0:17:19
närkamp vsk z6,0:17:38
frislag vsk z6,0:17:45
passning lång vsk z2,0:17:49
skott räddning vsk z2,0:17:58
skottyp utifrån vsk z2,0:18:01
