event,time
avslag motala z5,0:00:00
skott motala utanför ,0:00:22
inkast sirius z2,0:00:28
hörna sirius z9,0:01:22
skott block sirius z8,0:01:47
inkast motala z8,0:01:52
bolltapp motala dell z4,0:02:20
skott block sirius z8,0:02:53
utkast motala z8 ,0:02:57
skott räddning motala z2,0:03:27
hörna motala z1,0:03:32
skott räddning motala z2,0:04:02
skott räddning sirius z8,0:04:25
innehav sirius ,0:05:26
bolltapp sirius duell ,0:05:52
skott räddning motala z2,0:05:58
frislag sirius z6,0:06:07
bolltapp passning sirius z4,0:06:21
bolltapp tapp motala z8,0:06:55
friläge sirius z8,0:07:01
mål sirius z8 ,0:07:06
avslag motala ,0:07:36
bolltapp motala z7,0:08:16
bolltapp soroius passning z4,0:09:16
frislag motala z7,0:09:37
skott räddning motala z1,0:09:44
utkast sirius ,0:09:47
bolltapp sirius z9,0:10:25
bolltapp motala z3,0:10:30
mål sirius ,0:10:41
avslag motala ,0:11:33
frislag sirius z5,0:11:47
utkast motala z8,0:12:13
inslag motala z9,0:12:57
bolltapp motala z4 passnig ,0:13:22
inslag motala z9,0:13:37
bolltapp motala duell z3,0:14:05
bolltapp sirius duell z4,0:14:18
skott utanför motala z2,0:14:50
inkast sirius,0:15:16
inkast motala ,0:15:18
inslag sirius z1,0:15:46
skott utanför sirius z8,0:16:55
bolltapp sirius ,0:17:38
skott block motala ,0:18:01
hörna motala z3,0:18:04
skott vblock motala z2,0:18:37
utkast sirius z2,0:18:41
bolltapp sirius duell z8,0:19:43
bolltapp motala duell z9,0:19:49
bolltapp sirius passning z4,0:20:34
bolltapp motala duell z5,0:20:46
bolltapp sirius passning z4,0:21:07
skott mål z1 motala ,0:22:27
avslag sirius z5,0:22:57
bolltapp duell sirius z7,0:23:51
straff sirius ,0:24:12
skott räddning motala z8,0:24:41
inkast motala ,0:24:44
frislag motala z3,0:25:30
skott utanför motala z3,0:25:59
inkast sirius z2,0:26:04
bolltapp sirius z8 passning ,0:26:26
inslag motala z3,0:26:46
bolltapp motala passning z9,0:27:23
mål sirius z8,0:27:34
avslag motala,0:28:25
bolltapp motala z2,0:28:33
bolltapp sirius z8,0:28:57
inkast motala ,0:28:59
bolltapp motala z2,0:29:24
bolltapp sirius duell z4,0:29:34
frislag sirius z2,0:29:43
bolltapp sirius passning z4,0:29:57
bolltapp otala duell,0:30:11
friläge sirius z8,0:30:20
skott sirius räddning ,0:30:23
utkast motala ,0:30:27
bolltapp motala z9,0:30:31
bolltapp sirius passning z8,0:30:54
skott utanför sirius z3,0:31:58
inkast sirius ,0:32:01
hörna sirius z9,0:32:49
skott sirius z,0:33:24
inkjast motala z8,0:33:27
bolltapp motala z3,0:33:49
hörna motala z1,0:34:45
skott block motala z2,0:35:09
timeout motala ,0:35:12
inkast sirius z2,0:36:56
inslag motala z3,0:37:17
utkast sirius z2,0:37:59
bolltapp duell sirius z6,0:38:23
hörna motala z3,0:38:39
skott block motala z2,0:39:18
skott utanför motala z2,0:39:22
utkast sirius z2,0:39:25
skott utanför sirius z8u ,0:39:48
utkast motala ,0:40:21
biolltapp motala z2 duell ,0:40:26
skott räddning sirius 8,0:40:33
utkast motala,0:40:37
hörna motala z3,0:40:52
skott räddning motala z2,0:41:27
inkast sirius ,0:41:52
inslag motala z3,0:42:18
skott block motala z3,0:42:33
hörna motala z3,0:42:37
skott räddning motala z2,0:43:03
inkast sirius z2,0:43:10
bolltapp sirius passning z4,0:43:26
bolltapp motala passning z4,0:43:38
frislag motala z5,0:43:48
skott räddning motala z2,0:44:13
utkast sirius z2,0:44:16
frislag sirius z6,0:44:24
bolltapp sirius duell z2,0:44:44
sjott utanflr motala z2,0:44:49
utkast sirius ,0:44:57
bolltapp sirius duell ,0:45:20
hörna motala z1,0:45:24
bolltapp motala passbig z2,0:46:02
stop ,0:46:34
stop,0:46:38
