event,time
avslag vänersborg z5,0:00:00
offside vänersborg,0:00:43
boll sirius z8,0:00:47
utkast vänersborg z3,0:01:58
skott utanför väbersborg z8,0:02:39
skottyp utifrån vänersbrorg z8,0:02:44
utkast sirius z8,0:02:47
närkamp sirius z6,0:03:06
närkamp siriius z4,0:03:17
frislag sirius z4,0:03:25
närkamp vänersborg z5,0:03:41
mål vänersborg lång z8,0:03:52
skottyp utifrån vänersborg z8,0:04:00
avslag sirius z5,0:04:16
frislag sirius z4,0:04:35
skott töckt siirus z2,0:04:57
skottyp urifrån sirius z2,0:05:02
skott täckt sirius z2,0:05:06
skottyp utifrån sirius z2,0:05:10
hörna sirius z1,0:05:13
skott sirius z2 täckt ,0:05:34
utkast vänersborg z3,0:05:42
utkast sirius z9,0:06:05
passning strafforåde siirus z2,0:06:54
boll sirius z3,0:06:59
utkast vänersborg z1,0:07:37
närkamp vänersborg z2,0:07:44
utkast sirius z8,0:08:09
närkamp sirius z5,0:08:24
passning lång sirius z2,0:08:50
utkast änersborg z3,0:08:54
närkamp sirius z5,0:09:24
del,0:09:29
brytning sirius z5,0:09:32
närkamp sirius z5,0:09:42
utkast vänersborg z2,0:09:50
frislag vänersborg z9,0:10:22
passning straffområpde vänersborg z8,0:10:39
skott täckt vänersborg z8,0:10:45
skottyp inlägg z8 vänersborg,0:10:52
hörna vänersborg z7,0:10:56
skott vänersborg z8 utanför,0:11:14
utkast sirius z9,0:11:18
närkamp vänersbrog z6,0:12:13
frislag vänersborg z6,0:12:18
närkamp vänersborg z4,0:12:36
brytning siirus z8,0:13:44
boll änersborg z8,0:13:51
passning straffområde vänersborg z8,0:14:05
boll vänersborg,0:14:08
inkast sirius z8,0:14:39
närkamp sirius z5,0:14:58
bolltapp passförösk sirius z2,0:15:25
utkast vönersborg,0:15:27
nrkamp sirius z8,0:15:36
skott sirius täckt ,0:15:45
skottyp utifrån sirius ,0:15:49
närkam vänersborg,0:15:55
skott vänserbrog räddning ,0:16:04
skottyp utifrån vänersborg,0:16:12
närkamp vänersborg,0:16:20
utkast sirius z8,0:16:30
passning straffområde sirius z8,0:17:01
del,0:17:05
passning straffområde sirius z2,0:17:06
bikk sirius ,0:17:12
del,0:17:16
boll sirius z3,0:17:18
skott täckt sirius z2,0:17:40
skottyp utifrån sirius z2,0:17:45
hörna sirius z3,0:17:47
skott sirius z2 täckt ,0:18:10
utkast vänersborg z3,0:18:23
del,0:18:28
skottyp sirius fast z2,0:18:34
utkast vänersborg z2,0:18:38
utkast sirius z9,0:18:52
inslag sirius z4,0:19:12
närkamp sirius z5,0:19:53
närkamp sirius z5,0:21:07
passning straffomrpde srus z2,0:21:16
närkamp sirisu z1,0:21:27
frislag vänersborg z1,0:21:30
närkamp sirisu z4,0:22:01
närkamp vänersborg z5,0:22:07
frislag vänersborg z8,0:22:55
boll sirius z8,0:23:25
närkamp vänersbrog z2,0:23:36
mål vänersborg lång z8,0:23:54
skottyp utifrån vänersborg z8,0:24:00
avslag sirius z5,0:24:11
brytning vänersborg z5,0:24:33
närkamp vänersborg z4,0:24:37
passning lång vänersborg z8,0:24:53
utkast sirius z8,0:24:57
närkamp vänersborg z5,0:25:07
närkamp sirius z9,0:25:28
närkamp vänersborg z9,0:25:35
passning straomffråde vänersborg z8,0:26:13
utkast sirius ,0:26:15
närkamp sirius z5,0:26:19
passning straffområde sisirus z2,0:26:40
hörna sirius z1,0:26:43
mål sirius z8 fast,0:27:17
skottyp fast sirius z2,0:27:20
avslag vänersborg z,0:27:46
näkamp sirius z5,0:28:10
frislag sirius z2,0:28:21
passning staffområde sirius z2,0:28:42
utkast vänersborg z3,0:28:47
närkamp vänersborg z9,0:29:35
brytning sirius ,0:30:16
inslag sirius ,0:30:26
offside sirius z8,0:30:34
boll vänersborg z2,0:30:40
brytning sirius z6,0:31:16
skott räddning sirius z2,0:31:32
skottyp centralt sirius z2,0:31:38
rensning vänersborg z8,0:31:47
boll sirius z8,0:31:50
bolltapp passförösök sirisu z4,0:32:17
skott täckt vänersborg z2,0:32:27
skottyp vänersborg utifrån z2,0:32:33
boll sirius z2,0:32:39
närkamp sirius z3,0:33:08
närkamp sirius z5,0:33:33
bolltapp passförösk sirius z1,0:33:45
utkast vänersborg z2,0:33:48
brytning sirius z7,0:34:09
frislag vänersborg z3,0:34:51
utkast sirius z7,0:35:22
passning lång sirius z2,0:36:09
utkast vänersborg z2,0:36:15
närkamp sirius z5,0:36:41
inslag vänersborg z6,0:36:55
skott utanför vänersborg z5,0:37:30
skottyp utifrån vänersborg z5,0:37:36
utkast sirius z8,0:37:38
frislag sirius z6,0:38:03
hörna sirius z1,0:38:22
skott täckt sirius z2 ,0:38:53
skottyp fast sirius z2,0:38:57
utkast vänersborg z1,0:39:00
närkamp sirius z5,0:39:10
närkamp vänersborg z5,0:39:32
inslag vänersborg z6,0:39:41
närkamp vänersborg z5,0:40:07
offside vänersborg z5,0:40:18
boll sirius z8,0:40:24
frislag sirius z2,0:40:45
skott räddning sirius z2,0:41:10
skottyp utifrån sirius z2,0:41:16
närkamp sorius z7,0:41:39
närkamp sirius z5,0:41:44
närkamp vänersborg z2,0:42:00
närkamp sirisu z5,0:42:20
frislag sirius z2,0:42:26
boll sirius z5,0:43:02
passning straffområde sirius z2,0:43:34
boll vänersborg z2,0:43:39
närkamp vänersborg z5,0:43:54
passning friställande vänersborg z8,0:44:34
friläge vänersborg z8,0:44:50
mål straffområde vänersborg z8,0:45:02
skottyp friställande vänersborg z8,0:45:08
stop,0:45:16
