event,time
avslag sirius z5,0:00:00
passning lång sriius z8,0:01:15
utkast villa z9,0:01:20
passnign straffområde villa z2,0:02:09
skott utanför villa z2,0:02:12
skottyp centralt villa z2,0:02:15
uktast siirus ,0:02:18
närkamp villa z5,0:02:21
närkamp villa z3,0:02:35
närkam sirius z,0:02:39
del,0:02:40
närkamp sirius z3,0:02:43
skott räddning sirius z8,0:02:53
skottyp utifrån sirius z8,0:02:58
offside sirius z8,0:03:05
utkast villa z9,0:03:09
bolltapp passförsök villa z2,0:03:22
utkast siirus ,0:03:23
passning lång sirius z8,0:04:05
utkast villa z9,0:04:09
hörna villa z3,0:04:27
villa z2 skott täckt ,0:05:01
skottyp villa z2 fast,0:05:07
rensning sriius ,0:05:13
närkamp villa z6,0:05:56
närkamp sirius z2,0:06:08
närkamp villa z5,0:06:15
närkamp villa z2,0:06:24
skott täckt villa z2,0:06:27
skottyp utifrån villa z2,0:06:35
rensning sirius ,0:06:37
närkamp sirius z1,0:06:55
frislag sirius z1,0:06:57
frislag sirius z4,0:07:19
skott räddning sirius z8,0:07:49
skottyp utifrån sirius z8,0:07:54
inslag siirus z9,0:08:02
närkamp sirius z5,0:08:21
bolltapp passförösk sirius z6,0:08:30
skott utanför villa z2,0:08:43
skottyp utifrån villa z2,0:08:47
utkast isirus z2,0:08:49
närkamp sirisu z6,0:09:19
n,0:09:23
del,0:09:24
närkamp villa z6,0:09:28
skott räddning villa z2,0:10:09
skottyp centralt villa z2,0:10:13
utkast sirius ,0:10:15
utkast villa z7,0:10:33
närkamp sirius z2,0:12:15
rensning sirius z2,0:12:21
skott räddning sirius z2,0:13:10
del,0:13:11
skott räddning vulla z2,0:13:15
skottyp villa z2 cenltralt ,0:13:21
skott täckt villa z2,0:13:26
skottyp retur villa z2,0:13:29
rensning sirius ,0:13:33
n,0:13:57
del,0:13:58
närkamp irius z2,0:14:00
bolltapp tapp sirius z6,0:14:30
brytning isrius z2,0:14:40
skott täckt sririus z8,0:14:58
skottyp utifrån sirius z8,0:15:03
skott utanför sirius z2,0:15:06
skottyp retur sirisu z2,0:15:09
utkast villa z9,0:15:12
bolltapp passförösk villa z3,0:15:31
utkast sirius z2,0:15:35
närkamp sirius z5,0:15:47
passning straffområde sirius z8,0:16:06
skott utanför sirius z8,0:16:10
skottyp inlägg sirius z8,0:16:15
utkast villa ,0:16:18
brytning sriius z5,0:16:58
närkamp villa z6,0:17:02
skott räddning villa z3,0:17:13
skottyp utifrån villa z4,0:17:17
hörna villa z1,0:17:23
villa z2 täckt skott,0:17:44
skottyp fast villa z2,0:17:47
boll villa,0:17:50
närkamp villa z5,0:18:03
närkamp sirius z5,0:19:05
närkamp villa z6,0:19:18
närkamp villa z4,0:19:31
passning lång villa z2,0:20:24
brytning sirius z2,0:20:28
närkamp villa z8,0:20:40
närkamp sriius z6,0:20:43
närkamp sirius z5,0:21:02
bolltapp passförösk sirius z6,0:22:26
närkamp sirius z2,0:23:19
utkast sirius z2,0:23:24
passning lng sirius z8,0:23:30
offside sirius ,0:23:32
boll villa ,0:23:34
bolltapp passförösk villa z1,0:24:11
inslag sirius z1,0:24:14
närkamp villa z8,0:24:45
utvisning sirius 10,0:24:55
frislag villa z5,0:25:21
närkamp sirius z2,0:25:58
närkamp villa z3,0:26:07
skott täckt villa z2,0:26:17
skottyp utifrån villa z2,0:26:21
boll villa ,0:26:26
skott räddning villa z2,0:26:48
skottyp utifrån villa z2,0:26:59
utkast sirius ,0:27:01
skott räddning sirius z8,0:27:13
skottyp utifrån sirius z8,0:27:18
boll villa,0:27:20
passning straffområde villa z2,0:27:37
skott räddning villa z2,0:27:41
skottyp inkägg villa z2,0:27:45
boll sirius ,0:28:05
närkamp sirius z6,0:28:10
frislag sirius z4,0:28:22
brytning villa z5,0:28:44
hörna villa z3,0:29:06
villa z2 täckt skott,0:29:39
skottyp fast villa z2,0:29:43
skott utanför villa z2,0:29:48
