event,time
avslag edsbyn z5,0:00:00
skott räddning edsbyn z8,0:00:14
skottyp utifrån edsbyn z8,0:00:18
utkast sirius ,0:00:21
passning straffområde sirius z2,0:00:30
utkast edsbyn z1,0:00:32
brytning sirius z8,0:00:47
närkamp sriisuz 7,0:00:53
del,0:00:56
närkamp sriisu z7,0:01:00
bolltapp sriisu tappad z4,0:01:04
närkamp sriisu z6,0:01:11
närkamp edsbyn z3,0:01:18
passning lång edsbyn z8,0:01:27
rensning sirius ,0:01:33
skott täckt edsbyn z8,0:01:39
skottyp utifrånn edsbyn z8,0:01:50
inslag edsbyn z9,0:01:52
passning straffområde edsbyn z8,0:01:59
utkast sirius ,0:02:00
passning straffområde sirius z2,0:02:26
närkamp sriisu z2,0:02:29
skott täckt sirisu z2,0:02:34
skottyp utifrån sirius z2,0:02:37
boll edsbyn z3,0:02:49
inslag edsbyn z4,0:02:56
utkast sirius z9,0:03:22
brytning edsbyn z3,0:03:34
mål straffområde edsbyn z8,0:03:48
skottyp dribbling edsbyn z8,0:03:53
avslag sirius z5,0:04:17
närkamp sirisu z6,0:05:00
närkamp edsbyn z6,0:05:05
nrkamp sriius z5,0:05:17
skott räddning sirius z2,0:05:32
skottyp utifrån sirius z2,0:05:36
skott räddning sirius z2,0:05:41
skottyp retur sirius z2,0:05:44
utkast edsbyn ,0:05:47
utkast sirius z9,0:05:52
passning lång sirius ,0:06:08
boll edsbyn ,0:06:11
brytning siriius z8,0:06:30
närkamp edsbyn z5,0:06:33
passning straffområde edsbyn z8,0:06:41
närkamp sirius z8,0:06:44
rensning sirius ,0:06:48
inkast sirius z7,0:07:00
passning straffområde sirius z2,0:07:17
utkast edsbyn ,0:07:20
passning straffområde edsbyn z8,0:07:33
utkast sirius z7,0:07:35
hörna sirius z1,0:07:48
sirius z2 skott utanför,0:08:19
skottyp sirius z2 fast ,0:08:25
utkast edsbyn,0:08:27
närkamp sirius z1,0:08:33
inslag sirius z1,0:08:35
del,0:08:46
insalg edsbyn z1,0:08:48
utkast edsbyn z3,0:09:15
närkamp edsbyn z5,0:09:25
brytning sirius z4,0:10:00
bolltapp passförsök sirius z2,0:10:13
utkast edsbyn,0:10:15
passning lång edsbyn z8,0:10:22
brytning sirius z8,0:10:28
brytnign edsnyb z6,0:10:44
utkast sirius z6,0:11:02
närkamp edsbyn z6,0:11:05
närkamp sirius z8,0:11:10
bolltapp passförsök sirius z3,0:11:38
boll edsbyn,0:11:41
skott räddning edsbyn z8,0:11:56
skottyp dribbling edsbyn z8,0:12:00
hörna edsbyn z9,0:12:07
edsbyn z8 utanför skott,0:12:24
edsbyn z8 skottyp fast ,0:12:32
utkast sirius ,0:12:34
närkamp edsbyn z4,0:12:41
närkamp sirisu z7,0:12:54
