event,time
avslag vsk,0:00:00
passning straffområde z8,0:00:23
del,0:00:25
passning straffområde z8 vsk,0:00:26
utkast sirius ,0:00:28
brytning vsk z4,0:00:47
närkamp sirius z6,0:00:53
närkamp vsk z6,0:01:05
närkamp sirius z8,0:01:14
närkamp vsk z1,0:01:26
frislag vsk z7,0:01:42
passning lång vsk z8,0:02:25
rensning sirius ,0:02:33
boll vsk,0:02:39
utkast vsk ,0:02:43
närkamp sirius z8,0:03:03
närkamp vsk z6,0:03:06
närkamp sirius z9,0:03:12
skott utanför sirius z2,0:03:27
skottyp utifrån sirius z2,0:03:31
utkast vsk ,0:03:34
frislag vsk 5,0:03:45
närkjap sirius z4,0:04:08
närkamp vsk z6,0:04:51
närkamp sirius z4,0:05:03
frislag srius z5,0:05:05
utkast vsk z1,0:05:36
frislag vsk z7,0:05:58
skott räddnign vsk z8,0:06:10
skottyp utifrån vsk z8,0:06:13
hörna vsk z7,0:06:15
vsk z8 skott räddning,0:06:39
vsk skottyp fast z8,0:06:46
hörna vsk z9,0:06:53
vsk z8 skitt täckt ,0:07:19
skottyp fast vsk z8,0:07:22
rensing sirius ,0:07:27
närkamp sirisu z,0:07:37
del,0:07:43
närkamp sirisu z3,0:07:44
märkamp vsk z2,0:07:48
närkamp sirius z7,0:07:57
rensning sirius ,0:08:13
inslag vsk z7,0:08:19
närkamp sirius z8,0:08:27
närkamp vsk z5,0:08:38
närkamp sirius z5,0:09:07
närkamp vsk z3,0:09:12
hörna sirisu z3,0:09:15
brytning vsk z2,0:09:52
närkamp sirius z2,0:09:57
passning straffområde sirius z2,0:10:15
utkast vsk z2,0:10:17
hörna vsk z9,0:10:36
skott utanför vsk z8,0:11:03
skottyp vsk z8 fast,0:11:06
utkast sirius ,0:11:08
närkamp sirius z9,0:11:39
närkamp vsk z4,0:11:58
närkamp sirisu z8,0:12:12
närkamp vsk z8,0:12:30
skott räddning vsk z8,0:12:36
skottyp utifrån vsk z8,0:12:39
hörna vsk z7,0:12:43
mål fast vsk z8,0:13:00
skottyp fast vsk z8,0:13:06
avslag sirius ,0:13:27
närkamp sirius z5,0:13:46
närkamp vsk z1,0:13:54
frislag vsk z4,0:13:57
utkast sirius ,0:14:42
hörna sirius z1,0:15:09
sirius z2 skott räddning ,0:15:40
skottyp fast sirius z2,0:15:43
utkast vsk ,0:15:46
stop,0:15:59
