event,time
avslag sirius z8,0:00:00
hörna sirius z1,0:00:54
sirius z2 skott täckt,0:01:18
skottyp fast sirius z2,0:01:24
utkast gripen z1,0:01:28
närkamp gripen z2,0:01:35
närkamp sirius z1,0:01:39
skott utanför sirius z2,0:01:49
skottyp utifrån sirius z2,0:01:54
utkast gripen,0:01:56
passning lång gripen ,0:02:00
brytning siirus z6,0:02:06
brytning gripen z2,0:02:15
närkamp sirius z7,0:02:30
40 sirius z8,0:02:59
närkamp sirius z1,0:03:40
nrkamp gripen z1,0:03:45
boll sirius z8,0:04:00
bolltapp passförsök sirius z2,0:04:16
utkast gripen,0:04:18
närkamp z7 sirius ,0:04:34
närkamp sirius z2,0:05:17
frislag sirius z2,0:05:19
49 sirius ,0:05:40
närkamp gripen z4,0:05:47
närkamp sirius z7,0:05:57
brytnig gripen z5,0:06:04
skott räddning gripen z5,0:06:12
skottyp utifrån gripen z5,0:06:16
hörna gripen z9,0:06:19
griåen z8 täckt skott,0:06:37
skottyp fast gripen z8,0:06:41
noll gripen ,0:06:46
rensning gripen,0:07:00
närkamp gripen z5,0:07:04
skott räddning griåen z8,0:07:13
skottyp utifrån griåen z8,0:07:17
utkast sirius ,0:07:19
skott räddning gripen z2,0:07:46
skottyp dribbling gripen z2,0:07:50
hörna sirius z3,0:07:59
sirius z2 skott utanför,0:08:12
skottyp fast siirus z2,0:08:16
utkast gripen ,0:08:17
hörna gripen z7,0:08:43
gripen z8 skott täckt,0:09:04
skottyp fast gripen z8,0:09:08
utkast sirius ,0:09:12
näkamp gripen z4,0:09:29
närkamp sriisu z5,0:09:32
närkamp gripen z4,0:09:36
skott räddning gripen z8,0:09:49
skottyp dribbling gripen z8,0:09:54
utkast sirius ,0:09:56
närkamp gripen z5,0:10:02
närkamp sirius z6,0:10:13
inslag sirius z6,0:10:20
passning lång siius z2,0:10:32
närkamp gripen z2,0:10:41
närkamp sirius z4,0:10:47
närkamp sirius z4,0:10:53
inslag sriius z1,0:11:02
passning lång siruus z2,0:11:28
utkast gripen ,0:11:33
närkamp sirius z1,0:11:45
utkast ggripen ,0:11:48
skott grippen utanför z8,0:12:04
skottyp utifrån gripen z8,0:12:08
hörna gripen z9,0:12:13
gripen z8 mål ,0:12:27
skottyp fast gripen z8,0:12:46
avslag siirus ,0:12:59
närkamp gripen z6,0:13:14
närkamp sirius z6,0:13:22
utvisning gripen z1,0:13:49
frislag sirius z1,0:15:01
utkast gripen z3,0:15:07
närkamp sirius z6,0:15:20
skott utanför sirius z2,0:15:30
skottyp utifrån sirius z2,0:15:35
utkast gripen ,0:15:37
nätkamp sirius z6,0:15:39
skott utanför sirius z2,0:15:47
skottyp ventralt sirius z2,0:15:57
utkast gripen ,0:15:58
inslag sirius z,0:16:07
brytning griåen z3,0:16:32
närkamp sirius z6,0:16:36
närkamp gripen z5,0:16:54
frislag gripen z4,0:17:03
utvisning 10 sirius z8,0:17:19
frislag gripen z8 ,0:17:47
närkamp sirius z8,0:17:54
passning straffområde sirius z2,0:18:15
