event,time
avslag sirius z8,0:00:00
passning lång sirius z2,0:00:12
närkam sirisu z2,0:00:14
utkast saik ,0:00:18
insalg siirus z6,0:01:41
passning lång sirius z2,0:01:55
närkamp saik z2,0:02:01
frislag saik z6,0:02:07
frisalg saik z9,0:02:34
hörna saik z9,0:02:43
saik z8 skott täckt,0:03:08
skottyp fast saik z8,0:03:12
utkast siirus z7,0:03:15
passning lång sirius z2,0:03:31
utkast saik ,0:03:32
brytning sirius z8,0:04:37
närkamp saik z5,0:04:43
närkamp sirius z8,0:04:49
närkamp saik z2,0:05:02
närkamp sirius z4,0:05:09
närkamp saikg z5,0:05:28
mål saik lång z8,0:05:41
skottyp utifrån saik z8,0:05:45
avslag sirius ,0:06:08
passning farlig sirisu z2,0:06:31
skott räddning riisu z2,0:06:34
skottyp centralt sirius z2,0:06:37
boll saik ,0:06:40
närkamp saik z6,0:07:00
insalg saik z9,0:07:22
närkamp sirius z8,0:08:00
närkamp saik z4,0:08:07
hörna saik z7,0:08:14
saik z8 skott räddning,0:08:46
skottyp fast saik z8,0:08:50
utkast sirius z7,0:08:53
passning straffområe siirus z2,0:09:14
närkam sirius z4,0:09:19
närkamp saik z4,0:09:26
närkamp sirius z6,0:09:42
poassning straffområde siirus z2,0:09:51
utkast saik ,0:09:53
passning straffområde saik z8,0:10:38
skott räddning saik z8,0:10:42
skottyp inlägg saik z8,0:10:46
boll sirius ,0:10:49
skott utanför sirius z2,0:11:01
skottyp utifrån z2 sirisu ,0:11:06
utkast saik ,0:11:08
närkamp sirius z8,0:11:23
hörna sirius z3,0:12:03
sirius z2 skott täckt,0:12:29
skottyp fast sirius z2,0:12:34
boll sirius ,0:12:36
frislag sirius z3,0:13:01
närkamp saik z6,0:13:34
närkamp sirius z7,0:13:51
frislag sirius z2,0:14:27
närkamp sirisu z1,0:14:45
frislag sirius z1,0:15:01
utkast saik ,0:15:18
närkamp saik z4,0:15:37
frislag saik z4,0:15:47
skott räddnign saik z,0:16:14
skottyp dribblign saik z8,0:16:23
boll saik ,0:16:27
närkamp sirius z8,0:16:51
utkast sirius ,0:16:55
passning straffområde siirus z2,0:17:21
frislag sirius z2,0:17:35
hörna sirius z1,0:17:49
skott täckt siirus z2,0:18:18
skottyp fast sirius z2,0:18:21
mål straffområde sirus z2,0:18:26
skottyp retur sirius z2,0:18:31
avslag saik ,0:18:41
passning straffområde saik z8,0:19:06
skott utanför saik z8,0:19:10
skottyp fristllande saik z8,0:19:17
utkast siirus ,0:19:19
noll saik ,0:19:25
skitt räddning saik z8,0:19:45
skottyp centralt saik z8,0:19:49
utkast siirus ,0:19:51
utkast saik z3,0:20:14
utkast siirus z7,0:20:34
insalg sirius z6,0:20:59
skott räddning sirius z2,0:21:18
skottyp utifrån sirius z2,0:21:22
hörna sirius z3,0:21:27
del,0:21:33
hörna sirius z1,0:21:35
skott sirius utanför z2,0:21:43
skottyp fast sirius z2,0:21:49
utkast saik ,0:21:51
passning lång saik z8,0:22:11
skott räddning saik z8,0:22:15
skottyp centralt saik z8,0:22:22
utkast sirius z,0:22:24
närkamp sirius z1,0:22:45
frislag sirius z1,0:22:48
brytning saik z2,0:24:06
frislag saik z6,0:24:13
närkamp saik z5,0:25:13
del,0:25:20
frislag sirius z5,0:25:23
utkast saik,0:25:30
närkamp sirius z9,0:25:55
närkamp saik z6,0:26:04
närkamp sirius z5,0:26:19
närkamp saik z4,0:26:25
frislag siak z4,0:26:29
nrkamp saik z5,0:27:30
passning lång saik z5,0:27:46
brutning siiug z5,0:27:51
närkamp siirus z5,0:28:29
frislag sirius z2,0:28:39
närkamp sirius z1,0:29:03
frislag siirus z1,0:29:06
frislag saik z5,0:29:38
timeout siirus,0:30:35
frislag saik z6,0:32:08
passning lång saik ,0:32:20
närkamp sirius z8,0:32:23
bolltapp passförösk sirius ,0:32:37
nårkamp sirius z6,0:32:44
frislag sirius z6,0:32:49
brytning saik z2,0:33:29
boll sirius ,0:33:34
el,0:33:41
bolltapp saik passförösk,0:33:49
närkamp saik z3,0:34:00
passning lång saik ,0:34:36
insalg saik z,0:34:44
skott utanför saik z8,0:35:03
skottyp utifrån saik z8,0:35:06
utkast siirus ,0:35:08
utkast saik ,0:35:27
närkamp sirius z5,0:35:40
brytning saik z2,0:35:50
passning straffområde sirius z2,0:36:12
passning strafforimee sirius z2,0:36:18
närkamp saik z2,0:36:21
straff saik z8,0:36:28
utvisning 10 sirus ,0:36:55
mål fast saik z8,0:37:12
skottyp fast saik z8,0:37:17
avslag sirius ,0:37:40
närkamp sirius z6,0:38:04
närkamp saik z2,0:38:23
passning straffomrpde saik z8,0:38:36
boll sirisu ,0:38:38
40 sirius ,0:39:25
närkamp saik z3,0:39:43
närkamp saik z6,0:39:55
närkamp sirius z6,0:40:25
brytnign saik z2,0:40:33
brytning sirius z8,0:40:51
40 sirius ,0:41:13
närkamp saik z3,0:41:29
skott räddning saik z8,0:41:50
skottyp centralt saik z8,0:41:55
skott täckt saik z8,0:41:59
skottyp retur saik z8,0:42:03
boll sirius ,0:42:05
brytning saik z3,0:42:21
frislag saik z6,0:42:31
skott räddnign saik z8,0:42:56
skottyp utifrån saik z8,0:43:02
hörna saik z9,0:43:05
skott saik z8 utanför,0:43:17
skottyp fast saik z8,0:43:20
utkast sirius z7,0:43:29
oassining straffomrpde sirius z2,0:43:46
utkast saik z1,0:43:48
passning lång saik z9,0:43:57
boll sirius ,0:44:03
passning straffområde sirius z2,0:44:17
närkamp sirius z1,0:44:25
frislag sirius z,0:44:32
del,0:44:35
frislag sirius z1,0:44:37
