event,time
avslag saik z5,0:00:00
näkamp sirius z1,0:00:22
40 sirius,0:00:34
40 sirius ,0:00:48
passning lång sirius z6,0:00:54
utkast saik ,0:01:08
bolltapp tappad saik z4,0:01:38
hörna sirius z9,0:01:50
sirius z8 skott utanflr,0:02:21
skottyp fast sirius z8,0:02:25
utkast saik ,0:02:27
närkmap z6 saik,0:02:45
hörna saik z1,0:03:14
saik z2 skott utanför,0:03:44
skottyp fast saik z2,0:03:46
utkast siirus z3,0:03:49
poassning lång siirus z8,0:04:04
nörkamp sirius z8,0:04:08
närkamp saik z8,0:04:15
hörna saik z1,0:04:32
saik z2 mål fast,0:04:56
skottyp fast saik z,0:05:00
avslag sirius ,0:05:22
passning lång sirius z8,0:05:57
närkamp siriius z6,0:06:00
brytning saik z5,0:06:17
opassning straffromdåee saik z2,0:06:35
utkast sirius z1,0:06:37
skott utanför siirus z8,0:07:03
skottyp utifrån sirisu z8,0:07:06
utkast saik ,0:07:08
närkamp sirius z2,0:07:17
utkast saik ,0:07:31
oassning straffområde saik z2,0:08:01
närksamp saik z2,0:08:04
skott räddning saik ,0:08:09
skottyp inlägg saik z2,0:08:19
boll sriius ,0:08:22
brytning saik z8,0:09:05
hörna saik z1,0:09:20
saik z2 skott utanför,0:09:49
skottyp fast saik z2,0:09:52
utkast sirius z1,0:09:54
frislag sirius z9,0:10:23
skott täckt sirius z9,0:10:49
skottyp utifrån z9 sirius ,0:10:55
hörna sirius z9,0:11:01
sirius z8 skott täckt,0:11:20
skottyp fast siirus z8,0:11:25
skott räddning sirius z8,0:11:28
skottyp retur sirius z8,0:11:31
utkast saik ,0:11:33
utkast sirius z3,0:11:40
nrkamp sirius z5,0:11:49
närkamp saik z9,0:11:59
närkamp sirius z6,0:12:05
närkamp saik z8,0:12:33
brytning isrius z5,0:12:42
passning farlig sirisu z8,0:13:34
utkast saik z7,0:13:45
närkamp saik z5,0:14:13
utkast sirius z1,0:14:32
frislag sirius z6,0:14:52
närkamp saik z8,0:15:31
utvisning sirius 10,0:15:37
frislag saik ,0:16:03
skott räddnign saik z2,0:16:16
skottyp utifrån saik z2,0:16:19
utkast sirius z3,0:16:25
40 sirius ,0:16:59
utkast saik z9,0:17:14
utkast siirus z3,0:17:51
40 sirius ,0:18:10
närkamp sirius z5,0:18:39
skott itanför sirius z8,0:19:13
skottyp utifrån sriisu z8,0:19:18
utkast saik ,0:19:19
passning lång saik ,0:19:25
utkast sirius z2,0:19:28
hörna sirius z7,0:19:49
sirius z8 skott räddning ,0:20:22
skottyp fast sirius z8,0:20:26
utkast saik ,0:20:28
boll sriuis,0:20:41
närkamp saik z6,0:20:45
närkamp sirius z6,0:20:48
nörkamp saik z8,0:21:24
närkamp sirius z7,0:21:30
utkast saik ,0:21:40
hörna saik z1,0:21:59
saik z2 mål fast,0:22:27
skottyp fast saik z2,0:22:31
avslag sirius ,0:22:53
40 sirius ,0:23:11
utkast saik z9,0:23:31
passnign strafformdåe saik z2,0:23:48
närkamp sisirus z2,0:23:52
rensning sirius ,0:23:55
närkamp sirius z3,0:24:10
boll saik ,0:24:26
hörna saik z1,0:24:50
saik z2 mål fast,0:25:22
skottyp fast saik z2,0:25:29
avslag sirius ,0:25:46
brytning saik z4,0:26:03
skott räddning saik z2,0:26:27
skottyp centralt saik z2,0:26:32
hörna saik z3,0:26:34
saik z2 skott utanför,0:26:56
skottyp fast saik z2,0:26:59
utkast siirus z3,0:27:01
närkamp saik z3,0:27:58
insalg saik z3,0:28:01
frislag saik z2,0:28:35
timeout,0:28:45
boll saik ,0:28:51
bolltapp passförösk saik z2,0:28:59
mål sirius z2,0:29:05
skottyp sirius z2 centralt ,0:29:14
avslag saik ,0:29:47
skott utanför saik z2,0:30:09
skottyp centralt saik z2,0:30:14
utkast sirius ,0:30:16
40 sirius ,0:30:40
närkamp sirius z7,0:31:01
utkast saik ,0:31:03
brytning sirius z2,0:31:35
närkamp saik z7,0:31:54
skott täckt saik z2,0:32:12
skottyp utifrån saik z2,0:32:17
boll sirisu ,0:32:19
hörna sirius z9,0:32:40
sirius z8 skott utnaöfr,0:33:13
skottyp fast sirius z8,0:33:17
utkast saik ,0:33:19
nörkamp sirius z2,0:33:35
bolltapp passföröslk sirius z4,0:33:52
närkamp sirius z6,0:34:00
skott utanför sirius z8,0:34:11
skottyp utfrån sirius z8,0:34:16
utkast saik ,0:34:19
skott utanför saik z2,0:34:44
skottyp dribbling saik z2,0:34:49
utkast sirirus z1,0:34:53
40 sirisu ,0:35:21
närkamp saik z5,0:35:46
brutning sirius z2,0:35:56
närkamp saik z7,0:36:09
närkqmp sirius z5,0:37:19
oassnign straffomrpde sirius z8,0:37:37
utkast saik ,0:37:40
skott räddnign saik z2,0:38:00
skottyp centralt saik z2,0:38:05
mål saik z2 straffområde ,0:38:13
skottyp retur saik z2,0:38:18
avslag sirius ,0:38:31
40 sirius ,0:39:03
40 sirius ,0:39:36
brytning saik z8,0:40:02
timeout,0:40:21
boll saik,0:42:05
brytning sirius z2,0:42:35
närkamp saik z4,0:42:48
oassning lpng saik ,0:42:54
närkamp sirisus z4,0:42:57
passning lång sirsu ,0:43:15
närkamp saik z8,0:43:21
passning lång saik ,0:43:31
utkast siris ,0:43:32
passning lång sirisu ,0:43:48
närlamp skirus z8,0:43:53
skott utanflr sirius z8,0:43:58
skottyp centralt sirisu z8,0:44:01
offside sirisu ,0:44:03
boll saik,0:44:05
offside saik ,0:44:53
boll sirius,0:44:59
närkamp sirius z4,0:45:09
skott täckt sirius z8,0:45:19
skottyp utifrån sirisu ,0:45:25
hörna sirius z7,0:45:28
skott utanför sirius z8,0:45:48
skottyp fast siirus z8,0:45:52
utkast saik ,0:45:55
utkast sirius ,0:46:01
stop,0:46:04
