event,time
avslag iks ,0:00:00
utkast hif,0:00:15
skott täckt hif z2,0:00:43
skottyp utifrån hif z2,0:00:48
hörna hif z1,0:00:53
hif z2 skott utanför ,0:01:03
skottyp fast hif z2,0:01:07
utkast iks z1,0:01:11
passning ö¨mg iks z8,0:01:23
uktast hif z6,0:01:31
närkamp hif z6,0:02:38
närkamp iks z7,0:02:48
passning straffområde iks z8,0:03:26
skott utanför iks z8,0:03:33
skottyp inlägg iks z8,0:03:37
utkast hif ,0:03:41
brytning iks z6,0:04:11
40 iks,0:04:42
passning straffområde iks z8,0:05:16
skott utanflr iks z8,0:05:19
skottyp inlägg iks z2,0:05:22
utkast hif ,0:05:30
oassning straffomrdeå hif z2,0:06:19
skott utanför hif z2,0:06:24
skottyp inlägg hif z2,0:06:30
utkast iks ,0:06:33
närkamp hif z6,0:06:36
skott täckt hif z2,0:07:04
skottyp hif centlrat ,0:07:08
boll iks ,0:07:11
närkamp hif z8,0:07:16
närkamp iks z6,0:07:21
närkamp hif z5,0:07:44
närkamp iks z1,0:07:56
bolltapp passföröks ikz 5,0:08:17
del,0:08:20
bolltapp passföröks ik z5,0:08:22
närkamp iks z5,0:08:27
40 iks,0:08:31
passning l¨ng iks ,0:08:37
närkamp hif z7,0:08:45
hörna hif z3,0:09:14
z2 hif mål hörnmål,0:09:46
skottyp fast hif z2,0:09:50
avslag iks ,0:10:13
40 iks,0:10:38
brytning hif z4,0:10:56
närkamp iks z4,0:11:01
närkamp hif z4,0:11:03
närkamp iks z5,0:11:10
passning straffområde iks z8,0:11:22
40 iks,0:11:27
bolltapp tappad iks z7,0:11:44
utkast hif z9,0:11:51
passning ång hig z2,0:11:59
utkast iks z3,0:12:03
40 iks,0:12:42
passning lång iks,0:12:55
brytning hif z7,0:13:03
brynting iks z5,0:13:14
brytning hif z9,0:14:02
frislag hif z6,0:14:06
hörna hif z3,0:14:21
skott täckt z2 hif ,0:14:52
skottyp fast hif z2,0:14:56
n,0:14:58
del,0:15:01
närkamp iks z2,0:15:05
närkamp iks z6,0:15:11
bolltapp passförösk iks z8,0:15:34
utkast hif z7,0:15:37
brynting iks z3,0:15:51
brynting hif z8,0:15:55
närkamp iks z3,0:16:15
40 iks,0:16:32
passning lång iks z8,0:16:39
uktast hif z7,0:16:43
hörna hif z1,0:16:56
hif z2 skott utanför ,0:17:22
skottyp fast hif z2,0:17:25
utkast iks ,0:17:29
passning lång iks z5,0:17:36
närkamp iks z5,0:17:41
frislag hif z5,0:17:46
passning lång hif z2,0:18:58
närkamp iks z2,0:19:00
skott räddning iks z8,0:19:16
skottyp utifrån iks z8,0:19:19
närkamp iks z9,0:19:25
insalg iks z9,0:19:34
närkamp hif z8,0:19:39
passning lång hif ,0:19:46
utkast iks z6,0:19:49
passning iks z8 straffområde ,0:20:18
närkamp iks z8,0:20:20
skott iks z8 täckt,0:20:26
skottyp utifrån iks z87,0:20:30
boll hif,0:20:34
skott täckt hif z2,0:20:50
skottyp utifrån hif z2,0:20:55
hörna hif z3,0:20:58
skott hig täckt z2,0:21:12
skottyp hif fast z2,0:21:18
boll hif,0:21:21
hörna hif z3,0:21:46
hif z2 skott täckt,0:22:15
skottyp fast hif z2,0:22:19
utkast iks ,0:22:25
40 iks,0:22:48
närkamp hif z4,0:22:59
passnign straffområde hif z2,0:23:12
brytning iks z2,0:23:14
n,0:23:15
del,0:23:21
närkamp iks z6,0:23:23
offside iks z8,0:23:29
boll hif,0:23:33
utkast iks z3,0:24:45
skott täckt iks z8,0:25:05
skottyp utifrån iks z8,0:25:09
hörna iks z7,0:25:12
iks z8 skott utanflr,0:25:34
skottyp fast iks z8,0:25:38
utkast hif,0:25:43
brytning iks z6,0:25:56
närkamp hif z5,0:26:00
utvisning 10 iks,0:26:05
frislag hif z5,0:26:40
utkast iks z1,0:26:50
bytning hif z8,0:27:10
skott utanför hif z3,0:27:24
skottyp utifrån hif z3,0:27:30
utkast iks z1,0:27:31
passning lång iks z8,0:27:35
närkamp hif z8,0:27:40
utkast iks z1,0:29:01
närkamp hif z1,0:29:27
närkamp iks z1,0:29:31
frislag iks z4,0:29:44
närkamp hif z5,0:30:15
närkamp iks z5,0:30:17
närkamp hif z6,0:30:26
skott räddning hif z2,0:30:35
skottyp centralt hif z2,0:30:42
utkast iks z3,0:30:48
skott räddning iks z8,0:31:02
skottyp centralt iks z8,0:31:06
hörna iks z9,0:31:11
del,0:31:19
hörna iks z7,0:31:21
iks z8 mål hörnmål ,0:31:34
skottyp fast iks z8,0:31:39
avslag hif,0:32:03
passning lång hif z2,0:32:23
rensning iks ,0:32:27
passning lång hif z2,0:32:36
timeout,0:32:41
del,0:32:48
mål hif z2 spelmål,0:33:02
skottyp utifrån z2 hif,0:33:33
avslag iks ,0:33:35
närkamp hif z6,0:33:53
passning lång hif z2,0:34:06
utkast iks z1,0:34:09
skott täckt iks z8,0:34:32
skottyp utifråån iks z8,0:34:36
boll hif z,0:34:40
offside hif ,0:35:00
utkast iks ,0:35:14
boll hif ,0:35:22
resnsning iks ,0:35:29
inslag hif z4,0:35:32
passning lång gif z2,0:35:42
närkamp iks z2,0:35:44
passning straffomrpde iks z8,0:36:02
utkast hif z8,0:36:06
närkamp iks z6,0:36:27
brytning hif z8,0:36:54
närkamp iks z2,0:37:11
brytning hif z8,0:37:21
närkamp iks z5,0:37:28
skott täckt iks z8,0:37:41
skottyp utifrån iks z8,0:37:45
hörna iks z9,0:37:48
iks z8 skott täckt,0:38:11
skottyp fast iks z8,0:38:15
rensning hif,0:38:18
timeout iks,0:38:22
utkast iks z6,0:39:59
brytnign hif,0:40:08
skott hif z2 täckt,0:40:20
skottyp centrlat hif z2,0:40:24
hörna hif z1,0:40:27
gif z2 skott räddning ,0:40:33
skottyp fast hif z2,0:40:38
utkast iks ,0:40:45
närkamp hif z4,0:40:54
passning lång hif ,0:41:01
närkamp iks z2,0:41:05
närkamp hif z2,0:41:15
skott täckt hif z2,0:41:23
skottyp centrlat hif z2,0:41:29
hörna hif z1,0:41:34
hif mål z2 hörnmål ,0:41:47
skottyp fast hif z2,0:41:54
iks avslag,0:42:00
passning lång iks z8,0:42:13
passnign straffområde iks z8,0:42:27
skott räddning iks z8,0:42:30
skottyp inlägg iks z8,0:42:34
hörna iks z7,0:42:36
iks z8 skott täckt ,0:42:45
skottyp fast iks z8,0:42:48
utkast hif,0:42:51
frislag hif z3,0:43:05
passning straffområde hif z2,0:43:16
närkamp iks ,0:43:19
utkast iks z6,0:43:27
mål iks spelmål z8,0:43:47
skottyp centralt iks z8,0:43:56
avslag hif,0:44:11
passning lång hif,0:44:19
utkast iks z5,0:44:37
passning straffområde iks z,0:44:50
skott räddning iks z8,0:44:58
skottyp inlägg iks z8,0:45:01
utkast hif,0:45:05
bolltapp hif z3,0:45:31
utkast iks ,0:45:36
närkamp hif z6,0:45:39
närkamp iks z6,0:45:45
närkamp iks z5,0:45:52
passnign farlig iks z8,0:46:01
utkast hif ,0:46:07
utkast iks z2,0:46:18
passning lång iks ,0:46:24
utkast hifz2,0:46:32
närkamp iks z2,0:46:38
brytning hif z9,0:46:55
närkamp iks z5,0:46:59
frislag iks z8,0:47:08
40 iiks,0:47:24
stop,0:47:30
