event,time
avslag iks z2,0:00:00
hörna iks z9,0:00:33
iks z8 skott täckt,0:01:00
skottyp fast iks z8,0:01:03
boll iks,0:01:05
frislag iks z7,0:01:43
brytning gri z7,0:02:03
närkamp iks z6,0:02:14
utvisning 10 iks ,0:02:31
frislag gri z6,0:03:17
passnign straffområde gri z2,0:04:13
rensning gri z2,0:04:19
del,0:04:22
rensning iks z2,0:04:24
närkamp iks z2,0:04:36
närkamp gri z8,0:04:45
frislag gri z6,0:04:53
närkamp iks z2,0:05:40
närkamp gri z3,0:05:48
hörna gri z3,0:05:50
gri z2 mål hörnmål ,0:06:25
skottyp hörna gri z2,0:06:29
avslag iks ,0:06:52
passning straffområde iks z8,0:07:20
närkamp gri z8,0:07:22
passning lång gri z2,0:07:28
utkast iks z1,0:07:31
närkamp iks z8,0:07:56
40 iks,0:07:59
närkamp gri z5,0:08:19
skott räddning gri z2,0:08:24
skottyp utifrån gri z2,0:08:27
utkast iks z1,0:08:29
utkast gri z7,0:08:45
skott utanflr gri z2,0:09:14
skottyp utifrån gri z2,0:09:16
utkast iks z1,0:09:20
närkamp iks z5,0:09:31
passning strafformåde iks z8,0:10:02
boll iks ,0:10:05
frislag iks z4,0:10:29
brytning gri z6,0:11:09
passning lång gri z2,0:11:12
brytning iks z2,0:11:19
närkamp gri z4,0:11:22
skott räddning gri z2,0:11:46
skottyp utifrån gri z2,0:11:55
boll iks ,0:11:57
frislag iks z5,0:12:13
brytnign gri z6,0:12:33
skott räddning gri z2,0:12:48
skottyp centralt gri z2,0:12:52
skott utanför gri z2,0:12:55
skottyp retur gri z2,0:12:59
utkast iks ,0:13:01
brytning gri z5,0:13:16
skott utanför gri z5,0:13:23
skottyp utifrån gri z5,0:13:26
utkast iks z3,0:13:29
hörna iks z9,0:14:05
iks z8 skott täckt,0:14:33
skottyp fast iks z8,0:14:36
boll iks ,0:14:40
skott utanför iks z8,0:15:00
skottyp centralt iks z8,0:15:05
uktast gri z8,0:15:08
