event,time
avslag ,0:00:00
boll iks,0:00:02
utkast saik ,0:00:27
utkast iks ,0:00:54
inslag saik z7,0:01:30
närkamp iks z1,0:01:34
frislag iks z1,0:01:40
bolltapp passförösk iks z7,0:02:05
utkast saik z8,0:02:11
närkamp iks z6,0:02:29
utvisning 10 iks ,0:02:59
frislag saik z5,0:03:25
närkamp iks z3,0:03:39
boll saik ,0:03:46
passning straffområde saik z2,0:04:02
boll saik ,0:04:16
mål spelmål saik z2,0:04:23
skottyp saik z2 centralt ,0:04:48
avslag iks ,0:04:54
närkamp saik z7,0:05:21
mål saik z2 spelmål,0:05:42
skottyp saik utifrån z2,0:05:50
timeout iks,0:05:56
avslag iks z2,0:07:25
utvisning iks 10,0:07:46
frislag saik z4,0:08:08
passning staffområde saik z2,0:08:40
närkamp iks z2,0:08:42
frislag iks z6,0:08:47
straff iks z8,0:09:44
skott utanför iks z8,0:10:41
skottyp fast iks z8,0:10:45
utkast saik ,0:10:47
närkamp saik z1,0:10:55
nrkamp iks z1,0:11:00
skott räddning iks z8,0:11:27
skottyp utifrån iks z8,0:11:32
hörna iks z7,0:11:34
iks z8 mål hörnmål,0:12:01
iks skottyp fast z8,0:12:08
avslag saik ,0:12:28
inslag saik z4,0:12:52
brynting iks z1,0:13:19
passing lång iks z8,0:13:27
utkast saik ,0:13:34
närkamp iks z2,0:13:45
40 iks,0:14:19
passnign lång iks z7,0:14:38
offside iks ,0:14:40
boll saik ,0:14:42
närkamp iks z2,0:14:45
bolltapp passförösk iks z4,0:14:56
närkamp iks z2,0:15:07
frislag iks z9,0:15:31
40 iks,0:15:34
boll saik z8,0:15:58
passning lång saik z1,0:16:06
boll iks ,0:16:09
skott räddning iks z8,0:16:40
skottyp utifrån iks z8,0:16:43
utkast saik ,0:16:45
hörna saik z1,0:17:10
saik z2 mål hörnmål,0:17:38
saik z2 skottyp fast ,0:17:43
avdlag iks,0:18:11
40 iks,0:18:16
skott räddning iks z8,0:18:38
skottyp utifrån iks z8,0:18:41
utkast saik z8,0:18:46
passning lång saik z2,0:19:15
närkamp saik z2,0:19:17
del,0:19:23
närkamp iks z2,0:19:28
närkamp saik z8,0:19:40
närkamp iks z5,0:20:35
passning straffområde iks z8,0:20:53
