event,time
avslag vän z5,0:00:00
bolltapp vän z2 taooad ,0:00:10
närkamp vän z4,0:00:30
närkamp iks z4,0:00:37
inslag iks z4,0:00:39
hörna iks z1,0:00:58
iks z2 skott utanför,0:01:29
skottyp iks z2 fast,0:01:33
utkast vän z1,0:01:38
närkamp vän z7,0:02:15
närkamp vän z8,0:02:27
skott räddning vän z8,0:02:30
skottyp dribblign vän z8,0:02:35
rensning iks ,0:02:42
närkamp z8 iks,0:03:32
närkamp vän z3,0:03:36
närkamp iks z6,0:03:50
40 iks,0:04:19
frislag iks z6,0:04:29
frislag iks z5,0:05:25
passnins trafofmråde iks z2,0:05:52
utkast vän z2,0:05:57
skott räddning vän z8,0:06:22
skottyp utifrån vän z8,0:06:25
hörna vän z9,0:06:28
vän z8 skott räddning ,0:06:55
skottyp vän z8 fast,0:07:01
utkast iks ,0:07:09
närkamp v,0:07:18
del,0:07:21
n,0:07:21
del,0:07:22
närkamp vän z2,0:07:24
timeout,0:07:38
frislag iks z2,0:07:47
närkamp vän z3,0:07:52
del,0:07:55
närkamp vän z3,0:07:59
nörkamo iks z6,0:08:02
passnin straffområde iks z2,0:08:18
rensning vän ,0:08:20
oassnin strafomfåre iks z2,0:08:28
skott täckt iks z2,0:08:31
skottyp inlägg iks z2,0:08:35
utkast vän ,0:08:39
närkamp iks z6,0:09:09
närkamp vän z2,0:09:17
närkamp iks z5,0:09:27
passnin straffområde iks z2,0:09:38
enisnign vän,0:09:41
närkamp vän z4,0:09:49
närkamp iks z5,0:09:57
passnign farlig iks z2,0:10:06
mål spelmål iks z2,0:10:10
skottyp iks z2 centralt,0:10:31
avslag vän ,0:10:34
frislag v,0:10:51
passning straffområde vän z8,0:11:04
utkast iks z7,0:11:16
bolltap tappad iks z5,0:11:27
närkamp iks z7,0:11:33
frislag iks z7,0:11:43
brytning vän z2,0:12:03
brytnig iks z4,0:12:07
närkamp vän z4,0:12:11
närkamp vän z6,0:12:24
passnign straffområde vän z8,0:12:44
resnning iks ,0:12:45
närkamp iks z9,0:12:49
närkamp vän z6,0:12:55
närkamp iks z6,0:12:59
närkammp iks z6,0:13:14
passning straffområde iks z2,0:13:30
närkamp vän z5,0:13:59
skott utanför vän z8,0:14:15
skottyp utifrån vän z8,0:14:19
utkast iks z8,0:14:22
närkamp vän z2,0:14:30
skott utanför vän z5,0:14:42
skottyp utifrån vän z8,0:14:45
utkast iks ,0:14:47
utkast vän z3,0:14:59
utkast iks z7,0:15:16
passning straffområde iks z2,0:15:31
mål spelmål iks z2,0:15:35
skottyp inlägg iks z2,0:15:40
avslag vän,0:16:02
närkamp iks z5,0:16:21
frislag iks z2,0:16:30
närkamp iks z3,0:16:53
brytning vän z2,0:16:59
närkamp iks z5,0:17:06
närkamp iks z4,0:17:14
brytning vän z2,0:17:36
brytning iks z8,0:18:02
närkamp vän z7,0:18:06
resnsning iks ,0:18:11
närkamp vän z4,0:18:24
passning lång vän z8,0:18:32
rensning iks ,0:18:34
bolltapp passförsök vän ,0:18:50
utkast iks z9,0:18:53
passning straffområde iks z2,0:19:29
boll vän z1,0:19:33
utkast iks z7,0:19:44
passing lng z2,0:20:03
offside iks z2,0:20:05
boll vän z3,0:20:10
passning lång vän z9,0:20:33
utkast iks z5,0:20:40
passning lång iks z2,0:21:04
utkast vän z3,0:21:09
skott räddning vän z8,0:21:25
skottyp utifrån vän z8,0:21:29
hörna iks z9,0:21:31
iks z8 skott utanför,0:21:57
del,0:22:03
vän z8 skott utanför,0:22:09
vän skottyp fast z8,0:22:13
utkast iks ,0:22:15
närkamp iks z4,0:22:20
brytning vän z5,0:22:23
utkast iks z9,0:22:46
närkamp iks z5,0:23:03
frislag iks z4,0:23:11
passning lång iks z4,0:23:28
närkamp vän z3,0:23:31
bolltapp passförösk vän z4,0:23:48
närkamp vän z4,0:23:53
timeout,0:24:00
frislag vän z4,0:24:28
passning lång vän z8,0:24:51
utvinsing 10 vän ,0:24:58
frislag iks z7,0:25:34
passnign lång iks z2,0:25:41
utkast vän z3,0:25:45
passning straffområde vän z8,0:26:09
hörna vän z9,0:26:12
vän z2 skott räddning,0:26:36
skottyp fast vän z8,0:26:39
boll vän ,0:26:43
närkamp iks z4,0:26:59
inslag iks z4,0:27:04
passning lång iks z3,0:27:17
utkast vän z1,0:27:19
närkamp iks z5,0:27:31
närkamp vän z6,0:27:36
närkamp iks z5,0:27:40
rensning iks ,0:27:45
utkast iks z7,0:28:06
brytning vän z3,0:28:21
inslag iks z3,0:28:25
närkamp vän z1,0:28:46
bärkamp iks z1,0:28:49
hörna iks z1,0:28:54
iks z2 skott täckt,0:29:24
skottyp fast iks z2,0:29:27
rensning v,0:29:30
passning lng iks z2,0:29:43
utkast vän z3,0:29:49
närkamp iks z6,0:30:20
bolltapp passföröks iks z4,0:30:31
närkamp iks z4,0:30:34
inslag iks z4,0:30:38
närkamp vän z1,0:30:43
nnärkamp iks z4,0:30:53
inslag iks z4,0:30:56
skott räddnign iks z2,0:31:08
skottyp centlrat iks z2,0:31:11
inslag iks z3,0:31:17
"åassmog straffp,r¨de ils z2",0:31:26
hörna iks z3,0:31:31
skott täckt iks z2,0:31:58
skottyp fast iks z2,0:32:00
noll iks ,0:32:04
närkamp iks z3,0:32:06
frislag vän z2,0:32:13
timeout,0:32:17
boll vän,0:32:41
frislag vän z0,0:32:57
del,0:32:59
frislag vän z9,0:33:01
skott täckt än z9,0:33:19
skottyp fast vän z9,0:33:22
rensning iks ,0:33:26
utkas vän z,0:33:30
närkamp iks z7,0:33:44
närkamp iks z8,0:33:52
hörna iks z1,0:34:01
iks skott z2 täckt,0:34:31
skottyp fast iks z2,0:34:34
skott täckt iks z2,0:34:40
skottyp retur iks z2,0:34:44
utkast vän ,0:34:46
närkamp iks z8,0:34:50
närkamp vän z2,0:35:00
bryting iks z6,0:35:08
närkamp vän z6,0:35:16
frislag vän z6,0:35:24
skott räddning vän z8,0:35:32
skottyp utifrån vän z8,0:35:36
närkamp z6 iks ,0:35:47
frislag iks z6,0:35:50
frislag iks z3,0:36:04
närkamp vän z6,0:36:22
närkamp vän z7,0:36:34
timeout vän,0:36:50
frislag iks z7,0:38:28
passning lång iks z2,0:38:31
mål spelmål iks z2,0:38:39
skottyp friställande iks z2,0:38:42
avslag vän ,0:39:11
åppassning lång vän z8,0:39:21
närkamp iks z8,0:39:24
närkamp vän z7,0:39:26
nrkamp iks z7,0:39:29
n,0:39:32
del,0:39:37
närkamp vän z4,0:39:43
friläge iks z2,0:39:49
mål spelmål iks z2,0:39:54
skottyp iks friställande z2,0:40:00
avslag vän,0:40:25
passning straffområde v,0:40:33
rensning iks ,0:40:38
närkamp iks z7,0:40:41
frislag iks z7,0:40:46
passning iks lång z3,0:40:56
närkamp vän z2,0:41:02
närkammp iks z4,0:41:11
brytning vän z2,0:41:21
brytning iks z6,0:41:24
skott räddning iks z2,0:41:32
skottyp centralt iks z2,0:41:36
utkast v,0:41:37
utkast iks z4,0:41:54
skott utanför iks z2,0:42:05
skottyp dribbling iks z2,0:42:08
utkast vän ,0:42:10
närkamp iks z5,0:42:16
frisag vän z6,0:42:24
passning lång vän z8,0:42:37
närkamp iks z9,0:42:42
passnign lång iks ,0:42:49
boll vän ,0:42:51
närkamp iks z9,0:42:55
inslag vän z6,0:43:00
passning lång vän z8,0:43:09
närkamp iks z8,0:43:12
rensning iks z8,0:43:15
närkamp iks z8,0:43:22
passning lång iks z2,0:43:28
utkast vän ,0:43:30
närkamp vän z8,0:43:42
närkamp iks z7,0:43:51
utkast iks ,0:44:05
närkamp iks z4,0:44:17
närkamp vän z1,0:44:23
passning straffområde vän z8,0:44:49
skott räddning vän z8,0:44:53
skottyp inlägg vän z8,0:44:58
mål spelmål vän z8,0:45:01
skottyp retur vän z8,0:45:06
avslag iks,0:45:10
passning iks z2,0:45:17
närkamp vän z8,0:45:25
skott röddning vän z8,0:45:37
skottyp utifrån vän z8,0:45:40
utkast iks z2,0:45:47
närkamp iks z5,0:45:54
närkamp vän z1,0:46:01
nrkamp iks z5,0:46:06
oassning straffområde iks z2,0:46:18
närkamp iks z1,0:46:22
frislag iks z1,0:46:33
utkast vän z5,0:46:57
rensining iks ,0:47:08
inslag vän z9,0:47:14
närkamp iks z8,0:47:24
stop,0:47:30
