event,time
avslag iks ,0:00:00
spelmål iks mål z3,0:00:49
skottyp utifrån iks z3,0:00:52
avslag bro,0:00:58
brytnng iks z5,0:01:26
el,0:01:30
del,0:01:33
utkast iks ,0:01:38
närkamp iks z2,0:02:07
närkamp brio z2,0:02:09
utkast bro,0:02:19
timeout,0:02:32
boll bro,0:02:40
nörkamp iks z9,0:03:00
närkamp bro z6,0:03:04
utkast iks z9,0:03:28
40 iks,0:03:52
hörna iks z3,0:04:13
iks z2 skott täckt,0:04:41
skottyp fast iks z2,0:04:44
skott täckt iks z2,0:04:50
skottyp retur iks z2,0:04:53
boll iks,0:04:56
skott täckt iks z2,0:05:25
skottyp utifrån iks z2,0:05:29
boll bro z2,0:05:34
passning straffområde iks z8,0:05:47
del,0:05:54
passning straffområde bro z8,0:05:58
skott utanför bro z8,0:06:01
skottyp inlägg bro z8,0:06:07
utkast iks ,0:06:08
brutning bro z2,0:06:24
passning straffområde bro z8,0:06:40
inslag iks z7,0:06:43
närkamp bro z6,0:06:56
närkamp iks z6,0:07:01
passning straffområde iks z2,0:07:23
rensning bro ,0:07:25
hörna iks z3,0:08:04
iks z2 mål hörnmål,0:08:31
iks skottyp fast z2,0:08:36
avslag bro,0:09:02
hörna bro z7,0:09:26
bro z8 skott täckt,0:09:54
skottyp fast bro z8,0:09:57
närkamp iks z6,0:10:10
närkamp bro z3,0:10:20
frislag iks z3,0:10:30
närkamp iks z2,0:10:42
utkast iks ,0:10:59
brytning bro z1,0:11:25
frislag bro z5,0:11:34
bolltapp passförsök bro z9,0:12:21
utkast iks z9,0:12:26
40 iks,0:12:36
passnign lång iks z2,0:12:39
frislag bro z2,0:12:44
utkast iks z7,0:12:59
utkast iks ,0:13:29
mål spelmål iks z2,0:13:54
skottyp iks z2 dribbling,0:13:59
timeout bro,0:14:30
avslag bro ,0:16:47
närkamp bro z4,0:17:01
passning straffområde bro z8,0:17:21
närkamp iks z9,0:17:30
närkamp bro z6,0:17:39
skott utanför bro z8,0:17:59
skottyp utifrån bro z8,0:18:02
utkast iks z9,0:18:05
passning straffområde iks z2,0:18:23
boll bro ,0:18:26
närkamp iks z9,0:18:44
närkamp bro z6,0:18:52
utvisning 10 iks ,0:19:01
bro frislag z9,0:19:37
bolltapp passförösk bro z7,0:19:49
utkast iks z7,0:19:55
inslag bro z6,0:20:13
närkamp iks z8,0:20:23
frislag bro z8,0:20:27
brytning iks z8,0:20:37
närkamp iks z5,0:20:47
brytning bro z5,0:20:52
närkamp bro z7,0:21:17
inslag bro z7 ,0:21:26
närkamp iks z8,0:21:54
närkamp bro z4,0:22:00
frislag bro z4,0:22:05
skott utanför bro z8,0:22:25
skottyp centralt bro z8,0:22:31
utkast iks,0:22:33
närkamp bro z6,0:22:37
utkast iks z,0:22:49
närkamp bro z1,0:23:01
mål bro z8 spelmål,0:23:16
bro z8 skottyp centralt,0:23:38
avslag iks,0:23:40
närkamp bro z6,0:23:54
skott täckt bro z8,0:24:18
skottyp utifrån bro z8,0:24:22
boll iks ,0:24:25
frislag iks z7,0:24:28
40 iks,0:24:56
passnign straffområde iks z2,0:25:10
bro boll ,0:25:23
närkamp iks z5,0:25:54
skott täckt iks z2,0:26:05
skottyp centralt iks z2,0:26:10
hörna iks z1,0:26:12
iks z2 skott täckt,0:26:42
skottyp isk z2 fast,0:26:45
boll iks,0:26:47
passnign straffområde iks z2,0:27:09
mål spelmål iks z2,0:27:12
iks skottyp inlägg z2,0:27:18
avslag bro ,0:27:36
närkamp iks z5,0:28:06
närkamp bro z1,0:28:15
närkamp iks z4,0:28:20
närkamp bro z2,0:28:55
närkamp iks z6,0:29:10
bolltapp passförösk iks z2,0:29:21
utkast bro z1,0:29:23
nätrkamp iks z4,0:29:52
närkamp iks z6,0:30:00
skott utanför iks z3,0:30:07
skottyp utifrån iks z3,0:30:10
utkast bro ,0:30:12
passnign straffområde bro z8,0:30:33
skott utanför bro z8,0:30:36
skottyp inlägg bro z8,0:30:40
utkast iks ,0:30:42
närkamp bro z1,0:30:53
närkamp bro z4,0:30:59
passning straffområde bro z8,0:31:05
hörna bro z9,0:31:09
bro z8 skott utanför,0:31:38
bro z8 skottyp fast ,0:31:43
utkast iks ,0:31:45
närkamp bro z6,0:31:54
passnign straffområde bro z8,0:32:13
utkast iks ,0:32:23
närkamp iks z4,0:32:32
närkamp bro z1,0:32:52
inslag bro z1,0:33:03
närkamp bro z5,0:33:14
frislag bro z9,0:33:26
passning straffområde bro z8,0:33:41
frislag iks z8,0:33:45
passning lång iks z5,0:33:54
brytnign bro z5,0:33:57
närkamp bro z7,0:34:12
passnign straffområpde bro z8,0:34:30
närkamp iks z8,0:34:34
nörkamp bro z5,0:34:36
närkamp iks z5,0:34:52
passnign strafområde iks z2,0:34:57
utkast bro z3,0:35:04
närkamp iks z7,0:35:19
närkamp bro z5,0:35:23
passning straffområde bro z8,0:35:34
närkamp iks z8,0:35:37
utvising 10 bro,0:35:42
frislag iks z4,0:36:16
brutnign bro z2,0:36:21
skott utanför bro z8,0:36:30
skottyp utifrån bro z8,0:36:35
utkast iks z7,0:36:38
närkamp bro z7,0:36:44
offside bro ,0:36:50
boll iks ,0:36:53
offside iks ,0:37:12
boll bro,0:37:17
närakmp iks z7,0:37:29
skott räddning iks z2,0:37:41
skottyp dribbling iks z2,0:37:44
utkast bro ,0:37:46
närkamp bro z5,0:38:10
brytning iks z5,0:38:52
skott utanför iks z2,0:38:58
skottyp utifrån iks z2,0:39:01
utkast bro ,0:39:02
närkamp iks z9,0:39:16
närkamp bro z2,0:39:26
frislag bro z9,0:39:57
passnign straffområde bro z8,0:40:16
skott utanför bro z8,0:40:19
skottyp inlägg bro z8,0:40:22
utkast iks ,0:40:23
n,0:40:33
"närla,å ols z6",0:40:37
del,0:40:38
närkamp iks z6,0:40:41
utkat bro ,0:40:46
utakst iks z7,0:41:08
närkamp iks z3,0:41:30
närkamp bro z2,0:41:42
passnign straffområde bro z8,0:42:10
rensning iks ,0:42:19
inslag bro z4,0:42:22
utkast iks z4,0:42:36
hörna iks z3,0:42:55
iks z2 skott täckt,0:43:22
skottyp fast iks z2,0:43:27
rensning bro ,0:43:33
inslag iks z1,0:43:35
utkast bro ,0:43:51
närkamp iks z8,0:44:06
skott täckt iks z2,0:44:23
skottyp iks z2 utifrån ,0:44:30
hörna iks z3,0:44:33
iks z2 skott utanför,0:44:51
skottyp fast iks z2,0:44:54
utkast iks z3,0:44:58
del,0:44:59
utkast bro z3,0:45:02
rensning iks z8,0:45:17
inslag bro z7,0:45:22
passnign straffområde iks z8,0:45:35
utkast iks z5,0:45:41
timeout ,0:45:52
boll iks,0:46:40
närkamp bro z6,0:46:48
skott utanför bro z8,0:47:05
skottyp utifrån bro z8,0:47:08
utvisning 10 iks,0:47:17
utkast iks ,0:47:49
utkast bro ,0:48:00
närkamp bro z7,0:48:16
utkast iks z2,0:48:35
närkamp iks z5,0:48:43
skott täckt iks z2,0:48:52
skottyp utifrån iks z2,0:48:54
närkamp bro z3,0:48:58
passninng straffområde bro z8,0:49:09
brytning iks z8,0:49:19
skott räddning iks z2,0:49:31
skottyp utifrån iks z2,0:49:37
boll bro,0:49:39
rensning iks ,0:49:54
stop,0:50:01
