event,time
avslag vi z2,0:00:00
passning straffområde vi z8,0:00:16
rensning iks ,0:00:20
passnign straffområde vi z8,0:00:39
boll iks z8,0:00:41
rensning iks ,0:00:45
passning lång vi ,0:00:58
skott rädding vi z8,0:01:02
skottyp centralt vi z8,0:01:08
hörna vi z7,0:01:12
vi z8 skott täckt,0:01:30
skottyp fast vi z8,0:01:33
utkast iks z7,0:01:36
passning lång iks z2,0:01:46
boll vi ,0:01:48
passning straffomre vi z8,0:02:10
boll vi ,0:02:12
passning lång vi z8,0:02:23
utkast iks z9,0:02:29
närkamp vi z8,0:02:35
skott täckt vi z8,0:02:40
skottyp utifrån vi z8,0:02:44
hörna vi z9,0:02:47
del,0:02:52
boll vi ,0:02:54
närkamp vi z7,0:03:01
frislag vi z6,0:03:32
frislag vi z4,0:04:17
oassning straffområe vi z8,0:04:39
skott räddning i z8,0:04:42
skottyp inlägg vi ,0:04:46
boll iks,0:04:49
del,0:04:51
närkamp iks z6,0:04:53
närkamp iks z1,0:05:03
hörna iks z1,0:05:04
iks z2 skott täckt,0:05:34
skottyp fast iks z2,0:05:38
rensinig vi,0:05:43
passning lång iks z6,0:05:50
närkamp vi z6,0:05:53
passning lång vi,0:06:02
utkast iks z7,0:06:04
bolltapp iks z5,0:06:18
skott mål vi z8,0:06:22
del,0:06:26
mål vi spelmål z8,0:06:30
skottyp vi utifrån z8,0:06:44
avslag iks ,0:06:47
närkamp iks z8,0:06:59
frislag iks z6,0:07:13
40 iks,0:07:16
skott räddning iks z2,0:07:36
skottyp utifrån iks z2,0:07:39
hörna iks z3,0:07:41
iks z2 skott täckt,0:08:09
skottyp fast iks z2,0:08:11
40 iks,0:08:15
skott utanför iks z2,0:08:42
skottyp centralt iks z2,0:08:45
utkast vi ,0:08:47
utkast iks z9,0:08:54
40 iks,0:09:23
passning straffområde iks z2,0:09:39
utkast vi z3,0:09:42
passning straffområde vi z8,0:10:02
boll isk ,0:10:05
närkamp vi z7,0:10:08
närkamp iks z7,0:10:16
brtning vi z4y,0:10:22
del,0:10:24
brtning vi z4,0:10:26
offside vi z8,0:10:52
boll iks,0:11:01
skott räddning iks z2,0:11:12
