event,time
avslag iks ,0:00:00
brytning vsk z8,0:00:44
närkamp iks z6,0:01:10
skott utanflr iks z8,0:01:14
skottyp utifrån iks z8,0:01:17
utkast vsk,0:01:27
närkamp iks z2,0:01:42
passning strafforåde iks z8,0:02:05
skott utanför iks z8,0:02:10
skottyp inlägg iks z8,0:02:13
utkast vsk ,0:02:15
skott utanför vsk ,0:02:27
skottyp utifrån vs z8,0:02:30
utkast iks ,0:02:31
passning straffområde iks z8,0:02:38
närkamp iks z8,0:02:40
nörkamp vsk z7,0:02:43
inslag iks z3,0:03:05
passning lång iks z8,0:03:20
utkast vvsk,0:03:22
närkamp iks z6,0:04:14
skott täckt iks z8,0:04:43
sottyp utiofrån iks z8,0:04:46
boll iks,0:04:49
utkast vsk z9,0:05:06
skott utanför vsk z2,0:05:34
skottyp utifrån vsk z2,0:05:38
utkast iks ,0:05:39
hörna iks z7,0:05:54
z8 vsk mål hörnmål,0:06:30
del,0:06:33
z8 iks mål hörnmål,0:06:41
iks z8 skottyp fast,0:06:44
avslag vsk ,0:06:55
utkast iks z1,0:07:32
passning straffområde iks z8,0:08:04
utkast vsk ,0:08:07
brytning iks z6,0:08:35
skottt utanför iks z8,0:08:44
skottyp utifrån iks z8,0:08:46
utkast vsk z7,0:08:48
brytning iks z3,0:09:04
del,0:09:08
boll vsk ,0:09:13
utvisning 10 iks ,0:09:29
frislag vsk z3,0:10:03
skott räddning vsk z2,0:10:24
skottyp centlrat vsk z2,0:10:27
utkast iks ,0:10:29
närkamp vsk z8,0:10:43
hörna vsk z1,0:10:57
vsk z2 skott täckt ,0:11:27
skottyp fast vsk z2,0:11:29
skott täckt vsk z2,0:11:32
skottyp retur vsk z2,0:11:40
boll iks ,0:11:41
skott täckt iks z8,0:11:45
skottpy utifrån iks z8 ,0:11:50
boll vsk,0:11:52
närkamp iks z3,0:12:04
offside iks ,0:12:17
boll vsk,0:12:21
närkamp iks z2,0:12:47
rensning iks ,0:12:49
närkamp iks z2,0:14:45
utkast iks,0:14:50
frislag iks z9,0:15:23
skott utanför iks z8,0:15:40
skottyp utifrån iks z8,0:15:44
utkast vsk ,0:15:46
utkast iks z1,0:15:48
brytnign vsk z5,0:16:01
inslag vsk z6,0:16:16
närkamp iks z2,0:17:07
skott täckt iks z8,0:17:28
skottyp drubbling iks z8,0:17:31
boll vsk ,0:17:33
passnign straffområde vsk z8,0:17:40
utkast iks z1,0:17:45
närkamp vsk z8,0:18:41
rensning vsk z8,0:18:44
passning lång vsk z8,0:18:52
offside iks ,0:18:55
boll vsk ,0:18:57
skott utanflr vsk ,0:19:10
skottyp centralt vsk z2,0:19:18
timeout vsk ,0:19:21
utkast iks z2,0:20:55
inslag iks z6,0:21:10
skott räddning iks z8,0:21:59
skottyp centrlat iks z8,0:22:01
närkamp vsk z8,0:22:08
närkamp z6 vsk,0:22:23
utvisning 10 isk,0:22:44
frislag vsk z4,0:23:09
passnign straffområde vsk z2,0:23:43
mål spelmål vsk z2,0:23:49
skottyp inlägg vsk z2,0:23:52
avslag iks ,0:24:29
brytning vsk z9,0:24:54
utkast iks z3,0:25:12
40 iks,0:25:22
passning straffområde iks z8,0:25:42
utkast vsk z7,0:25:47
närkamp iks z5,0:25:59
skott räddning iks z8,0:26:14
skottyp iks centralt z8,0:26:23
hörna iks z9,0:26:25
iks z8 skott täckt,0:26:49
skottyp fast iks z8,0:26:52
insalg iks z6,0:26:57
40 iks,0:27:02
brytning vsk z9,0:27:27
passnign straffområde vsk z2,0:27:42
inslag vsk z6,0:27:51
närkamp iks z3,0:28:20
närkamp vsl z3,0:28:26
skott täckt vsk z2,0:28:31
skottyp utifrån vsk z2,0:28:34
närkamp vsk z2,0:28:38
skott utanför vsk z2,0:28:41
skottyp utifrån vsk z2,0:28:43
utkati ks ,0:28:45
40 iks',0:29:09
närkamp vsk z8,0:29:16
närkamp vsk z5,0:29:51
närkamp iks z6,0:30:22
närkamp vsk z5,0:30:32
timeout iks,0:31:06
inslag z3 iks,0:32:47
skott täckt iks z8,0:33:23
skottyp utifrån iks z8,0:33:26
närkamp iks z7,0:33:29
passning straffområde iks z8,0:33:50
utkast vsk ,0:33:52
skott räddning vsk z2,0:34:32
skottyp centlrat vsk z2,0:34:36
boll vsk ,0:34:41
