event,time
avslag iks z8,0:00:00
40 iks z8,0:00:32
brytning bol z1,0:00:49
brytning iks z4,0:00:55
närkamp z6 iks ,0:01:17
inslag iks z6,0:01:21
närkmap bol z2,0:01:36
skott räddning bol z8,0:01:57
skottyp utifrån bol z8,0:02:01
utkast iks ,0:02:03
hörna iks z3,0:02:12
iks z2 skott täckt,0:02:48
skottyp fast iks z2,0:02:52
skott täckt iks z2,0:02:54
skottyp utifrån iks z2,0:02:57
boll iks ,0:02:59
närkamp iks z8,0:03:05
40 iks z8,0:03:26
utkast vol z3,0:03:50
närkamp iks z8,0:04:43
frislag iks z9,0:04:56
passning lång iks z2,0:05:33
skott täkt iks z2,0:05:39
skottyp utifrån iks z2,0:05:42
hörna iks z3,0:05:45
iks z2 skott utanför,0:06:11
skottyp fast iks z2,0:06:13
utkast bol z1,0:06:17
närkamp bol z5,0:07:00
frislag bol z9,0:07:04
närkamp bol z6,0:07:33
närkamp iks z6,0:08:35
närkamp bol z1,0:08:54
frislag bol z1,0:09:03
brytning iks z5,0:09:09
40 iks ,0:09:14
40 iks z8,0:09:31
närkamp bol z3,0:09:53
inslag bol z3,0:09:55
frislag bol z5,0:10:50
skott räddning bol z8,0:11:32
skottyp centrlat bol z8,0:11:36
utkast iks z7,0:11:38
närkamp bol z6,0:11:48
närkamp iks z8,0:12:15
skott räddning iks z2,0:12:29
skottyp utifrån iks z2,0:12:32
hörna iks z3,0:12:35
iks z2 skott utanför,0:13:00
iks skottyp fast z2,0:13:04
utkast bol ,0:13:06
utvisning 10 iks ,0:13:18
frislag bol z8,0:13:44
brytning iks z8,0:13:50
skott räddning iks z2,0:14:13
skottyp centralt iks z,0:14:17
rensning bol ,0:14:21
närkamp bol z2,0:14:35
mål spelmål bol z8,0:14:58
skottyp utifrån bol z8,0:15:02
avslag iks ,0:15:35
friläge iks z2,0:16:01
skott röddning iks z2,0:16:08
skottyp frisällande iks z2,0:16:11
boll bol,0:16:20
passning lång bol z8,0:16:48
utkast iks z7,0:16:51
närkamp bol z6,0:17:10
hörna bol z9,0:17:24
bol z8 skott täckt,0:17:51
skottyp bol z8 fast,0:17:54
skott utanför bol z8,0:18:00
skottyp utifrån bol z8,0:18:04
utkast iks ,0:18:06
hörna iks z1,0:18:23
iks z2 skott räddning ,0:18:56
skottyp fast iks z2,0:18:59
passning straffområde iks z2,0:19:06
mål hörnmål z2 iks ,0:19:26
skottyp inlägg iks z2,0:19:31
avslag bol ,0:19:34
utkast isk z7,0:20:01
närkamp bol z3,0:20:25
närkamp iks z9,0:21:05
utkast iks ,0:21:06
närkamp iks z5,0:22:42
närkamp bol z5,0:22:55
skott räddning bol z8,0:23:48
skottyp centralt bol z8,0:23:55
hörna bol z3,0:23:57
bol z8 skott täckt,0:24:15
skottyp fast bol z8,0:24:20
skott utanför bol z8,0:24:25
skottyp utifrån bol z8,0:24:28
utkast iks ,0:24:30
passnign straffområde iks z2,0:24:42
hörna iks z1,0:24:46
iks z2 skott utanflr ,0:25:14
skottyp fast iks z2,0:25:19
utkast bol z2,0:25:24
skott räddning bol z8,0:25:36
skottyp centralt bol z8,0:25:42
utkast iks z8,0:25:45
närkamp iks z5,0:25:52
närkamp bol z2,0:26:13
närkamp iks z2,0:26:15
40 iks ,0:26:27
utvisning 10 bol ,0:26:43
frislag iks z2,0:27:09
frl,0:27:11
del,0:27:14
frislag iks z2,0:27:23
40 iks,0:27:37
passning lång iks z2,0:27:57
utkast bol z1,0:28:00
åassmiong straffområde bol z8,0:28:26
rensning iks ,0:28:27
inslag iks z6,0:28:41
brytning bol z3,0:28:56
kontring bol ,0:29:00
passning straffområde bol z8,0:29:13
skott utanför bol z8,0:29:18
skottyp inlägg bol z8,0:29:23
utkast iks ,0:29:26
inslag iks z9,0:30:10
frislag iks z6,0:30:36
närkammp bol z3,0:31:11
bolltapp tappad bol z5,0:31:46
kontring iks ,0:31:55
skott räddning iks z2,0:31:58
skottyp utifrån iks z2,0:32:03
skott räddning iks z2,0:32:09
skottyp retur iks z2,0:32:13
utkast bol ,0:32:15
inslag bol z9,0:32:32
skott utanför bol z8,0:33:16
del,0:33:20
utkast iks ,0:33:24
skott utanför iks z2,0:33:29
skottyp utifrån iks z2,0:33:33
utkast bol ,0:33:35
närkamp iks z9,0:34:26
passning straffområde iks z2,0:34:40
utkast bol z1,0:34:43
passning lång bol z8,0:35:00
offside bol ,0:35:02
boll iks ,0:35:10
40 iks,0:35:18
skott rädding iks z2,0:36:01
skottyp centralt iks z2,0:36:04
mål spelmål iks z2,0:36:07
skottyp retur iks z2,0:36:11
