event,time
avslag fri,0:00:00
närkamp iks z1,0:00:23
närkamp fri z6,0:00:34
passning farlig fri z2,0:01:04
rensning iks ,0:01:07
del,0:01:13
inslag iks z3,0:01:16
passning lång iks z8,0:01:22
utkast fri z7,0:01:29
närkamp iks z1,0:01:57
40 iks z2,0:02:13
40 iks ,0:02:26
passning lång iks z9,0:02:36
boll fri ,0:02:41
närkamp fri z8,0:03:08
frislag fri z4,0:03:27
hörna fri z1,0:04:04
fri z2 skott utanför,0:04:35
skottyp fast fri z2,0:04:38
utkast iks z1,0:04:41
närkamp fri z6,0:04:51
kontring fri,0:04:54
närkamp iks z2,0:05:00
närkamp fri z1,0:05:06
hörna fri z1,0:05:08
fri z2 skott täckt,0:05:34
skottyp fast fri z2,0:05:39
insalg fri z3,0:05:43
passning straffområde fri z2,0:06:21
brytning iks z2,0:06:25
kpontring iks ,0:06:27
utkast fri z9,0:06:35
närkamp iks z3,0:07:01
40 iks z2,0:07:53
närakmp fri z7,0:07:59
närakmp iks z6,0:08:37
närkamp fri z5,0:08:41
närkamp iks z9,0:08:53
skott utanför iks z8,0:08:58
skottyp utifrån iks z8,0:09:02
utkast fri ,0:09:03
passning lång fri ,0:09:10
offside fri ,0:09:12
uboll iks ,0:09:15
del,0:09:21
närkamp fri z8,0:09:30
brytning iks z5,0:09:39
40 iks z2,0:10:03
passning straffområde iks z8,0:10:53
skott utanför iks z8,0:11:03
sktotyp inlägg iks z8,0:11:07
utkast fri ,0:11:08
frislag fri z3,0:11:38
passning lång fri ,0:12:08
utkast iks ,0:12:10
frislag iks z7,0:12:46
40 iks ,0:13:28
skott utanför iks z8,0:13:45
skottpy centralt iks z8,0:13:48
utkast fri ,0:13:50
passning strafområde fri z2,0:14:07
närkamp iks z2,0:14:10
utkast iks ,0:14:12
passning lång iks z,0:14:57
utkast fri ,0:14:59
skott räddning fri z2,0:15:15
skottyp utifrån fri z2,0:15:18
skott räddning fri z2,0:15:20
skottyp retur fri z2,0:15:23
frislag fri z5,0:15:37
närkamp fri z3,0:16:00
hörna fri z3,0:16:07
fri z2 skott täckt,0:16:40
skottpy fast fri z2,0:16:42
mål hörnmål fri z2,0:16:49
skottyp fri z2 retur ,0:16:55
avslag iks ,0:17:07
brytnign fri z9,0:18:00
kpntring fri ,0:18:09
hörna fri z3,0:18:14
z2 fri skott utanför,0:18:44
skottyp fast fri z2,0:18:48
utkast iks z3,0:18:57
utkast fri ,0:19:12
skott täckt fri z2,0:19:35
sktotyp centralt fri z2,0:19:38
boll iks ,0:19:46
närkamp iks z6,0:19:52
närkamp fri z8,0:19:57
skott täckt fri z2,0:20:16
skottyp utifrån fri z2,0:20:19
hörna fri z3,0:20:22
fri z2 skott räddning ,0:20:43
skottyp fast fri z2,0:20:46
rensning iks ,0:20:51
passning straffområde fri z2,0:20:59
rensning iks ,0:21:08
närkamp iks z3,0:21:26
närkamp fri z6,0:21:33
brytnign iks z2,0:21:53
40 iks ,0:22:06
härna iks z7,0:22:16
iks z8 skott utanför,0:22:46
skottyp fast iks z8,0:22:49
utkast fri ,0:22:51
passning straffområde fri z2,0:23:41
utkast iks z3,0:23:45
40 iks z2,0:24:24
brytnign fri z5,0:25:10
kontring ifri ,0:25:14
passning straffområde fri z2,0:25:20
straff fri z2,0:25:23
utvisning 10 iks ,0:25:48
fri mål straffmål ,0:26:09
del,0:26:16
fri mål straffmål z2,0:26:18
skottyp fri fast z2,0:26:24
timeout iks ,0:26:32
avslag iks ,0:28:01
frislag iks z6,0:28:22
40 iks ,0:28:39
n,0:28:49
del,0:28:52
närkamp fri z8,0:28:55
närkamp iks z4,0:28:57
närkamp fri z3,0:29:09
hörna fri z3,0:29:32
fri z2 skott r,0:29:59
skottyp fast fri z2,0:30:04
utkast iks ,0:30:10
passning straffområde iks z8,0:30:33
boll fri ,0:30:36
närkamp iks z6,0:30:57
passnning straffområde iks z8,0:31:05
resnsning fri ,0:31:08
inslag iks z4,0:31:13
närkamp fri z8,0:31:27
skott täckt iks z8,0:31:34
skottyp utifrån iks z8,0:31:37
hörna iks z9 ,0:31:41
iks skott z8 täckt,0:32:04
skottyp fast z8 iks ,0:32:10
