event,time
avslag saik z8,0:00:00
närkamp z6 villa ,0:00:35
brytning saik z5,0:00:46
passning straffområde siak z2,0:01:10
skott täckt saik z2,0:01:20
skottyp utifrån saik z2,0:01:23
boll villa z2,0:01:26
närkamp villa z9,0:01:30
frislag villa z9,0:01:38
skott utanför villa z8,0:02:14
skottyp centlat villa z8,0:02:17
boll saik ,0:02:20
offside saik z2,0:02:29
närkamp saik z8,0:02:47
brytning villa z1,0:03:12
frislag villa z1,0:03:23
närkamp saik z5,0:03:48
skott räddning saik z2,0:04:00
skottyp dribbling saik z2,0:04:03
skott täckt saik z2,0:04:08
skottyp utifrån saik z2,0:04:11
hörna saik z1,0:04:14
saik z2 skott täckt,0:04:34
skottyp saik z2 fast,0:04:37
inslag saik z3,0:04:52
passnign strffområde saik z2,0:05:30
utkast villa ,0:05:33
skott täckt villa z8,0:05:50
skottyp centralt villa z8,0:05:56
utkast saik ,0:05:57
skott täckt saik z2,0:06:17
skottyp utifrån saik z2h,0:06:21
hörna saik z1,0:06:24
saik z2 skott täckt,0:06:39
skottyp fast saik z2,0:06:42
boll saik ,0:06:48
närkamp villa z4,0:06:52
skott utanför vill z8,0:07:03
skottyp utifrån villa z8,0:07:07
utkast saik ,0:07:10
utvisning villa 10 ,0:07:17
straff saik z2,0:07:25
saik z2 mål straffmål,0:08:21
avslag villa ,0:08:52
passnign straffområde villa z8,0:09:47
brytning saik z8,0:09:51
skott täckt saik z2,0:09:59
skottyp utifrån saik z2,0:10:03
boll villa ,0:10:07
brytning saik z8,0:10:16
bolltapp passförösk saik z1,0:10:35
frislag villa z4,0:10:55
närkamp saik z7,0:11:17
boll villa ,0:11:20
frislag villa z6,0:11:32
timeout,0:11:40
boll saik ,0:12:57
utkast saik,0:13:03
del,0:13:08
utkast villa ,0:13:10
närkamp saik z9,0:13:20
passning straffområde saik z2,0:13:44
rensning villa ,0:13:50
passning lång saik ,0:14:25
offside saik ,0:14:27
boll villa ,0:14:31
passnign straffområde villa z8,0:14:47
frislag villa z8,0:15:09
skott räddning villa z8,0:15:26
skottyp fast villa z8,0:15:31
utkast saik ,0:15:34
bolltapp passförösk saik,0:16:11
utkast villa ,0:16:14
passning lång villa ,0:16:20
utkast saik ,0:16:26
skott utanför saik z2,0:16:55
skkottyp utifrån saik z2,0:16:58
utkast villa ,0:17:00
skott räddning villa z8,0:17:28
skottyp centralt villa z8,0:17:32
utkast saik ,0:17:34
passning farlig saik z2,0:17:45
frilöge saik z2,0:17:48
mål spelmål saik z2,0:17:51
skottyp saik z2 friställande,0:17:55
avslag villa ,0:18:23
närkamp villa z5,0:18:32
oassning lång villa z8,0:18:44
utkast saik ,0:18:46
brytning villa z2,0:19:06
passning lång villa z2,0:19:22
timeout villa,0:19:25
utast saik ,0:21:18
närkamp villa z5,0:21:34
närkamp saik z8,0:21:44
utkast saik ,0:21:45
skott utanför saik z2,0:22:18
skottyp utifrån siak z2,0:22:22
utkast villa ,0:22:24
skott täckt villa z8,0:22:41
skottyp ventralt villa z8,0:22:46
rensning saik ,0:22:50
