event,time
avslag villa z8,0:00:00
närkamp villa z9,0:00:29
närkamp saik z2,0:00:58
skott täckt saik z8,0:01:30
skottyp utifrån saik z8,0:01:35
hörna saik z9,0:01:37
z8 saik skott täckt,0:01:56
skottyp fast saik z8,0:02:00
skott utanför saik z8,0:02:06
skottyp utifrån siaik z8 ,0:02:10
utkast villa ,0:02:13
skott täckt villa z2,0:02:23
skottyp utifrån villa z2,0:02:28
utkast saik ,0:02:32
passning straffområde saik z8,0:02:41
utkast villa ,0:02:43
mål spelmål villa z2,0:02:59
skottyp centralt villa z2,0:03:02
avslag saik ,0:03:28
oassning straffområde saik z8,0:03:57
boll saik ,0:04:00
passning straffområde saik z8,0:04:16
hörna z7 saik ,0:04:26
saik z8 mål hörnmål,0:04:52
saik z8 skottyp fast ,0:04:56
avslag villa ,0:05:16
utkast saik ,0:05:42
närkamp villa z5,0:05:57
utkast saik z3,0:06:09
nrkamp villa z8,0:06:41
närkamp saik z3,0:06:56
närkamp villa z6,0:07:02
hörna villa z3,0:07:30
villa z2 skott täckt,0:07:56
skottyp fast villa z2,0:08:00
boll saik ,0:08:01
insalg saik z3,0:08:07
boll villa ,0:08:15
frislag villa z3,0:08:48
passning farlig villa z2,0:09:08
skott räddning villa z2,0:09:13
skottyp friställande villa z2,0:09:17
rensning saik ,0:09:21
skott utanför villa z2,0:09:38
skottyp utifrån villa z2,0:09:41
utkast saik z3,0:09:44
passning lång saik ,0:09:50
insalg villa z9,0:10:02
närkamp saik z5,0:10:19
utvisning 10 saik,0:10:27
frislag saik z5,0:10:57
närkamp villa z9,0:11:14
närkamp saik z3,0:11:32
brytning villa z9,0:12:24
närkamp saik z2,0:12:38
bryting villa z8,0:12:51
utkast saik z3,0:13:10
brytning villa z6,0:13:24
frislag villa z3,0:13:35
skott utanför villa z2,0:14:30
skottyp utifrån villa z2,0:14:36
utkast saik z1,0:14:39
skott utanför saik z8,0:15:07
skottyp utifrån saik z8,0:15:12
utkast villa ,0:15:14
frislag villa z4,0:15:29
närkamp saik z8,0:16:03
skott täckt saik z8,0:16:07
skottyp utifrån saik z8,0:16:13
hörna saik z7,0:16:15
saik z7 frislag,0:16:56
passning straffområde saik z8,0:17:07
inslag villa z9,0:17:10
brytning saik z4,0:17:16
passning straffområde saik z8,0:17:26
bryting villa z8,0:17:30
frislag saik z5,0:17:46
hörna saik z9,0:17:57
saik z8 mål hörnmål,0:18:29
skottyp saik z8 fast,0:18:32
avslag villa ,0:19:02
utkast saik z3,0:19:33
passning lång saik z8,0:20:17
offside saik ,0:20:19
räddning skott saik z2,0:20:47
del,0:20:50
skott villa z2 räddnign ,0:20:55
skottyp centralt villa z2,0:21:02
utkast saik ,0:21:06
närkamp villa z6,0:21:39
skott räddning villa z2,0:22:24
skottyp utifrån villa z2,0:22:28
hörna villa z1,0:22:30
villa z2 skott utanför,0:22:55
skottyp villa z2 fast,0:23:00
utkast saik z1,0:23:06
bolltapp tappad saik z5,0:23:20
brytning saik z2,0:24:13
närkamp villa z5,0:24:16
närkamp saik z5,0:24:40
skott räddning saik z8,0:25:02
skottyp utifrån saik z8,0:25:05
offside saik ,0:25:08
mål spelmål villa z2,0:25:55
