event,time
avslag iks ,0:00:00
närkamp villa z6,0:00:20
passning straffomårde villa z8,0:00:29
skott räddning villa z8,0:00:33
skottyp villa inlägg z8,0:00:38
boll iks ,0:00:39
inslag villa z7,0:00:46
mål spelmål villa z8,0:01:04
skottyp villa centralt z8,0:01:27
avslag iks ,0:01:30
närkamp villa z2,0:01:54
närkamp iks z9,0:02:10
närkamp villa z3,0:02:19
utkast iks z7,0:02:37
skott täckt iks z2,0:03:10
skottyp utifrån iks z2,0:03:17
utkast villa,0:03:18
mål spelmål villa z8,0:03:24
skottyp villa z8 dribbling,0:03:43
avslag iks ,0:03:45
dek,0:03:47
del,0:03:49
timeout,0:03:54
boll iks ,0:04:10
närkamp vivlla z5,0:04:24
frislag villa z2,0:04:29
närkamp iks z8,0:04:51
boll villa z6,0:04:54
offside villa ,0:06:13
passning lång iks z3,0:06:36
utkast villa ,0:06:39
närkamp iks z4,0:06:52
hörna iks z3,0:07:16
iks z2 mål hörnmål ,0:07:50
iks z2 skottyp fast,0:07:53
avskag villa,0:08:14
närkamp iks z8,0:08:28
40 iks,0:08:57
40 iks ,0:09:04
närkamp villa z2,0:09:24
närkamp villa z7,0:09:37
närkamp iks z8,0:09:43
passning straffområde iks z2,0:10:01
40 iks ,0:10:05
närkamp villa z5,0:10:38
nörkamp iks z5,0:10:40
närkamp villa z2,0:10:45
skott räddning villa z8,0:10:57
skottyp centralt villa z8,0:11:00
utkast iks,0:11:06
närkamp villa z6,0:11:28
skott täckt villa z8,0:11:34
skkottyp utifrån villa z8,0:11:38
boll iks,0:11:40
brytning villa z3,0:11:58
skott utanför villa z8,0:12:06
skottyp centralt villa z8,0:12:15
utkast iks ,0:12:16
brytning villa z4,0:12:26
passning lång villa ,0:12:41
närkamp iks z8,0:12:46
närkamp villa z6,0:13:04
närkamp iks ,0:13:56
utkast villa z1,0:14:18
brytning iks z7,0:14:40
närkamp iks z7,0:14:58
boll villa z5,0:15:05
utkast iks ,0:15:17
närkamp villa z3,0:15:29
skott räddning villa z8,0:15:39
skottyp centralt villa z8,0:15:48
hörna villa z9,0:15:50
villa z8 skott täckt,0:16:19
skottyp fast villa z8,0:16:22
inslag villa z7,0:16:30
skott utanför villa z8,0:17:17
skottyp utifrån villa z8,0:17:20
utkast iks ,0:17:21
bolltapp passförsök iks z4,0:17:47
närkamp iks z9,0:18:32
40 iks ,0:18:50
hörna iks z1,0:19:15
skott täckt iks z2,0:19:58
skottyp fast iks z2,0:20:00
skott täckt iks z2,0:20:03
skottyp retur iks z2,0:20:05
rensning villa ,0:20:08
inslag iks z4,0:20:11
40 iks ,0:20:21
skott räddning iks z2,0:20:36
skottyp friställande iks z2,0:20:41
mål spelmål iks z2,0:20:45
