event,time
avslag iks z2,0:00:00
boll saik ,0:00:33
närkammp iks z2,0:00:47
dek,0:00:49
del,0:00:52
hörna saik z1,0:01:03
saik z2 skott utanför,0:01:20
skottyp fast saik z2,0:01:22
utkast iks ,0:01:24
hörna iks z9,0:01:54
iks z2 skott utanför,0:02:14
iks z2 skottyp fast,0:02:17
utkast saik ,0:02:19
passning ång saik z2,0:02:31
frislände saik z2,0:02:33
mål spelmål saik z2,0:02:39
skottyp friställande saik z2,0:02:44
avslag iks ,0:03:06
närkamp saik z6,0:03:54
närkamp iks z4,0:03:57
närkamp saik z7,0:04:05
närkamp iks z4,0:04:09
passning lång iks z8,0:04:43
utkast saik ,0:04:50
närkamp iks z3,0:05:00
närkamp saik z3,0:05:04
närkamp iks z2,0:05:27
närkamp saik z4,0:05:37
närkamp iks z5,0:05:41
närkamp saik z5,0:05:46
utkast iks ,0:05:57
närkamp saik z8,0:06:16
frislag saik z8,0:06:21
närkamp iks z3,0:07:11
närkamp saik z3,0:07:18
skott räddning saik z2,0:07:44
skottyp utifrån saik z2,0:07:47
boll iks ,0:07:49
passning lång ,0:07:59
utkast saik ,0:08:07
brytnging isk z5,0:08:28
passning straffområde iks z8,0:08:39
rensinign saik ,0:08:41
brytning saik z5,0:08:54
närkamp iks z4,0:09:01
skott täckt iks z8,0:09:11
skottyp iks z8 centralt,0:09:19
hörna iks z9,0:09:23
iks z8 skott täckt,0:09:41
iks z8 skottyp fast,0:09:45
utkast saik ,0:09:54
skott räddning saik z2,0:10:08
skottyp friställande saik z2,0:10:11
utkast iks ,0:10:12
närkamp iska z6,0:10:41
närkamp saik z8,0:10:48
timeout,0:11:05
boll iks ,0:11:17
passning straffområde iks z8,0:11:24
närkamp saik,0:11:29
passnign lång saik ,0:11:32
boll iks ,0:11:37
närkamp saik z8,0:11:53
närkamp iks z5,0:12:00
boll saik ,0:12:15
utkast saik ,0:12:21
skott utanför saik z2,0:12:42
skottyp utifrån saik ,0:12:48
utkast iks ,0:12:49
brytnign saik z9,0:12:54
frislag saik z3,0:13:06
närkamp iks z2,0:13:30
rensning iks ,0:13:35
inslag saik z3,0:14:14
bolltapp tappad saik z9,0:14:59
inslag iks z9,0:15:01
inslag iks z3,0:15:12
närkamp saik z7,0:15:49
inslag iks z4,0:16:01
passnign straffområde iks z8,0:16:38
skott räddnign iks z8,0:16:41
skottyp inlägg iks z8,0:16:44
hörna iks z9,0:16:46
iks z8 skott täckt,0:17:13
skottyp fast iks z8,0:17:16
rensnign saik ,0:17:24
brynting saik z8,0:17:50
brytning iks z3,0:17:56
frislag saik z3,0:18:06
hörna saik z3,0:18:22
saik z2 skott räddning ,0:18:50
skottyp fast saik z2,0:18:53
utkast iks ,0:18:55
bolltapp passförösk iks z6,0:19:16
frislag saik z6,0:19:40
brytning iks z2,0:20:11
rensning iks ,0:20:13
utkast saik ,0:20:53
närkamp iks z2,0:21:43
inslag iks z6,0:21:56
närkamp iks z8,0:22:28
skott räddning iks z2,0:23:02
skottyp utifrån iks z2,0:23:06
utkast saik ,0:23:07
närkamp iks z2,0:23:24
boll saik ,0:23:29
skott räddning saik z2 ,0:23:51
skottyp dribblign saik z2,0:23:54
utkast iks ,0:23:55
skott räddning iks z8,0:24:00
skottyp utifrån iks z8,0:24:03
utkast saik ,0:24:04
passnign straffområde saik z2,0:24:22
närkamp iks z2,0:24:25
närkamp iks z9,0:24:47
närkamp saik z8,0:24:51
frislag saik z6,0:25:10
närkamp iks z4,0:25:20
utvisnign 10 saik ,0:25:27
iks z8 frislag ,0:26:02
näkamp saik z8,0:26:12
rensnign saik ,0:26:17
passning straffområde iks z8,0:27:00
boll iks ,0:27:05
skott täckt saik z8,0:27:26
del,0:27:31
