event,time
avslag iks z5,0:00:00
närkamp iks z6,0:00:21
närkamp eds z8,0:00:24
inslag eds z3,0:00:45
skott räddnign eds z2,0:01:38
skottyp utifrån eds z2,0:01:41
oll iks ,0:01:43
närkamp eds z5,0:01:51
närkamp iks z2,0:02:06
närkamp iks z7,0:02:25
passning lång iks ,0:02:39
utkast eds,0:02:41
närkamp eds z3,0:03:05
frislag eds z3,0:03:08
del,0:03:19
hörna eds z3,0:03:22
eds z2 skott utanför,0:03:40
eds z2 skottyp fast,0:03:43
boll eds ,0:03:45
närkamp iks z6,0:04:01
skott räddning iks z8,0:04:09
skottyp utifrån iks z8,0:04:14
frislag eds z9,0:04:20
passning straffområde eds z2,0:04:41
skott utnaför eds z2,0:04:47
skottyp utifrån eds z2,0:04:50
utkast iks ,0:04:51
utkast eds,0:05:03
inslag iks z1,0:05:44
frislag iks z1,0:05:53
bolltapp tappad iks z3,0:06:08
utvisning 10 iks,0:06:16
frislag eds z2 ,0:06:32
närkamp iks z2,0:06:57
frislag iks z4,0:07:07
närkamp iks z2,0:07:47
närkamp eds z4,0:08:07
närkamp iks z2,0:08:16
resning iks ,0:08:18
del,0:08:23
närkamp eds z8,0:08:32
frislag iks z9,0:08:42
närkamp eds z3,0:09:11
straff eds z2,0:09:28
skott räddning iks z2,0:10:20
skottyp fast eds z2,0:10:22
utkast iks,0:10:26
kontring js ,0:10:29
skott utanför iks z8,0:10:41
skottyp utifrån iks z8,0:10:46
utkast eds,0:10:57
hörna eds z3,0:11:20
eds z2 skott utanför,0:11:50
skottyp eds z2 fast,0:11:54
utkast iks ,0:11:56
passning lång iks ,0:12:06
utkast eds ,0:12:09
skott räddning eds z2,0:12:36
skottyp centlrat eds z2,0:12:39
utkast iks ,0:12:45
passning lång iks ,0:13:24
boll eds,0:13:28
passning lång eds ,0:13:40
utkast iks ,0:13:41
närkamp eds z3,0:14:06
skott räddning eds z2,0:14:22
skottyp centlrat eds z2,0:14:25
boll eds,0:14:28
skott räddning eds z2,0:15:09
skottyp centralt eds z2,0:15:12
utkast iks,0:15:14
passning lng js ,0:15:19
utkast eds,0:15:24
passning straffområde eds z2,0:15:49
rensning iks ,0:15:51
brytning iks z4,0:16:09
kontring iks ,0:16:11
brytning eds z7,0:16:17
skott räddnign eds z2,0:16:40
skottyp utifrån eds z2,0:16:43
utkast iks ,0:16:44
närkamp eds z8,0:17:06
utvisning 10 eds,0:17:10
frislag iks z3,0:17:36
närkamp eds z8,0:17:58
närkamp eds z9,0:18:07
kontring eds,0:18:11
passning straffområde eds z2,0:18:16
närkamp iks z2,0:18:19
närkamp eds z8,0:18:40
timeout,0:18:43
boll eds,0:20:35
passning straffområde eds z2,0:20:56
boll iks z2,0:20:58
kontring iks ,0:21:01
hörna iks z7,0:21:07
iks z8 skott täckt,0:21:39
skottyp fast iks z8,0:21:46
boll eds,0:21:47
skott utanför eds z2,0:21:55
