time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0.0
0:00:15,iks,skott,täckt,z9,0.0
0:00:23,eds,brytning,0,z9,0.0
0:00:53,eds,passning,lång,z7,0.0
0:01:07,iks,brytning,0,z2,0.0
0:01:42,eds,brytning,0,z5,0.0
0:01:47,eds,passning,lång,z7,0.0
0:01:49,iks,brytning,0,z2,0.0
0:02:05,eds,brytning,0,z7,0.0
0:02:35,eds,bolltapp,tappad,z2,0.0
0:02:43,iks,utkast,0,z2,13.0
0:02:54,iks,bolltapp,tappad,z2,0.0
0:03:07,iks,skott,räddning,z2,0.0
0:03:33,eds,brytning,0,z4,0.0
0:03:41,iks,brytning,0,z5,0.0
0:03:48,iks,hörna,0,z7,0.0
0:04:57,iks,skott,täckt,0,0.0
0:05:12,eds,frislag,0,z9,0.0
0:05:16,eds,frislag,0,z7,0.0
0:05:43,eds,passning,lång,z5,0.0
0:05:49,iks,utkast,0,z2,13.0
0:06:09,iks,passning,lång,z5,0.0
0:06:16,eds,utkast,0,z8,0.0
0:06:31,eds,frislag,0,z2,0.0
0:06:59,eds,hörna,0,z3,0.0
0:07:44,eds,skott,utanför,0,13.0
0:07:57,iks,utkast,0,z2,13.0
0:08:09,iks,passning,lång,z3,0.0
0:08:32,iks,mål,spelmål,z8,10.0
0:08:35,eds,avslag,0,0,0.0
0:08:51,iks,brytning,0,z2,0.0
0:09:08,iks,passning,lång,z5,0.0
0:09:13,eds,utkast,0,z8,0.0
0:09:52,eds,hörna,0,z3,0.0
0:10:25,eds,skott,täckt,z2,13.0
0:10:36,iks,utkast,0,z2,13.0
0:10:44,eds,utkast,0,z8,0.0
0:11:07,eds,hörna,0,z1,0.0
0:11:57,eds,skott,täckt,z2,13.0
0:12:19,eds,skott,räddning,z2,13.0
0:12:39,eds,mål,spelmål,z2,13.0
0:12:43,iks,avslag,0,0,0.0
0:13:27,eds,brytning,0,z9,0.0
0:13:55,iks,utvisning,10,z9,12.0
0:14:04,eds,frislag,0,z1,0.0
0:15:15,iks,brytning,0,z1,0.0
0:15:40,iks,frislag,0,z6,0.0
0:15:56,iks,passning,lång,z2,0.0
0:16:02,eds,brytning,0,z5,0.0
0:16:09,iks,brytning,0,z5,0.0
0:16:33,iks,skott,utanför,z8,0.0
0:16:44,eds,utkast,0,z8,0.0
0:16:48,iks,brytning,0,z5,0.0
0:16:59,eds,närkamp,0,z6,0.0
0:17:25,eds,skott,utanför,z2,13.0
0:17:33,iks,utkast,0,z2,13.0
0:17:47,eds,brytning,0,z1,0.0
0:18:16,eds,skott,räddning,z2,13.0
0:18:27,eds,hörna,0,z3,0.0
0:18:52,eds,skott,täckt,0,13.0
0:18:55,eds,skott,räddning,z2,13.0
0:19:00,eds,skott,räddning,z2,13.0
0:19:05,iks,utkast,0,z2,13.0
0:19:19,iks,passning,straffområde,z9,0.0
0:19:29,eds,frislag,0,z8,0.0
0:20:18,eds,skott,täckt,z2,13.0
0:20:21,eds,hörna,0,z1,0.0
0:20:43,eds,skott,täckt,z2,13.0
0:20:50,iks,kontring,0,z2,0.0
0:20:54,iks,offside,0,0,0.0
0:21:11,iks,närkamp,0,z5,0.0
0:21:36,iks,skott,räddning,z9,0.0
0:21:41,eds,frislag,0,z9,0.0
0:22:03,eds,bolltapp,passförsök,z1,0.0
0:22:45,iks,bolltapp,tappad,z7,0.0
0:22:49,eds,frislag,0,z5,0.0
0:23:07,iks,brytning,0,z3,0.0
0:23:12,eds,brytning,0,0,0.0
0:23:29,iks,närkamp,0,z3,0.0
0:24:02,iks,offside,0,0,0.0
0:24:07,eds,frislag,0,z2,0.0
0:24:37,eds,passning,lång,z5,0.0
0:24:40,iks,utkast,0,z2,13.0
0:25:12,iks,frislag,0,z3,0.0
0:26:05,iks,bolltapp,passförsök,z8,0.0
0:26:19,iks,närkamp,0,z6,0.0
0:27:15,iks,skott,räddning,z9,0.0
0:27:21,eds,utkast,0,z8,0.0
0:27:48,eds,passning,lång,z5,0.0
0:27:52,iks,utkast,0,z2,13.0
0:28:23,iks,passning,straffområde,z7,0.0
0:28:27,eds,närkamp,0,z8,0.0
0:28:37,iks,brytning,0,z7,0.0
0:28:42,eds,brytning,0,z8,0.0
0:29:04,eds,hörna,0,z3,0.0
