time,team,event,subevent,zone,player
0:00:05,iks,avslag,0,0,0
0:00:39,iks,hörna,0,z7,0
0:01:15,iks,skott,utanför,0,0
0:01:22,vsk,utkast,0,z8,0
0:01:31,iks,frislag,0,z3,0
0:02:36,iks,närkamp,0,z6,0
0:03:09,iks,skott,utanför,z9,0
0:03:14,vsk,utkast,0,z8,0
0:03:18,vsk,bolltapp,tappad,z3,0
0:03:23,iks,utkast,0,z2,0
0:03:34,iks,hörna,0,z9,0
0:04:08,iks,skott,utanför,z8,0
0:04:13,vsk,utkast,0,z8,0
0:04:34,vsk,offside,0,z2,0
0:04:47,iks,boll,0,z2,0
0:04:54,vsk,boll,0,0,0
0:05:30,vsk,skott,räddning,z1,0
0:06:33,iks,skott,täckt,z2,0
0:06:37,iks,boll,0,0,0
0:06:55,vsk,brytning,0,z5,0
0:07:06,vsk,bolltapp,tappad,z7,0
0:07:11,iks,hörna,0,z7,0
0:07:24,iks,skott,utanför,z7,0
0:07:35,vsk,utkast,0,z8,0
0:07:49,vsk,inslag,0,z3,0
0:08:07,vsk,närkamp,0,0,0
0:08:22,iks,närkamp,0,z4,0
0:08:38,iks,inslag,0,z4,0
0:08:49,vsk,brytning,0,z8,0
0:09:40,vsk,passning,straffområde,z3,0
0:09:47,vsk,skott,räddning,z2,0
0:09:53,iks,frislag,0,z2,0
0:10:22,vsk,skott,utanför,z3,0
0:10:30,iks,utkast,0,z8,0
0:11:07,vsk,skott,utanför,z3,0
0:11:14,iks,utkast,0,z2,0
0:11:36,iks,skott,utanför,z7,0
0:11:43,vsk,utkast,0,0,0
0:12:05,vsk,passning,lång,z7,0
0:12:15,vsk,offside,0,z8,0
0:12:30,iks,boll,0,0,0
0:12:46,vsk,brytning,0,z4,0
0:13:03,vsk,mål,spelmål,z2,0
0:13:15,iks,avslag,0,0,0
0:13:35,iks,frislag,0,z5,0
0:13:50,vsk,brytning,0,z7,0
0:14:09,vsk,skott,räddning,z3,0
0:14:22,vsk,boll,0,0,0
0:14:33,vsk,frislag,0,z6,0
0:14:54,iks,brytning,0,z1,0
0:15:13,iks,skott,täckt,z7,0
0:15:19,vsk,boll,0,0,0
0:15:28,iks,brytning,0,z2,0
0:15:36,iks,närkamp,0,z6,0
0:16:34,vsk,brytning,0,z5,0
0:16:39,iks,brytning,0,z5,0
0:16:47,vsk,brytning,0,z8,0
0:17:24,vsk,mål,spelmål,z2,0
0:17:33,iks,avslag,0,0,0
0:18:00,iks,hörna,0,z9,0
0:18:27,iks,skott,utanför,z8,0
0:18:33,vsk,utkast,0,z8,0
0:18:44,iks,brytning,0,z6,0
0:19:12,iks,bolltapp,tappad,z7,0
0:19:17,vsk,utkast,0,z8,0
0:19:42,vsk,mål,spelmål,z2,0
0:19:52,iks,timeout,0,0,0
0:21:05,iks,avslag,0,0,0
0:21:30,iks,närkamp,0,z5,0
0:21:42,vsk,brytning,0,z8,0
0:21:54,iks,utkast,0,z2,0
0:22:15,iks,bolltapp,tappad,z9,0
0:22:24,vsk,utkast,0,z8,0
0:22:42,vsk,bolltapp,passförsök,0,0
0:22:59,vsk,brytning,0,z8,0
0:23:08,vsk,frislag,0,z8,0
0:24:29,vsk,närkamp,0,0,1
0:25:04,iks,närkamp,0,z7,0
0:25:11,iks,inslag,0,z7,0
0:26:01,iks,bolltapp,passförsök,z5,0
0:26:16,iks,brytning,0,z2,0
0:26:36,iks,passning,lång,z4,0
0:26:43,vsk,utkast,0,z8,0
0:26:56,vsk,inslag,0,z7,0
0:27:21,vsk,bolltapp,passförsök,z5,0
0:27:37,iks,bolltapp,passförsök,z4,0
0:27:42,vsk,utkast,0,z4,0
0:28:30,vsk,passning,lång,z4,0
0:28:37,iks,brytning,0,z2,0
0:28:42,iks,utkast,0,z2,0
0:29:08,vsk,brytning,0,z8,0
0:29:19,vsk,frislag,0,z7,0
0:30:04,vsk,passning,straffområde,z1,0
0:30:13,iks,brytning,0,z2,0
0:30:21,vsk,brytning,0,z9,0
0:30:47,vsk,närkamp,0,z5,0
0:30:53,iks,närkamp,0,z6,0
0:31:09,iks,skott,täckt,z8,0
0:31:32,vsk,bolltapp,passförsök,z4,0
0:31:37,iks,utkast,0,z2,0
0:32:18,vsk,brytning,0,z8,0
0:32:27,vsk,rensning,0,z7,0
0:32:33,iks,boll,0,0,0
0:33:45,iks,bolltapp,passförsök,z5,0
0:33:52,vsk,offside,0,z1,0
0:34:21,iks,passning,straffområde,z7,0
0:34:26,vsk,utkast,0,z8,0
0:34:49,vsk,bolltapp,tappad,z8,0
0:34:57,iks,utkast,0,z2,0
0:35:17,vsk,brytning,0,z9,0
0:35:50,vsk,skott,utanför,z1,0
0:35:58,iks,utkast,0,z2,0
0:36:06,iks,hörna,0,z7,0
0:36:40,iks,skott,täckt,z8,0
0:36:45,iks,passning,straffområde,z9,0
0:36:51,vsk,boll,0,0,0
0:37:15,vsk,skott,utanför,z1,0
0:37:21,iks,utkast,0,z2,0
0:37:38,iks,hörna,0,z7,0
0:38:13,iks,skott,utanför,z8,0
0:38:26,vsk,utkast,0,z8,0
0:38:39,vsk,bolltapp,passförsök,z8,0
0:38:47,iks,hörna,0,z7,0
0:39:21,iks,skott,räddning,z8,0
0:39:25,vsk,utkast,0,0,0
0:39:38,iks,brytning,0,z5,0
0:40:22,iks,bolltapp,tappad,z5,0
0:40:29,iks,närkamp,0,z8,0
0:40:31,vsk,rensning,0,z5,0
0:40:35,iks,boll,0,0,0
0:40:43,iks,passning,lång,z5,0
0:40:48,iks,offside,0,0,0
0:40:55,vsk,frislag,0,z8,0
0:41:11,vsk,bolltapp,tappad,z2,0
0:41:18,iks,utkast,0,z2,0
0:42:16,iks,mål,spelmål,z8,0
0:42:20,vsk,avslag,0,0,0
0:42:47,vsk,skott,utanför,z2,0
0:42:53,iks,utkast,0,z2,0
0:43:39,vsk,närkamp,0,z4,0
0:43:44,vsk,brytning,0,z4,0
0:43:57,vsk,inslag,0,z7,0
0:44:13,iks,brytning,0,z1,0
0:44:28,vsk,brytning,0,z8,0
0:44:54,vsk,bolltapp,tappad,z1,0
0:45:00,iks,utkast,0,z2,0
0:45:39,iks,skott,utanför,z8,0
0:45:48,vsk,utkast,0,z8,0
0:46:09,vsk,skott,utanför,z2,0
0:46:15,iks,utkast,0,z2,0
0:46:43,iks,bolltapp,passförsök,z7,0
0:46:48,vsk,utkast,0,z8,0
0:47:03,vsk,skott,täckt,z2,0
0:47:14,0,stop,0,0,0
