time,team,event,subevent,zone,player
 0:00:00,bro,avslag,0,z5,0
 0:45:14,bro,offside,0,z8,0
 0:45:38,iks,bolltapp,passförsök,z5,0
 0:45:52,bro,frislag,0,z9,0
 0:48:26,bro,offside,0,z7,0
 0:48:47,iks,utvisning,10,z7,10
 0:49:08,iks,passning,lång,z4,0
 0:49:10,iks,bolltapp,passförsök,z2,0
 0:49:27,bro,mål,spelmål,z2,13
 0:49:49,iks,avslag,0,z5,0
 0:50:00,iks,bolltapp,passförsök,z4,0
 0:50:05,bro,utkast,0,z2,0
 0:50:18,bro,skott,räddning,z7,13
 0:50:24,iks,bolltapp,passförsök,z7,0
 0:50:54,bro,hörna,0,z7,0
 0:51:19,bro,skott,täckt,z8,13
 0:51:19,bro,skottyp,fast,z8,13
 0:51:29,iks,rensning,0,z8,0
 0:52:05,bro,frislag,0,z2,0
 0:52:10,bro,passning,lång,z5,0
 0:52:13,iks,utkast,0,z8,13
 0:52:55,iks,närkamp,0,z5,0
 0:53:21,iks,mål,spelmål,z2,0
 0:53:47,bro,avslag,0,z5,0
 0:55:09,iks,utkast,0,z8,13
 0:55:43,iks,bolltapp,passförsök,z6,0
 0:56:09,iks,närkamp,0,z8,0
 0:56:20,iks,bolltapp,passförsök,z5,0
 0:56:23,bro,utkast,0,z2,0
 0:56:38,bro,skott,räddning,z8,13
 0:56:44,bro,skottyp,centralt,z8,13
 0:58:15,iks,närkamp,0,z5,0
 0:58:22,iks,mål,spelmål,z3,0
 0:58:44,bro,avslag,0,z5,0
 0:59:10,bro,hörna,0,z7,0
 0:59:38,bro,skott,täckt,z8,13
 0:59:38,bro,skottyp,fast,z8,13
 0:59:49,bro,inslag,0,z9,0
 0:60:22,bro,passning,lång,z5,0
 0:60:23,iks,utkast,0,z8,13
 0:60:46,iks,bolltapp,passförsök,z7,0
 0:60:49,bro,bolltapp,passförsök,z8,0
 0:61:00,bro,närkamp,0,z2,0
 0:61:13,bro,frislag,0,z1,0
 0:62:13,bro,skott,räddning,z8,13
 0:62:20,bro,hörna,0,z9,0
 0:62:40,bro,skott,räddning,z8,13
 0:62:40,bro,skottyp,fast,z8,13
 0:63:02,bro,inslag,0,z7,0
 0:63:13,bro,frislag,0,z7,0
 0:63:46,iks,inslag,0,z4,0
 0:63:58,iks,närkamp,0,z4,0
 0:64:01,iks,bolltapp,tappad,z2,0
 0:64:06,bro,närkamp,0,z5,0
 0:64:29,bro,offside,0,z8,0
 0:64:46,iks,närkamp,0,z1,0
 0:65:02,bro,närkamp,0,z2,0
 0:65:22,bro,skott,räddning,z8,13
 0:66:06,bro,passning,lång,z5,0
 0:66:07,iks,brytning,0,z8,0
 0:66:09,iks,utkast,0,z8,13
 0:66:22,iks,passning,lång,z5,0
 0:66:23,bro,brytning,0,z2,0
 0:66:37,bro,bolltapp,tappad,z5,0
 0:66:43,bro,närkamp,0,z5,0
 0:66:51,iks,närkamp,0,z5,0
 0:67:30,iks,mål,spelmål,z2,0
 0:67:57,bro,avslag,0,z5,0
 0:68:15,iks,närkamp,0,z8,0
 0:68:31,iks,skott,täckt,z3,0
 0:68:32,iks,hörna,0,z3,0
 0:69:00,iks,skott,utanför,z2,0
 0:69:01,iks,skottyp,fast,z2,0
 0:69:05,bro,utkast,0,z2,0
 0:69:40,bro,skott,täckt,z7,13
 0:70:00,bro,frislag,0,z9,0
 0:70:23,bro,skott,täckt,z8,13
 0:70:24,iks,utkast,0,z8,13
 0:70:30,bro,brytning,0,z6,0
 0:70:45,bro,passning,lång,z5,0
 0:70:49,iks,rensning,0,z8,0
 0:70:58,bro,frislag,0,z9,0
 0:71:19,bro,passning,lång,z5,0
 0:71:20,iks,utkast,0,z8,13
 0:71:36,iks,bolltapp,tappad,z5,0
 0:71:44,iks,närkamp,0,z8,0
 0:71:53,bro,närkamp,0,z9,0
 0:73:03,bro,bolltapp,passförsök,z9,0
 0:73:04,iks,utkast,0,z8,13
 0:73:14,bro,närkamp,0,z2,0
 0:73:33,bro,inslag,0,z6,0
 0:73:56,bro,närkamp,0,z6,0
 0:74:21,bro,passning,lång,z5,0
 0:74:28,bro,offside,0,z8,0
 0:74:50,iks,bolltapp,passförsök,z4,0
 0:75:06,bro,inslag,0,z7,0
 0:75:20,bro,bolltapp,passförsök,z8,0
 0:75:55,iks,passning,farlig,z4,0
 0:75:58,iks,mål,spelmål,z2,0
 0:76:20,bro,avslag,0,z5,0
 0:77:00,bro,passning,lång,z4,0
 0:77:01,iks,brytning,0,z8,0
 0:77:19,bro,närkamp,0,z7,0
 0:77:30,iks,rensning,0,z8,0
 0:77:32,bro,inslag,0,z9,0
 0:77:57,bro,passning,lång,z6,0
 0:77:59,iks,brytning,0,z8,0
 0:78:07,bro,närkamp,0,z4,0
 0:78:14,bro,bolltapp,passförsök,z5,0
 0:78:49,bro,närkamp,0,z7,0
 0:78:50,iks,närkamp,0,z7,0
 0:79:00,iks,skott,täckt,z1,0
 0:79:02,bro,utkast,0,z2,0
 0:79:27,iks,närkamp,0,z6,0
 0:79:34,iks,skott,täckt,z2,0
 0:79:34,iks,skottyp,centralt,z2,0
 0:79:35,bro,kontring,0,z2,0
 0:79:56,iks,inslag,0,z9,0
 0:80:17,bro,inslag,0,z7,0
 0:80:50,bro,närkamp,0,z8,0
 0:80:52,bro,skott,täckt,z8,13
 0:80:56,bro,skott,utanför,z8,13
 0:80:58,iks,utkast,0,z8,13
 0:81:27,iks,mål,spelmål,z2,0
 0:82:12,bro,timeout,0,0,0
 0:83:20,bro,avslag,0,z5,0
 0:84:01,bro,frislag,0,z4,0
 0:84:09,iks,utvisning,10,z5,10
 0:85:13,bro,skott,räddning,z8,13
 0:85:13,bro,skottyp,inlägg,z8,13
 0:85:27,iks,bolltapp,passförsök,z4,0
 0:85:33,iks,närkamp,0,z4,0
 0:85:43,bro,närkamp,0,z2,0
 0:86:21,bro,skott,räddning,z8,13
 0:86:21,bro,skottyp,centralt,z8,13
 0:86:50,iks,närkamp,0,z7,0
 0:86:53,iks,bolltapp,passförsök,z8,0
 0:86:54,bro,bolltapp,tappad,z8,0
 0:86:55,iks,kontring,0,z8,0
 0:87:04,bro,närkamp,0,z2,0
 0:87:51,bro,passning,lång,z5,0
 0:87:55,iks,brytning,0,z8,0
 0:88:06,iks,närkamp,0,z6,0
 0:88:32,bro,utkast,0,z2,0
 0:88:52,bro,närkamp,0,z7,0
 0:89:21,bro,bolltapp,passförsök,z7,0
 0:89:31,iks,närkamp,0,z4,0
 0:89:56,iks,bolltapp,passförsök,z5,0
 0:90:18,iks,närkamp,0,z6,0
 0:90:37,iks,skott,täckt,z2,0
 0:90:37,iks,skottyp,centralt,z2,0
 0:90:41,bro,bolltapp,tappad,z5,0
 0:90:56,iks,frislag,0,z5,0
 0:91:22,bro,närkamp,0,z6,0
 0:91:26,iks,närkamp,0,z8,0
 0:91:30,0,stop,0,0,0
