time,team,event,subevent,zone,player
0:00:00,villa,avslag,0,0,0
0:00:15,iks,närkamp,0,z7,0
0:00:57,iks,hörna,0,z3,0
0:00:57,iks,skott,täckt,z2,10
0:00:57,iks,skottyp,fast,z2,10
0:01:24,villa,närkamp,0,z6,0
0:01:29,villa,skott,räddning,z7,13
0:01:29,villa,skottyp,utifrån,z7,13
0:01:39,villa,inslag,0,z6,0
0:01:59,villa,skott,räddning,z7,13
0:01:59,villa,skottyp,utifrån,z7,13
0:02:30,villa,hörna,0,z7,0
0:02:47,villa,skott,utanför,z8,13
0:02:47,villa,skottyp,fast,z8,13
0:02:50,iks,utkast,0,z8,13
0:03:15,villa,närkamp,0,z7,0
0:03:15,iks,närkamp,0,z9,0
0:03:30,villa,närkamp,0,z3,0
0:03:50,villa,skott,räddning,z8,13
0:03:50,villa,skottyp,centralt,z8,13
0:03:52,villa,skott,täckt,z8,13
0:03:52,villa,skottyp,retur,z8,13
0:04:20,villa,utkast,0,z2,0
0:04:30,villa,närkamp,0,z7,0
0:04:45,villa,hörna,0,z7,0
0:04:50,villa,skott,täckt,z8,13
0:04:50,villa,skottyp,fast,z8,13
0:04:50,iks,boll,0,z8,0
0:05:25,villa,närkamp,0,z2,0
0:05:30,villa,skott,utanför,z7,13
0:05:30,villa,skottyp,utifrån,z7,13
0:05:52,iks,utkast,0,z8,13
0:06:15,iks,närkamp,0,z9,0
0:06:30,iks,mål,spelmål,z2,66
0:06:30,iks,skottyp,dribbling,z2,66
0:07:25,villa,avslag,0,z5,0
0:07:35,iks,närkamp,0,z6,0
0:07:40,iks,passning,lång,z5,7
0:07:40,villa,boll,0,z5,0
0:08:00,iks,närkamp,0,z9,0
0:08:30,villa,närkamp,0,z9,0
0:08:55,iks,utvisning,5,z9,0
0:09:20,villa,skott,räddning,z9,13
0:09:20,villa,skottyp,utifrån,z9,13
0:09:35,iks,närkamp,0,z6,0
0:09:50,iks,närkamp,0,z4,0
0:10:00,villa,utkast,0,z2,0
0:10:15,villa,bolltapp,passförsök,z7,0
0:10:30,iks,passning,lång,z5,0
0:10:45,villa,brytning,0,z2,0
0:11:05,villa,skott,räddning,z8,13
0:11:05,villa,skottyp,utifrån,z8,13
0:11:06,iks,utkast,0,z8,13
0:11:20,iks,bolltapp,passförsök,z3,0
0:11:22,iks,närkamp,0,z3,0
0:11:22,villa,närkamp,0,z3,0
0:11:33,villa,frislag,0,z3,0
0:11:40,villa,passning,lång,z5,0
0:11:59,iks,passning,lång,z5,0
0:12:30,villa,boll,0,z8,0
0:12:40,villa,skott,utanför,z8,13
0:12:40,villa,skottyp,centralt,z8,13
0:12:42,iks,utkast,0,z8,13
0:13:02,villa,närkamp,0,z7,0
0:13:03,villa,passning,straffområde,z7,0
0:13:05,iks,närkamp,0,z7,0
0:13:20,iks,bolltapp,passförsök,z5,0
0:13:20,villa,frislag,0,z5,0
0:13:30,villa,skott,täckt,z8,13
0:13:30,villa,skottyp,utifrån,z8,13
0:13:40,villa,passning,straffområde,z7,0
0:13:45,iks,boll,0,z8,0
0:14:23,villa,passning,straffområde,z1,0
0:14:30,iks,hörna,0,z3,0
0:14:55,iks,skott,utanför,z2,6
0:14:55,iks,skottyp,fast,z2,6
0:15:10,villa,utkast,0,z3,0
0:15:15,villa,skott,utanför,z8,13
0:15:15,villa,skottyp,utifrån,z8,13
0:15:16,iks,utkast,0,z8,13
0:15:28,iks,passning,lång,z5,0
0:15:35,villa,utkast,0,z2,0
0:15:46,villa,bolltapp,tappad,z9,0
0:15:48,iks,närkamp,0,z9,0
0:15:59,iks,inslag,0,z6,0
0:16:20,iks,passning,lång,z4,6
0:16:25,villa,utkast,0,z2,0
0:16:31,villa,passning,lång,z4,0
0:16:33,iks,brytning,0,z8,0
0:16:36,iks,bolltapp,passförsök,z6,0
0:17:10,villa,hörna,0,z9,0
0:17:40,villa,mål,hörnmål,z8,13
0:17:40,villa,skottyp,fast,z8,13
0:18:10,iks,avslag,0,z5,0
0:18:21,villa,närkamp,0,z4,0
0:18:49,iks,utkast,0,z8,13
0:19:20,iks,passning,lång,z6,0
0:19:30,villa,brytning,0,z3,0
0:19:35,villa,hörna,0,z9,0
0:20:00,villa,skott,räddning,z8,13
0:20:00,villa,skottyp,centralt,0,13
0:20:09,villa,skott,utanför,z8,13
0:20:09,villa,skottyp,utifrån,z8,13
0:20:18,iks,utkast,0,z8,13
0:20:26,iks,närkamp,0,z7,0
0:21:00,villa,närkamp,0,z2,0
0:21:15,villa,skott,utanför,z9,13
0:21:15,villa,skottyp,utifrån,z9,13
0:21:20,iks,utkast,0,z8,13
0:22:10,iks,bolltapp,passförsök,z3,0
0:22:18,iks,närkamp,0,z8,0
0:22:20,villa,frislag,0,z8,0
0:23:01,villa,mål,spelmål,z8,13
0:23:01,villa,skottyp,centralt,z8,13
0:23:45,iks,avslag,0,z5,0
0:24:10,villa,närkamp,0,z5,0
0:24:34,iks,passning,lång,z8,40
0:24:35,villa,bolltapp,0,z6,0
0:24:47,iks,skott,täckt,z3,17
0:24:47,iks,skottyp,utifrån,z3,17
0:24:47,villa,boll,0,z3,0
0:24:54,villa,kontring,0,z3,0
0:25:02,villa,passning,straffområde,z8,0
0:25:06,iks,brytning,0,z8,0
0:25:11,villa,närkamp,0,z9,0
0:25:23,villa,skott,räddning,z8,13
0:25:23,villa,skottyp,centralt,z8,13
0:25:25,villa,skott,utanför,z8,13
0:25:25,villa,skottyp,centralt,z8,13
0:25:41,iks,utkast,0,z8,13
0:26:08,iks,skott,räddning,z3,10
