time,team,event,subevent,zone,player
0:00:00,vsk,avslag,0,0,0.0
0:00:35,vsk,skott,räddning,z2,13.0
0:00:36,vsk,skottyp,centralt,z2,13.0
0:00:44,vsk,hörna,0,z3,0.0
0:01:03,vsk,skott,utanför,z2,13.0
0:01:04,vsk,skottyp,centralt,z2,13.0
0:01:20,iks,utkast,0,z2,13.0
0:01:30,iks,passning,lång,z3,0.0
0:01:35,vsk,utkast,0,z8,0.0
0:01:55,vsk,frislag,0,z3,0.0
0:02:30,vsk,hörna,0,z1,0.0
0:02:45,vsk,skott,utanför,z2,13.0
0:02:46,vsk,skottyp,centralt,z2,13.0
0:03:02,iks,utkast,0,z2,13.0
0:03:12,iks,bolltapp,passförsök,z9,
0:03:45,vsk,skott,utanför,z1,13.0
0:03:46,vsk,skottyp,utifrån,z1,13.0
0:04:00,iks,utkast,0,z2,13.0
0:04:30,iks,bolltapp,tappad,z8,0.0
0:04:45,vsk,utkast,0,z8,0.0
0:04:55,vsk,skott,räddning,z2,13.0
0:04:56,vsk,skottyp,centralt,z2,13.0
0:04:58,iks,utkast,0,z2,13.0
0:05:34,vsk,närkamp,0,z6,0.0
0:05:56,vsk,skott,räddning,z2,13.0
0:05:57,vsk,skottyp,centralt,z2,13.0
0:06:00,vsk,hörna,0,z1,0.0
0:06:21,vsk,skott,täckt,0,13.0
0:06:21,vsk,skottyp,fast,z2,13.0
0:06:39,vsk,mål,hörnmål,z2,13.0
0:06:40,vsk,skottyp,retur,z2,13.0
0:06:42,iks,avslag,0,z5,0.0
0:07:12,iks,passning,lång,z5,0.0
0:07:17,vsk,utkast,0,z8,0.0
0:08:00,vsk,bolltapp,tappad,z2,0.0
0:08:05,iks,utkast,0,z2,13.0
0:08:08,iks,passning,lång,z6,0.0
0:08:10,vsk,utkast,0,z8,0.0
0:09:16,vsk,närkamp,0,z5,0.0
0:09:57,vsk,närkamp,0,z3,0.0
0:10:02,iks,närkamp,0,z1,0.0
0:10:12,vsk,närkamp,0,z8,0.0
0:11:01,vsk,skott,utanför,z2,13.0
0:11:02,vsk,skottyp,centralt,z2,13.0
0:11:04,iks,utkast,0,z2,13.0
0:11:33,iks,passning,lång,z3,0.0
0:11:45,iks,bolltapp,passförsök,z3,0.0
0:12:00,iks,inslag,0,z3,0.0
0:12:21,iks,passning,lång,z5,0.0
0:12:38,iks,bolltapp,passförsök,z2,0.0
0:13:20,vsk,bolltapp,passförsök,z5,0.0
0:13:29,vsk,närkamp,0,z5,0.0
0:13:52,vsk,skott,räddning,z2,13.0
0:13:53,vsk,skottyp,centralt,z2,13.0
0:14:03,iks,boll,0,0,0.0
0:14:19,iks,passning,straffområde,z7,0.0
0:14:59,iks,mål,spelmål,z7,17.0
0:15:00,iks,skottyp,utifrån,z7,17.0
0:15:13,vsk,avslag,0,0,0.0
0:15:41,vsk,skott,räddning,z2,13.0
0:15:42,vsk,skottyp,centralt,z2,13.0
0:15:49,iks,boll,0,0,0.0
0:16:24,iks,passning,straffområde,z9,0.0
0:16:32,vsk,utkast,0,z8,0.0
0:16:40,iks,närkamp,0,z5,0.0
0:18:04,iks,skott,täckt,z8,0.0
0:18:05,iks,skottyp,centralt,z8,0.0
0:18:21,iks,hörna,0,z9,0.0
0:18:55,iks,skott,täckt,z8,0.0
0:18:56,iks,skottyp,fast,z8,0.0
0:19:03,iks,skott,utanför,z8,0.0
0:19:04,iks,skottyp,retur,z8,0.0
0:19:15,vsk,utkast,0,z8,0.0
